Budget Ketidakpastian Micrometer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Componen,,,,,,,Satuan,,u,,,Disivsor,,,vi,,,ui,,ci,,uici,,,(uici)2,,( uici )4/ vi,,,,,,,,,
,repeatability,,,,,,,µm,,0.516397779496788,,,3.1622776601683795,,,9,,,0.16329931618632493,,1,,0.16329931618632493,,,0.026666666666921322,,7.901234568052142e-05,,,,,,,,,
,Resolusi,,,,,,,µm,,0.5,,,1.7320508075688772,,,200,,,0.2886751345948129,,1,,0.2886751345948129,,,0.08333333333333336,,3.472222222222224e-05,,,,,,,,,
,Standard balok ukur,,,,,,,µm,,0.26,,,2,,,200,,,0.13,,1,,0.13,,,0.016900000000000002,,1.4280500000000002e-06,,,,,,,,,
,Perubahan suhu terhadap suhu acuan 200c,,,,,,,/⁰C,,0.5500000000000007,,,1.7320508075688772,,,200,,,0.3175426480542946,,0.000749999,,0.0002381566684980729,,,5.671859875010099e-08,,1.6084997220874786e-17,,,,,,,,,
,Koefisien muai thermal,,,,,,,/⁰C,,1e-05,,,1.7320508075688772,,,200,,,5.773502691896259e-06,,41.249945000000054,,0.00023815666849807293,,,5.6718598750101e-08,,1.6084997220874795e-17,,,,,,,,,
,Drift standard,,,,,,,µm/tahun,,0.07382903982313868,,,1.7320508075688772,,,200,,,0.04262521601590072,,1,,0.04262521601590072,,,0.0018169090404021992,,1.65057923054762e-08,,,,,,,,,
,Lapisan wringing,,,,,,,µm,,0.1118033988749895,,,1.7320508075688772,,,200,,,0.06454972243679029,,1,,0.06454972243679029,,,0.0041666666666666675,,8.680555555555559e-08,,,,,,,,,
,Kesalahan Geometri,,,,,,,µm,,0.5,,,1.7320508075688772,,,200,,,0.2886751345948129,,1,,0.2886751345948129,,,0.08333333333333336,,3.472222222222224e-05,,,,,,,,,
,Selisih suhu mikrometer dengan balok ukur,,,,,,,⁰C,,0,,,1.7320508075688772,,,200,,,0,,0.000749999,,0,,,0,,0,,,,,,,,,
,Uc2 (hasil penjumlahan semua elemen pada kolom ui),,,,,,,,,,,,,,,,,,,,,,,,,0.2162170224778544,,0.00014998815147285912,,,,,,,,,
,Uc (akar kuadrat dari Uc2),,,,,,,,,,,,,,,,,,,,,,0.46499142194007664,,,Veff,,311.68995917419875,,,,,,,,,
,k (Faktor cakupan),,,,,,,,,,,,,,,,,,,,,,1.9676211333067566,,,,,,,,,,,,,,
,U95 (Ketidakpastian Bentangan),,,,,,,,,,,,,,,,,,,,,,0.9149269486156538,,,µm,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,CMC,0.91,,,µm,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,U95 Sertif.,,0.0009149269486156538,,,mm,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
