Budget Ketidakpastian Height Gauge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Componen,,,,,,,Satuan,Disrtribusi,u,,,Disivsor,,,vi,,,ui,,ci,,uici,,,(uici)2,,( uici )4/ vi,,,,,,,,,
,Repeatability  (Urep),,,,,,,mm,t-student,0.019321835661593185,,,3.1622776601683795,,,9,,,0.006110100926610084,,1,,0.006110100926610084,,,3.7333333333361405e-05,,1.5486419753109708e-10,,,,,,,,,
,Resolusi  (U rnd),,,,,,,mm,rect.,0.005,,,1.7320508075688772,,,200,,,0.002886751345948129,,1,,0.002886751345948129,,,8.333333333333334e-06,,3.4722222222222227e-13,,,,,,,,,
,Standard Caliper Checker  ( U ls),,,,,,,mm,normal,0.0040999999999999995,,,2,,,200,,,0.0020499999999999997,,1,,0.0020499999999999997,,,4.202499999999999e-06,,8.830503124999996e-14,,,,,,,,,
,Perubahan suhu terhadap suhu acuan 200c,,,,,,,/⁰C,rect.,0.25,,,1.7320508075688772,,,60,,,0.14433756729740646,,0.0012,,0.00017320508075688773,,,3e-08,,1.4999999999999997e-17,,,,,,,,,
,Koefisien muai thermal,,,,,,,/⁰C,rect.,2e-06,,,2.449489742783178,,,60,,,8.164965809277261e-07,,150,,0.00012247448713915892,,,1.5000000000000005e-08,,3.7500000000000024e-18,,,,,,,,,
,Drift standard,,,,,,,mm/th,rect.,0.0021769028757716536,,,1.7320508075688772,,,60,,,0.0012568354613264347,,1,,0.0012568354613264347,,,1.5796353768476319e-06,,4.1587465396476e-14,,,,,,,,,
,Kesalahan Geometri,,,,,,,mm,rect.,0.0005,,,1.7320508075688772,,,60,,,0.0002886751345948129,,1,,0.0002886751345948129,,,8.333333333333334e-08,,1.1574074074074076e-16,,,,,,,,,
,Meja Granit (meja Rata),,,,,,,mm,normal,0.0044,,,2,,,200,,,0.0022,,1,,0.0022,,,4.84e-06,,1.17128e-13,,,,,,,,,
,Selisih suhu Height Gauge dengan Caliper Checker,,,,,,,⁰C,rect.,0,,,1.7320508075688772,,,60,,,0,,0.0012,,0,,,0,,0,,,,,,,,,
,Sums,,,,,,,,,,,,,,,,,,,,,,,,,5.6417135376875704e-05,,1.554585747407065e-10,,,,,,,,,
,"Ketidakpastian baku gabungan, uc",,,,,,,,,,,,,,,,,,,,,,,,,0.0075111340939218825,,,,,,,,,,,
,"Derajat kebebasan efektif, neff",,,,,,,,,,,,,,,,,,,,,,,,,20.474220669021,,,,,,,,,,,
,"Faktor cakupan, k-student’s untuk neff dan CL 95 %",,,,,,,,,,,,,,,,,,,,,,,,,2.085963447265865,,,,,,,,,,,
,"Ketidak pastian bentangan, U = kuc",,,,,,,,,,,,,,,,,,,,,,,,,0.01566795116743346,,,,,mm,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,CMC,,,,,,mm,,,,,,
,global 1.7 um,,bblm 4.4 um,,,,,,,,,,,,,,,,,,,,,,U95% Sertif.,0.01566795116743346,,,,,mm,,,,,,
,gmi 2.5 mm/m,,gis 0.57 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
