PT. SIDIK,,,"KALIBRASI
JANGKA SORONG (CALIPER)",,,,,,,,,,,,LK-285-IDN,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibrator Standard Status Monitoring :,,,,,,,,,,ALL STANDARDS ARE VALID,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Certificate Number,,,:,001-CAL-126,,,,,,,,,,
,,,,,,,,,,,,Order Number,,,:,2601.15.A.NK,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,IDENTITAS ALAT,,,,,,,,,,IDENTITAS CUSTOMER,,,,,,,,,,DON'T ERASE ! THIS DATA ARE FOR CALCULATION ,,,,,
,,,,,,,,,,,,,,,,,,,,,Thermohygro used,,:,TH-1,,
,Nama Alat,,:,Jangka Sorong,,,,,,,Nama Custromer,,:,[NAMA PELANGGAN DIREDAKSI],,,,,,,,,,,,
,Merk,,:,-,,,,,,,,,,,,,,,,,Teknisi,,:,NR,,
,Type,,:,-,,,,,,,Alamat Customer,,:,[ALAMAT PELANGGAN DIREDAKSI],,,,,,,Metode Kalibrasi,,:,SIDIK-IK-CAL-0520_Rev.2,,
,No. Seri,,:,042,,,,,,,,,,,,,,,,,Satuan,,:,mm,,
,Rentang Ukur,,:,600,,1,,,,,,,,,,,,,,,,,,,,
,Kapasitas Max.,,:,600,,mm,,,,,Tanggal Terima ,,:,2026-01-15T00:00:00,,,,,,,,,,,,
,Resolusi Alat,,:,0.05,,mm,,,,,Tanggal Kalibrasi,,:,2026-01-15T00:00:00,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Penandatangan,,:,Alex Misramto,,
,KONDISI LINGKUNGAN,,,,,,,,,PENGERJAAN,,,,,,,,,,,Posisi,,:,Technical Manager,,
,,,,,,,,,,,,,,,,,,,,,Dihitung oleh,,:,DR,,
,,,,Awal,Akhir,,Average,,,,Lokasi Kalibrasi,,:,Lab. Dimensi PT. SIDIK,,,,,,,,,,,,
,Suhu Ruangan,,:,20.2,20.3,,20.25,oC,,,Technician ID,,:,1,,,,,,,Kerataan Muka Ukur,,,,,
,Kelembaban,,:,44,55,,49.5,%RH,,,Calibration Method,,:,20,,,,,,,Baik,,:,True,Baik,
,Thermohygro Used,,:,1,,,,,,,Standar Used,,:,Caliper Checker (CMG-9060C),,,,VALID,,,Buruk,,:,False,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
DATA HASIL KALIBRASI,,,,,,,,,,,,,,,,,,,,,Lookup status kalibrator,,:,233.52714050925715,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,Evaluation,,,,,,,,,,,,,,,,,,,,,,,,
,,Outside Measurement,,,,,,600,mm,,,,,Kerataan Muka Ukur,,,,,,,,,,,,
,,Nominal Caliper Checker (mm),,,,,600,,,,,,,,,,,,,,,,,,,
,,X1,X2,,X3,X4,X5,X6,X7,X8,X9,X10,,,,,,,,,,,,,,
,,600,600.05,,600.05,600.05,600.05,600.05,600,600,600,600,,,,,,,REMINDER! (don't use another nominal except below),,,,,,,
,,,,,,,,,,,,,,,,,,,List Nominal Caliper Checker Terkalibrasi,,,,,,,
,,Inside Measurement,,,,,,600,mm,,,,,,,,,,,,,,,,,
,,Nominal Caliper Checker (mm),,,,,600,,,,,,,,,,,,,,,,,,,
,,X1,X2,,X3,X4,X5,X6,X7,X8,X9,X10,,,,,,,,,,,,,,
,,600,600.05,,600.05,600.05,600.05,600.05,600,600,600,600,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,Measurement,,,,,,,,,,,,,,,,,,,,,,,,
,,Outside Measurement,,,,,,,,,,,,,,,,,,,,,,,,
,,Nominal Caliper Checker,,,Pembacaan Alat,,,,,,mm,,,,,,,,,,,,,,,
,,mm,,,X1,X1',X2,X2',X3,X3',X4,X4',X5,,X5',,,,,,,,,,,
,,0,,,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,50,,,50,50,50,50,50,50,50,50,50,,50,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,100,,,100.05,100.05,100.05,100.05,100.05,100.05,100.05,100.05,100.05,,100.05,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,150,,,150.05,150.05,150.05,150.1,150.05,150.05,150.05,150.05,150.05,,150.05,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,200,,,200,200.05,200,200.1,200,200.05,200.05,200.05,200.1,,200.05,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,300,,,300,300.1,300,300.1,300,300.1,300,300.1,300,,300.1,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,400,,,400.1,400.1,400.1,400.1,400.15,400.5,400.15,400.1,400.1,,400.1,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,500,,,500.15,500.2,500.2,500.15,500.2,500.2,500.2,500.15,500.15,,500.2,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,550,,,550.2,550.2,550.2,550.2,550.15,550.2,550.2,550.2,550.2,,550.2,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,600,,,600.2,600.15,600.2,600.2,600.2,600.2,600.2,600.15,600.2,,600.2,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Inside Measurement,,,,,,,,,,,,,,,,,,,,,,,,
,,Nominal Caliper Checker,,,Pembacaan Alat,,,,,,mm,,,,,,,,,,,,,,,
,,mm,,,X1,X1',X2,X2',X3,X3',X4,X4',X5,,X5',,,,,,,,,,,
,,0,,,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,50,,,50,50,50,50,50,50,50,50,50,,50,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,100,,,100.05,100.05,100.05,100.05,100.05,100.05,100.05,100.05,100.05,,100.05,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,150,,,150.05,150.05,150.05,150.1,150.05,150.05,150.05,150.05,150.05,,150.05,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,200,,,200,200.05,200,200.1,200,200.05,200.05,200.05,200.1,,200.05,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,300,,,300,300.1,300,300.1,300,300.1,300,300.1,300,,300.1,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,400,,,400.1,400.1,400.1,400.1,400.15,400.5,400.15,400.1,400.1,,400.1,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,500,,,500.15,500.2,500.2,500.15,500.2,500.2,500.2,500.15,500.15,,500.2,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,550,,,550.2,550.2,550.2,550.2,550.15,550.2,550.2,550.2,550.2,,550.2,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,600,,,600.2,600.15,600.2,600.2,600.2,600.2,600.2,600.15,600.2,,600.2,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,<50 mm    Depth Measurement (Kedalaman),,,,,,,,,,,,,,,,,,,,,,,,
,,Nominal Gauge Block,,,Pembacaan Alat,,,,,,mm,,,,,,,,,,,,,,,
,,mm,,,X1,X1',X2,X2',X3,X3',X4,X4',X5,,X5',,,,,,,,,,,
,,7.5,,,10,10,10,10,10,10,10,10,10,,10,,,,,,,,,,,
,,2.5,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11,,,20,20,20,20,20,20,20,20,20,,20,,,,,,,,,,,
,,9,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,21,,,30,30,30,30,30,30,30,30,30,,30,,,,,,,,,,,
,,9,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,40,,,40,40,40,40,40,40,40,40,40,,40,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,50,,,50,50,50,50,50,50,50,50,50,,50,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Pengukuran Kesejajaran Muka Ukur (Outside Measurement),,,,,,,,,,,,,,,,,,,,,,,,
,,Posisi,Nominal,,Pembacaan Alat,,,,,,,,,,,,,,,,,,,,,
,,,mm,,mm,,,,,,,,,,,,,,,,,,,,,
,,Atas,11,,11,,,,,,,,,,,,,,,,,,,,,
,,Tengah,11,,11,,,,,,,,,,,,,,,,,,,,,
,,Bawah,11,,11,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Issuance Date  :,,2026-01-19T00:00:00,,,,,,,,,,,,,,,,,,,,,,,
,Calculated by,,,Signed by,,,,,,,,,,,,,,,,,,,,,,
,Name:,3,,Name:,2,,,,,,,,,,,,,,,,,,,,,
