,IDENTITAS ALAT,,,,,,,,,,,,,IDENTITAS CUSTOMER,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nama Alat,,:,Jangka Sorong,,,,,,,,,,Nama Custromer,,:,[NAMA PELANGGAN DIREDAKSI],,,,,,,,,,,,,,,,,,,
,Merk,,:,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Type,,:,-,,,,,,,,,,Alamat Customer,,:,[ALAMAT PELANGGAN DIREDAKSI],,,,,,,,,,,,,,,,,,,
,No. Seri,,:,042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rentang Ukur,,:,600,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kapasitas Max.,,:,600,mm,600,mm,,,,,,,Tanggal Terima ,,:,2026-01-15T00:00:00,,,,,,,,,,,,,,,,,,,
,Resolusi Alat,,:,0.05,mm,0.05,mm,,,,,,,Tanggal Kalibrasi,,:,2026-01-15T00:00:00,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KONDISI LINGKUNGAN,,,,,,,,,,,,PENGERJAAN,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Awal,Akhir,Average,Indexed Value,Correction (C),,,Δ,C,U95% Std TH,U95% Sertifikat,,,,,,,,,,,,,,,,,,,,,,
,Suhu Ruangan,,:,20.2,20.3,20.25,19.3,-0.16,oC,,0.10000000000000142,-0.16,1.7,±,1.70293863659264,oC,,,,,,,,,,,,,,,,,,,,
,Kelembaban,,:,44,55,49.5,48.04,-1.9600000000000009,%RH,,11,-1.9600000000000009,4.8,±,12.001666550941998,%RH,,,,,,,,,,,,,,,,,,,,
,Thermohygro Used,,:,TH-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DATA HASIL KALIBRASI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Outside Measurement,,,,,,,,,600,mm,STDEV,Ustdmax,Ustdmax,,,,,,,,,,,,,,,,,,,,,
,,Nominal Caliper Checker (mm),,,,,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Ketidakpastian Caliper Checker (µm),,,,,600,,,,,,,,,,,,,,Rentang koefisien muai thermal caliper checker,,,Δα,Uα,,,,,,,,,,,
,,X1,X2,2,X3,X4,X5,X6,X7,X8,X9,X10,mm,µm,mm,,,,,,,,,1e-06,2e-06,,,,,,,,,,,
,,600,600.05,,600.05,600.05,600.05,600.05,600,600,600,600,0.026352313834712527,600,0.6,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Inside Measurement,,,,,,,,,600,mm,STDEV,,,,,,,,Rentang koefisien muai thermal gauge block,,,Δα,Uα,,,,,,,,,,,
,,Nominal Caliper Checker (mm),,,,,600,,,,,,,,,,,,,,,,,1e-05,2e-05,,,,,,,,,,,
,,Ketidakpastian Caliper Checker (µm),,,,,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,X1,X2,,X3,X4,X5,X6,X7,X8,X9,X10,mm,,,,,,,,,,,,,,,,,,,,,,,
,,600,600.05,,600.05,600.05,600.05,600.05,600,600,600,600,0.026352313834712527,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,Measurement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Outside Measurement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,n,Nominal Caliper Checker,,,Nilai UUT (Konvensional),,Total Nominal,Pembacaan Alat,,,,,,mm,,,,,,AVG,Suhu CK,Suhu UUT,ϴ,αs,αt,δα,α (avg),δϴ,ld,lw,lg,lf,Std Terkoreksi,STDEV,Koreksi,
,wringing,mm,,,mm,,mm,X1,X1',X2,X2',X3,X3',X4,X4',X5,,X5',,mm,oC,oC,oC,,,/oC,,,,,,,mm,mm,mm,
,1,0,,,,,0,0,0,0,0,0,0,0,0,0,,0,,0,20.25,20.25,0.25,1.2e-06,1.2e-06,0,1.2e-06,0,0,0,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,50,,,50.0004,,50.0004,50,50,50,50,50,50,50,50,50,,50,,50,,,,,,,,,0,0,0,0,50.0004,0,0.00039999999999906777,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,100,,,100.0005,,100.0005,100.05,100.05,100.05,100.05,100.05,100.05,100.05,100.05,100.05,,100.05,,100.04999999999998,,,,,,,,,0,0,0,0,100.0005,1.4979556132593925e-14,-0.04949999999998056,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,150,,,150.0003,,150.0003,150.05,150.05,150.05,150.1,150.05,150.05,150.05,150.05,150.05,,150.05,,150.05499999999998,,,,,,,,,0,0,0,0,150.0003,0.0158113883008365,-0.05469999999996844,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,200,,,199.9993,,199.9993,200,200.05,200,200.1,200,200.05,200.05,200.05,200.1,,200.05,,200.045,,,,,,,,,0,0,0,0,199.9993,0.03689323936863006,-0.04569999999998231,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,300,,,299.99955,,299.99955,300,300.1,300,300.1,300,300.1,300,300.1,300,,300.1,,300.05,,,,,,,,,0,0,0,0,299.99955,0.05270462766948497,-0.050450000000012096,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,400,,,399.9982,,399.9982,400.1,400.1,400.1,400.1,400.15,400.5,400.15,400.1,400.1,,400.1,,400.15,,,,,,,,,0,0,0,0,399.9982,0.12472191289245763,-0.15179999999998017,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,500,,,499.99865,,499.99865,500.15,500.2,500.2,500.15,500.2,500.2,500.2,500.15,500.15,,500.2,,500.17999999999995,,,,,,,,,0,0,0,0,499.99865,0.025819888974721983,-0.18134999999995216,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,550,,,549.9978,,549.9978,550.2,550.2,550.2,550.2,550.15,550.2,550.2,550.2,550.2,,550.2,,550.1949999999999,,,,,,,,,0,0,0,0,549.9978,0.01581138830086347,-0.19719999999995252,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,600,,,599.9973,,599.9973,600.2,600.15,600.2,600.2,600.2,600.2,600.2,600.15,600.2,,600.2,,600.1899999999998,,,,,,,,,0,0,0,0,599.9973,0.021081851067817958,-0.19269999999983156,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Max.,1,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Max STDEV,0.12472191289245763,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Inside Measurement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,n,Nominal Caliper Checker,,,Nilai UUT (Konvensional),,Total Nominal,Pembacaan Alat,,,,,,mm,,,,,,AVG,Suhu GB,Suhu UUT,ϴ,αs,αt,δα,α (avg),δϴ,ld,lw,lg,lf,Std Terkoreksi,STDEV,Koreksi,
,wringing,mm,,,mm,,mm,X1,X1',X2,X2',X3,X3',X4,X4',X5,,X5',,mm,oC,oC,oC,,,/oC,,,,,,,mm,mm,mm,
,1,0,,,,,0,0,0,0,0,0,0,0,0,0,,0,,0,20.25,20.25,0.25,0,0,0,1.2e-06,0,0,0,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,50,,,50.0006,,50.0006,50,50,50,50,50,50,50,50,50,,50,,50,,,,,,,,,0,0,0,0,50.0006,0,0.0005999999999986017,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,100,,,100.0011,,100.0011,100.05,100.05,100.05,100.05,100.05,100.05,100.05,100.05,100.05,,100.05,,100.04999999999998,,,,,,,,,0,0,0,0,100.0011,0,-0.04889999999998906,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,150,,,150.0006,,150.0006,150.05,150.05,150.05,150.1,150.05,150.05,150.05,150.05,150.05,,150.05,,150.05499999999998,,,,,,,,,0,0,0,0,150.0006,0.02236067977499027,-0.0543999999999869,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,200,,,199.99975,,199.99975,200,200.05,200,200.1,200,200.05,200.05,200.05,200.1,,200.05,,200.045,,,,,,,,,0,0,0,0,199.99975,0.04472135954999484,-0.04524999999998158,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,300,,,300.002,,300.002,300,300.1,300,300.1,300,300.1,300,300.1,300,,300.1,,300.05,,,,,,,,,0,0,0,0,300.002,0.05477225575052906,-0.04800000000000182,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,400,,,399.99885,,399.99885,400.1,400.1,400.1,400.1,400.15,400.5,400.15,400.1,400.1,,400.1,,400.15,,,,,,,,,0,0,0,0,399.99885,0.02236067977497756,-0.1511499999999728,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,500,,,499.9991,,499.9991,500.15,500.2,500.2,500.15,500.2,500.2,500.2,500.15,500.15,,500.2,,500.17999999999995,,,,,,,,,0,0,0,0,499.9991,0.027386127875264534,-0.18089999999995143,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,550,,,549.9987,,549.9987,550.2,550.2,550.2,550.2,550.15,550.2,550.2,550.2,550.2,,550.2,,550.1949999999999,,,,,,,,,0,0,0,0,549.9987,0.022360679775028404,-0.19629999999995107,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,600,,,599.9989,,599.9989,600.2,600.15,600.2,600.2,600.2,600.2,600.2,600.15,600.2,,600.2,,600.1899999999998,,,,,,,,,0,0,0,0,599.9989,0.022360679775028404,-0.19109999999977845,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Max.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Max STDEV,0.05477225575052906,,
,,<50 mm    Depth Measurement (Kedalaman),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,n,Nominal Gauge Block,,,Nilai UUT (Konvensional),,Total Nominal,Pembacaan Alat,,,,,,mm,,,,,,AVG,Suhu GB,Suhu UUT,ϴ,αs,αt,δα,α (avg),δϴ,ld,lw,lg,lf,Std Terkoreksi,STDEV,Koreksi,
,wringing,mm,,,mm,,mm,X1,X1',X2,X2',X3,X3',X4,X4',X5,,X5',,mm,oC,oC,oC,,,/oC,,,,,,,mm,mm,mm,
,2,7.5,,,7.49989,,10.000029999999999,10,10,10,10,10,10,10,10,10,,10,,10,20.25,20.25,0.25,0,0,0,1.2e-06,0,0,0,0,0,10.000029999999999,0,2.999999999886427e-05,
,,2.5,,,2.50014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,11,,,11.00014,,20.00005,20,20,20,20,20,20,20,20,20.01,,20.01,,20.002,,,,,,,,,0,0,0,0,20.00005,0,-0.0019499999999972317,
,,9,,,8.99991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,21,,,20.99987,,29.99978,30,30,30,30.01,30.01,30,30,30.01,30,,30,,30.002999999999997,,,,,,,,,0,0,0,0,29.99978,0.005477225575052517,-0.0032199999999953377,
,,9,,,8.99991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
