,FORM VALIDASI MASTER OLAH DATA KALIBRASI,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Lingkup Kalibrasi                   :,,Dimensi,,,,,,,,,,,,,,,,,,,,
,Jenis/Type Pengukuran       :,,Dial Indicator,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,No.,Master Name,Last Modified Date,Detail Modified,PIC,,CHECK,,VALIDATION,,Notes/Revision,,,,,,,,,,,,
,1,Master Olah Data_Dial Indicator,2022-07-06T00:00:00,"- Creating All Sheets
",HN,,NR,,AM,,"Update IK order number based on DID on database, adding TH-3 s/d 7,
",,,,,,,,,,,,
,,,,,Position :,,Position :,Supervisor,Position :,Technical Manager,,,,,,,,,,,,,
,,,,,Date:,2022-07-06T00:00:00,Date:,2022-07-08T00:00:00,Date:,2022-07-08T00:00:00,,,,,,,,,,,,,
,2,Master Olah Data_Dial Indicator,24 oktober 2022,Update TH-1 - TH-7 & Calibration Methode,HN,,NR,,AM,,Revisi format perhitungan,,,,,,,,,,,,
,,,,,Position :,,Position :,Supervisor,Position :,Technical Manager,,,,,,,,,,,,,
,,,,,Date:,2022-10-24T00:00:00,Date:,2022-10-26T00:00:00,Date:,2002-10-28T00:00:00,,,,,,,,,,,,,
,3,Master Olah Data_Dial Indicator,2022-12-08T00:00:00,"Menghilangkan Perhitungan down, menghilangkan ketidakpastian histerisis, menambhakan ketidakpastian kesalahan geometri, perubahan nilai koefisien sensitivitas komponen ketidakpastian untuk perubahan suhu terhadap suhu acuan, koefisien muai thermal, selisih suhu anatara balok ukur dengan UUT dan  revisi format pelaporan",HN,,NR,,AM,,Update latest survaylen 2022 revision result,,,,,,,,,,,,
,,,,,Position :,,Position :,Supervisor,Position :,Technical Manager,,,,,,,,,,,,,
,,,,,Date:,2022-12-08T00:00:00,Date:,2022-12-10T00:00:00,Date:,2022-12-12T00:00:00,,,,,,,,,,,,,
,4,Master Olah Data_Dial Indicator,2023-03-20T00:00:00,"-Remove lokasi kalibrasi table on ""Database"" sheet
-Adding DR on pelaksana kalibrasi on ""Database"" sheet
-Changing jabatan according to latest SO on ""Database"" sheet
-Updating IK on ""Database"" sheet
-Adding ""- Calibration results are not to be announced and only apply to related tools -"" statement on ""Sertifikat"" sheet
-Adding calibrator status monitoring on ""Input Data"" sheets",HN,,,,,,Update std gauge block 200mm,,,,,,,,,,,,
,,,,,Position :,,Position :,,Position :,,,,,,,,,,,,,,
,,,,,Date:,2023-03-20T00:00:00,Date:,,Date:,,,,,,,,,,,,,,
,5,Master Olah Data_Dial Indicator,2023-05-17T00:00:00,-Adding standar gauge block 200mm,HN,,,,,,,,,,,,,,,,,,
,,,,,Position :,,Position :,,Position :,,,,,,,,,,,,,,
