PT. SIDIK,,,"KALIBRASI
DIAL INDICATOR",,,,,,,,,,,,LK-285-IDN,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibrator Standard Status Monitoring :,,,,,,,,,,ALL STANDARDS ARE VALID,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Certificate Number,,,:,0392-CAL-324,,,,,,,,,,
,,,,,,,,,,,,Order Number,,,:,2403.32.GI,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,IDENTITAS ALAT,,,,,,,,,,IDENTITAS CUSTOMER,,,,,,,,,,DON'T ERASE ! THIS DATA ARE FOR CALCULATION ,,,,,
,,,,,,,,,,,,,,,,,,,,,Thermohygro used,,:,TH-1,,
,Nama Alat,,:,Dial Consolidation ,,,,,,,Nama Custromer,,:,[NAMA PELANGGAN DIREDAKSI],,,,,,,,,,,,
,Merk,,:,Soiltest,,,,,,,,,,,,,,,,,Teknisi,,:,AJ,,
,Type,,:,LC-13,,,,,,,Alamat Customer,,:,[ALAMAT PELANGGAN DIREDAKSI],,,,,,,Metode Kalibrasi,,:,SIDIK-IK-CAL-0519_Rev.3,,
,No. Seri,,:,DC-36,,,,,,,,,,,,,,,,,Satuan,,:,mm,,
,Rentang Ukur,,:,25,,1,,,,,,,,,,,,,,,,,,,,
,Kapasitas Max.,,:,25,,mm,,,,,Tanggal Terima ,,:,2024-05-03T00:00:00,,,,,,,,,,,,
,Resolusi Alat,,:,0.01,,mm,,,,,Tanggal Kalibrasi,,:,2024-05-06T00:00:00,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Penandatangan,,:,Alex Misramto,,
,KONDISI LINGKUNGAN,,,,,,,,,PENGERJAAN,,,,,,,,,,,Posisi,,:,Technical Manager,,
,,,,,,,,,,,,,,,,,,,,,Dihitung oleh,,:,NR,,
,,,,Awal,Akhir,,Average,,,,Lokasi Kalibrasi,,:,Lab. Dimensi PT SIDIK,,,,,,,,,,,,
