Budget Ketidakpastian Dial Indicator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Componen,,,,,,,Satuan,Distribusi,u,,,Disivsor,,,vi,,,ui,,ci,,uici,,,(uici)2,,( uici )4/ vi,,,,,,,,,
,repeatability,,,,,,,mm,t-student,3.744889033148481e-15,,,2.23606797749979,,,4,,,1.6747652892626934e-15,,1,,1.6747652892626934e-15,,,2.804838774119153e-30,,1.9667801372005583e-60,,,,,,,,,
,Resolusi,,,,,,,mm,rect.,0.005,,,1.7320508075688772,,,200,,,0.002886751345948129,,1,,0.002886751345948129,,,8.333333333333334e-06,,3.4722222222222227e-13,,,,,,,,,
,Standard balok ukur,,,,,,,mm,normal,0.00019798989873223333,,,2,,,200,,,9.899494936611667e-05,,1,,9.899494936611667e-05,,,9.800000000000003e-09,,4.802000000000003e-19,,,,,,,,,
,Perubahan suhu terhadap suhu acuan 200c,,,,,,,/⁰C,rect.,0.75,,,1.7320508075688772,,,200,,,0.43301270189221935,,0.00042,,0.00018186533479473213,,,3.3075000000000003e-08,,5.469778125000001e-18,,,,,,,,,
,Koefisien muai thermal,,,,,,,/⁰C,rect.,2e-05,,,2.449489742783178,,,200,,,8.164965809277262e-06,,15.75,,0.00012859821149611688,,,1.6537500000000005e-08,,1.367444531250001e-18,,,,,,,,,
,Drift standard,,,,,,,mm/tahun,rect.,0.001521233335720492,,,1.7320508075688772,,,200,,,0.0008782844758784585,,1,,0.0008782844758784585,,,7.713836205690986e-07,,2.975163450411455e-15,,,,,,,,,
,Lapisan wringing,,,,,,,mm,rect.,8.660254037844388e-05,,,1.7320508075688772,,,200,,,5.000000000000001e-05,,1,,5.000000000000001e-05,,,2.500000000000001e-09,,3.125000000000002e-20,,,,,,,,,
,Kesalahan ketegaklurusan,,,,,,,mm,rect.,0.002,,,1.7320508075688772,,,200,,,0.0011547005383792516,,1,,0.0011547005383792516,,,1.3333333333333334e-06,,8.88888888888889e-15,,,,,,,,,
,Meja Granit (meja Rata),,,,,,,mm,normal,0.0062,,,2,,,200,,,0.0031,,1,,0.0031,,,9.61e-06,,4.617604999999999e-13,,,,,,,,,
,Selisih suhu Dial dengan balok ukur,,,,,,,⁰C,rect.,0,,,1.7320508075688772,,,200,,,0,,0.00042,,0,,,0,,0,,,,,,,,,
,Sums,,,,,,,,,,,,,,,,,,,,,,,,,2.0109962787235764e-05,,8.208541232341789e-13,,,,,,,,,
,"Ketidakpastian baku gabungan, uc",,,,,,,,,,,,,,,,,,,,,,,,,0.004484413315834722,,,,,,,,,,,
,"Derajat kebebasan efektif, neff",,,,,,,,,,,,,,,,,,,,,,,,,492.670490233542,,,,,,,,,,,
,"Faktor cakupan, k-student’s untuk neff dan CL 95 %",,,,,,,,,,,,,,,,,,,,,,,,,1.964797355653943,,,,,,,,,,,
,"Ketidak pastian bentangan, U = kuc",,,,,,,,,,,,,,,,,,,,,,,,,0.008810963424611393,,,,,mm,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,CMC,0.0065,,,,,mm,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,U95% Sertif.,0.008810963424611393,,,,,mm,,,,,,
