,FORM VALIDASI MASTER OLAH DATA KALIBRASI,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Lingkup Kalibrasi                   :,,Dimensi,,,,,,,,,,,,,,,,,,,,
,Jenis/Type Pengukuran       :,,Sieve Mesh,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,No.,Master Name,Last Modified Date,Detail Modified,PIC,,CHECK,,VALIDATION,,Notes/Revision,,,,,,,,,,,,
,1,Master Olah Data_Sieve Mesh,2023-03-27T00:00:00,"- Creating All Sheets
",HN,,,,,,,,,,,,,,,,,,
,,,,,Position :,,Position :,,Position :,,,,,,,,,,,,,,
,,,,,Date:,2023-03-27T00:00:00,Date:,,Date:,,,,,,,,,,,,,,
,2,Master Olah Data_Sieve Mesh,2023-07-05T00:00:00,"-Updating NEW CMC based on New RLK 2023
-Updating interval kalibrasi std. kalibrator based on schedule program kalibrasi berkala & uji antara",HN,,,,,,,,,,,,,,,,,,
,,,,,Position :,,Position :,,Position :,,,,,,,,,,,,,,
,,,,,Date:,2023-07-05T00:00:00,Date:,,Date:,,,,,,,,,,,,,,
,3,Master Olah Data_Sieve Mesh,2023-07-31T00:00:00,"-Updating Caliper recalibration 2023 on Database, and Standar_Kalibrator sheet",HN,,,,,,,,,,,,,,,,,,
,,,,,Position :,,Position :,,Position :,,,,,,,,,,,,,,
,,,,,Date:,2023-07-31T00:00:00,Date:,,Date:,,,,,,,,,,,,,,
,4,Master Olah Data_Sieve Mesh,2023-10-30T00:00:00,"Revisi technician ID (JO,RH)",HN,,,,,,,,,,,,,,,,,,
,,,,,Position :,,Position :,,Position :,,,,,,,,,,,,,,
,,,,,Date:,2023-10-30T00:00:00,Date:,,Date:,,,,,,,,,,,,,,
,5,Master Olah Data_Sieve Mesh,2024-02-26T00:00:00,"Update technician ID : Replace RH to CA
Update metode kalibrasi (last updated)
Revisi tampilan penomoran lubany x y",HN,,NR,,,,,,,,,,,,,,,,
,,,,,Position :,,Position :,Supervisor,Position :,,,,,,,,,,,,,,
,,,,,Date:,2024-02-26T00:00:00,Date:,2024-02-28T00:00:00,Date:,,,,,,,,,,,,,,
,6,Master Olah Data_Sieve Mesh,2024-03-22T00:00:00,"-Update std microscope dinolite recalibration 2024  (update correction in x and y axis)
-Update nominal openings maximum column 4 (±Y)",HN,,NR,,,,,,,,,,,,,,,,
,,,,,Position :,,Position :,Supervisor,Position :,,,,,,,,,,,,,,
,,,,,Date:,2024-03-22T00:00:00,Date:,2024-04-22T00:00:00,Date:,,,,,,,,,,,,,,
,7,Master Olah Data_Sieve Mesh,2024-05-17T00:00:00,Merubah divisor budget ketidakpastian alat standar microscope dinolike dengan nilai K=2.02 (sesuai sertif kalibrasinya),HN,,,,,,,,,,,,,,,,,,
