PT. SIDIK,,,,"KALIBRASI
SIEVE MESH",,,,,,,,,,,,,LK-285-IDN,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Calibrator Standard Status Monitoring :,,,,,,,,ALL STANDARDS ARE VALID,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Type of Sieve Mesh,,:,2,,,,,,,,,Certificate Number,,,:,0736-CAL-526,,,,,,,,,
,,,,,,,,,,,,,,Order Number,,,:,2605.60.B,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,IDENTITAS ALAT,,,,,,,,,,,IDENTITAS CUSTOMER,,,,,,,,,DON'T ERASE ! THIS DATA ARE FOR CALCULATION ,,,,,
,,,,,,,,,,,,,,,,,,,,,,Thermohygro used,,:,TH-1,,
,,Nama Alat,,:,Sieve Mesh,,,,,,,,Nama Custromer,,:,[NAMA PELANGGAN DIREDAKSI],,,,,,Standar Used,,:,Digital Caliper,,
,,Merk,,:,"Soiltest, Inch",,,,,,,,,,,,,,,,,Teknisi,,:,CA,,
,,Type,,:,ASTM E11,,,,,,,,Alamat Customer,,:,[ALAMAT PELANGGAN DIREDAKSI],,,,,,Metode Kalibrasi,,:,SIDIK-IK-CAL-0526_Rev.3,,
,,No. Seri,,:,SK 19,,,,,,,,,,,,,,,,,Satuan,,:,mm,,
,,Nominal Sieve,,:,19,,1,Sieve No. ,,-,*automatically filled,,,,,,,,,,,Type sieve,,:,Inspection,,
,,Diameter Kawat,,:,3.15,,mm,*automatically filled,,,,,Tanggal Terima ,,:,2026-05-09T00:00:00,,,,,Opening:,Conversion to mm,,:,19,mm,
,,Minimum Σ Opening,,:,15,,openings,*automatically filled,,,,,Tanggal Kalibrasi,,:,2026-05-11T00:00:00,,,,,,Index value sieve,,:,19,mm,
,,Diameter Frame,,:,200,,mm,,,,,,,,,,,,,,Diameter kawat:,Lookup Diameter kawat,,:,3.15,mm,
,,Tinggi Frame,,:,68.52,,mm,,,,,,,,,,,,,,,,,,,,
