STANDAR KALIBRATOR,,,,,,,,,,,,,,,,,,,,,,,,,,
,Name ,Digital Microscope,,Tgl Kalibrasi,2026-02-13T00:00:00,,,,Name ,Digital Caliper,,Tgl Kalibrasi,2025-07-25T00:00:00,,,,,,,,,,,,,
,No Seri,B1401068,,,,,,,No Seri,LPI-0368,,,,,,,,,,,,,,,,
,Merk,Dino-Lite,,,,,,,Merk,Tesa,,,,,,,,,,,,,,,,
,Tipe,AF3113,,,,,,,Tipe,Cal-IP67,,,,,,,,,,,,,,,,
,Rentang Ukur,-,,,,,,,Rentang Ukur,150,mm,,,,,,,,,,,,,,,
,Resolusi,0.0001,mm,,,,,,Resolusi,0.01,mm,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Outside Mesurement,,,,,,,,,,,,,,,,,
,X-Axis,Nilai Standar,Rata-rata Penunjukan Alat,,Koreksi,U95%,,,,Nilai Standar,Rata-rata Penunjukan Alat,,Koreksi,U95%,,,,,,,,,,,,
,,mm,mm,,mm,mm,,,,mm,mm,,mm,mm,,,,,,,,,,,,
,,0.0102,0.0097,,0.0005000000000000004,0.0064,,,,1.1,1.1,,0,0.015,,,,,,,,,,,,
,,0.1004,0.1003,,0.00010000000000000286,,,,,2.5,2.5,,0,,,,,,,,,,,,,
,,0.5001,0.5007,,-0.0006000000000000449,,,,,6,5.99,,0.009999999999999787,,,,,,,,,,,,,
,,0.9999,1.0003,,-0.00039999999999995595,,,,,11,11,,0,,,,,,,,,,,,,
,,2.0002,1.9997,,0.0004999999999999449,,,,,16,15.99,,0.009999999999999787,,,,,,,,,,,,,
,,2.9996,3,,-0.00039999999999995595,,,,,21,20.99,,0.010000000000001563,,,,,,,,,,,,,
,,3.9998,4.0007,,-0.0009000000000001229,,,,,50,49.99,,0.00999999999999801,,,,,,,,,,,,,
,,5.0003,5.002,,-0.0016999999999995907,,,,,100,100,,0,,,,,,,,,,,,,
,,5.9997,6.0023,,-0.0026000000000001577,,,,,120,119.99,,0.010000000000005116,,,,,,,,,,,,,
,,7.9997,8.0037,,-0.004000000000000448,,,,,150,150,,0,,,,,,,,,,,,,
,,9.9996,10.0047,,-0.0051000000000005485,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Y-Axis,Nilai Standar,Rata-rata Penunjukan Alat,,Koreksi,U95%,,,,,,,,,,,,,,,,,,,,
,,mm,mm,,mm,mm,,,,,,,,,,,,,,,,,,,,
,,0.0102,0.0103,,-9.99999999999994e-05,0.0063,,,,,,,,,,,,,,,,,,,,
,,0.1004,0.1007,,-0.0002999999999999947,,,,,,,,,,,,,,,,,,,,,
,,0.5001,0.5003,,-0.00019999999999997797,,,,,,,,,,,,,,,,,,,,,
,,0.9999,1.0003,,-0.00039999999999995595,,,,,,,,,,,,,,,,,,,,,
,,2.0002,2.0007,,-0.000500000000000167,,,,,,,,,,,,,,,,,,,,,
,,2.9996,2.9997,,-9.999999999976694e-05,,,,,,,,,,,,,,,,,,,,,
,,3.9998,4.0007,,-0.0009000000000001229,,,,,,,,,,,,,,,,,,,,,
,,5.0003,5.0027,,-0.0023999999999997357,,,,,,,,,,,,,,,,,,,,,
,,5.9997,6.0047,,-0.004999999999999893,,,,,,,,,,,,,,,,,,,,,
,,7.9997,8.0043,,-0.004600000000000826,,,,,,,,,,,,,,,,,,,,,
,,9.9996,10.0053,,-0.0057000000000009265,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,"NOMINAL DIMENSION AND MAXIMUM PERMISSIBLE ERROR OF APERTURE AND DIAMETERS
(Based on ASTM E-11 & ISO 3310)",,,,,,,,,,,,,,,,,,,,,,,,,
,Sieve Standard Size,,,,Σ Sample Opening,,,MPE Aperture Size,,,MPE Diameter Size,,,,,,,,,,,,,,,
,Size (mm),Sieve No.,Size (µm),Size (inch),"Compliance Sieve
per 100 ft2","Inspection Sieve
per sieve","Calibration Sieve
per sieve",+X (mm),±Y (mm),Max. Stdev (mm),Preferred Size (mm),Max. Size (mm),Min. Size (mm),,,,,,,,,,,,,
,125,-,125000,5,20,all,all,4.06,3.3,-,8,9.2,6.8,,,,,,,,,,,,,
,106,-,106000,4.24,20,all,all,3.59,2.8,-,6.3,7.2,5.4,,,,,,,,,,,,,
,100,-,100000,4,20,all,all,3.44,2.65,-,6.3,7.2,5.4,,,,,,,,,,,,,
,90,-,90000,3.5,20,all,all,3.18,2.39,-,6.3,7.2,5.4,,,,,,,,,,,,,
,75,-,75000,3,20,all,all,2.78,2,-,6.3,7.2,5.4,,,,,,,,,,,,,
,63,-,63000,2.5,20,all,all,2.44,1.69,-,5.6,6.4,4.8,,,,,,,,,,,,,
,56,-,56000,2.2,20,all,all,2.24,1.5,-,5,5.8,4.3,,,,,,,,,,,,,
,53,-,53000,2.12,20,all,all,2.15,1.42,-,5,5.8,4.3,,,,,,,,,,,,,
,50,-,50000,2,20,all,all,2.06,1.34,-,5,5.8,4.3,,,,,,,,,,,,,
,45,-,45000,1.75,20,all,all,1.91,1.21,1,4.5,5.2,3.8,,,,,,,,,,,,,
,40,-,40000,1.57,20,all,all,1.75,1.08,1,4.5,5.2,3.8,,,,,,,,,,,,,
,37.5,-,37500,1.5,20,all,all,1.67,1.01,1,4.5,5.2,3.8,,,,,,,,,,,,,
,35.5,-,35500,1.4,20,all,all,1.6,0.961,1,4,4.6,3.4,,,,,,,,,,,,,
,31.5,-,31500,1.25,20,all,all,1.47,0.855,0.907,4,4.6,3.4,,,,,,,,,,,,,
,28,-,28000,1.1,20,all,all,1.35,0.762,0.801,3.55,4.1,3,,,,,,,,,,,,,
,26.5,-,26500,1.06,20,all,all,1.29,0.722,0.757,3.55,4.1,3,,,,,,,,,,,,,
,25,-,25000,1,20,all,all,1.24,0.682,0.714,3.55,4.1,3,,,,,,,,,,,,,
,22.4,-,22399.999999999996,0.875,150,15,30,1.14,0.613,0.641,3.55,4.1,3,,,,,,,,,,,,,
,20,-,20000,0.787,150,15,30,1.05,0.548,0.575,3.15,3.6,2.7,,,,,,,,,,,,,
,19,-,19000,0.75,150,15,30,1.01,0.522,0.547,3.15,3.6,2.7,,,,,,,,,,,,,
,18,-,18000,0.709,150,15,30,0.97,0.495,0.52,3.15,3.6,2.7,,,,,,,,,,,,,
,16,-,16000,0.625,150,15,30,0.89,0.441,0.441,3.15,3.6,2.7,,,,,,,,,,,,,
,14,-,14000,0.551,150,15,30,0.81,0.387,0.387,2.8,3.2,2.4,,,,,,,,,,,,,
,13.2,-,13199.999999999998,0.53,150,15,30,0.78,0.365,0.392,2.8,3.2,2.4,,,,,,,,,,,,,
