CALIBRATION BUDGET UNCERTAINTY,,,,,,,,,,,,,,,
Unit of Measurement,:,Volume ,,,Note :,ΔR ,: Weight of DW,,0.9997000000000001 [=PERHITUNGAN!N29],g (J5),,,,,
The Type of Equipment,:,Volumetric Glassware,,,pa,ρair   ,: Density of Air,,0.001101287184161609 [=PERHITUNGAN!H57],g/ml,,,,,
Calibrator Standard Used,:,Analytical Balance [='INPUT DATA'!Y19],,,pw,ρdw        ,: Density of DW,,0.9964251596993278 [=PERHITUNGAN!N45],g/ml (J7),,,,,
Formula,:,Correction =,Equipment Nominal - V20,,pb,ρAT     ,: Density of Weight Std.,,7.95 [=PERHITUNGAN!H58],g/ml,,,,,
Equipment Name,:,Pippete Volume [='INPUT DATA'!E10],,,,twater      ,: Temperature of DW,,27.32502900705911 [=PERHITUNGAN!N35],oC (J9),,,,,
,,,,,ac,γ        ,: Expansion Coefficient of Material,,1.5e-05 [=PERHITUNGAN!H59],ml/oC,,,,,
Uncertainty of Calibrator (Standard),,,,,,,,,,,,,,,
1. Water Destillate Weighing (Umassa aqudest),,,2. Temperature (UTemperature),,,,,,,,,,,,
a. Utimb (g)        ,= [=],,a. U95% Thermometer Certificate (oC),,,= [=],,,,,,,,,
LOP atau read.  ,:,"0.0001 [=IF(C5=""Analytical Balance"",DATABASE!AD19,IF(C5=""Electronic Balance Excellent"",DATABASE!AD20,IF(C5=""Electronic Balance Fujitsu"",DATABASE!AD21,""pilih standar timbangan"")))]",    U95% Thermometer (Yokogawa),,,:,0.72 [=DATABASE!AB22],,,,,,,,
k atau 31/2             ,:,1.7320508075688772 [=SQRT(3)],    k,,,:,2,,,,,,,,
Utimb (g),= [=],5.7735026918962585e-05 [=C13/C14],    Utemp. (oC),,,= [=],0.36 [=H13/H14],,,,,,,,
b. Urepeat (g)     ,= [=],,b. U95% Sensor Certificate (oC),,,= [=],,,,,,,,,
stdev timb,:,"0 [=IF(C5=""Analytical Balance"",DATABASE!AE19,IF(C5=""Electronic Balance Excellent"",DATABASE!AE20,IF(C5=""Electronic Balance Fujitsu"",DATABASE!AE20,""pilih standar timbangan"")))]",    U95% Sensor (PRT),,,:,0.08 [=DATABASE!AB23],,,,,,,,
n,:,10,    k,,,:,2,,,,,,,,
Urepeat (g),= [=],0 [=C17/SQRT(C18)],    Utemp. (oC),,,= [=],0.04 [=H17/H18],,,,,,,,
c. Umassa adest (g),= [=],5.7735026918962585e-05 [=SQRT((C15)^2+(C19)^2)],c. Ut-water (oC),,,= [=],,,,,,,,,
,,,    (Tmax-Tmin)Water,,,:,0 [=PERHITUNGAN!O35-PERHITUNGAN!P35],,,,,,,,
,,,    2√3,,,:,3.4641016151377544 [=2*SQRT(3)],,,,,,,,
,,,    Ut-water (oC),,,:,0 [=H21/H22],,,,,,,,
,,,d. UTemperature (oC),,,= [=],,,,,,,,,
,,,,,,= [=],0.36221540552549664 [=SQRT((H15)^2+(H19)^2+(H23)^2)],,,,,,,,
                           Uncertainty of Meniscus,,,,,,,,,,,,,,,
Tebal garis :,0.1,mm,,,,,,,,,,,,,
            Up :,0.05 [=B27/2],mm,,,,,,,,,,,,,
             ø :,"4.7 [=VLOOKUP('INPUT DATA'!I17,Tabel_Diameter,2,0)]",mm,,,,,,,,,,,,,
             E :,17.340650000000004 [=(3.14*(B29^2))/4],mm2,,,,,,,,,,,,,
Umeniscus :,0.8670325000000002 [=B28*B30],mm3,,,,,,,,,,,,,
,0.0008670325000000002 [=B31/1000],ml,,,,,,,,,,,,,
Max Capacity of UUT,:,1 [='INPUT DATA'!E15],ml [='INPUT DATA'!G15],Type Alat :,Pipet Volume [='INPUT DATA'!Y15],,,,,,,,,,
Component,Unit,Distribution,U,Divisor,vi,ui,ci,uici,(uici)2,(uici)4/vi,,,,,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),,,,,
Weight of Destillate Water,g,Normal,5.7735026918962585e-05 [=C20],2,18,2.8867513459481293e-05 [=D36/E36],1.0044485425325806 [=((J6-J4)/(J6*(J5-J4)))*(1-(J8*(J7-20)))],2.8995931820915638e-05 [=G36*H36],8.40764062163188e-10 [=I36^2],3.9271344901396954e-20 [=(J36^2)/F36],,,,,
Density of Air,g/mL,Rectangular,0.0001101287184161609 [=(10%*J4)],1.7320508075688772 [=SQRT(3)],50,6.358284522307899e-05 [=D37/E37],0.8825394640041497 [=J3*((J6-J5)/(J6*((J5-J4)^2)))*(1-(J8*(J7-20)))],5.611437014303494e-05 [=G37*H37],3.148822536549531e-09 [=I37^2],1.9830166733364447e-19 [=(J37^2)/F37],,,,,
Density of Destillate Water,g/mL,Normal,5e-05 [=0.05/1000],2,60,2.5e-05 [=D38/E38],-0.8825394640041497 [=-J3*((J6-J5)/(J6*((J5-J4)^2)))*(1-(J8*(J7-20)))],-2.2063486600103746e-05 [=G38*H38],4.867974409529575e-10 [=I38^2],3.94952914197247e-21 [=(J38^2)/F38],,,,,
Density of Weight Standard,g/mL,Rectangular,0.795 [=(10%*J6)],1.7320508075688772 [=SQRT(3)],50,0.4589934640057525 [=D39/E39],1.7499429021467064e-05 [=J3*J4/(J6^2*(J5-J4))*(1-(J8*(J7-20)))],8.032123544685963e-06 [=G39*H39],6.45150086370986e-11 [=I39^2],8.324372678889815e-23 [=(J39^2)/F39],,,,,
Temperature of Destillate Water,°C,Normal,0.36221540552549664 [=H25],2,60,0.18110770276274832 [=D40/E40],-0.00011034323539704559 [=(-J3*J8*(J6-J4)*(J7-20)/(J6*(J5-J4)))],-1.99840098781681e-05 [=G40*H40],3.9936065081072024e-10 [=I40^2],2.658148823599367e-21 [=(J40^2)/F40],,,,,
Expansion Coefficient of Material,/°C,Rectangular,1.5e-06 [=(10%*J8)],1.7320508075688772 [=SQRT(3)],40,8.660254037844387e-07 [=D41/E41],1.004257551205218 [=(J3*(J6-J4))/(J6*(J5-J4))],8.697125512860706e-07 [=G41*H41],7.563999218645259e-13 [=I41^2],1.4303521044916523e-26 [=(J41^2)/F41],,,,,
Meniscus,mL,Rectangular,0.0008670325000000002 [=B32],1.7320508075688772,50,0.0005005814472711543 [=D42/E42],1,0.0005005814472711543 [=G42*H42],2.5058178535208346e-07 [=I42^2],1.2558246230047526e-15 [=(J42^2)/F42],,,,,
Repeated measurements,mL,Normal,5.7998237106121164e-05 [=PERHITUNGAN!N47/SQRT(3)],1,2,5.7998237106121164e-05 [=D43/E43],1,5.7998237106121164e-05 [=G43*H43],3.36379550741785e-09 [=I43^2],5.657560107862255e-18 [=(J43^2)/F43],,,,,
SUM,,,,,,,,0.0006105443259589263 [=SUM(I36:I43)],2.588865969585367e-07 [=SUM(J36:J43)],1.2617264470608456e-15 [=SUM(K36:K43)],,,,,
"Uncertainty Combination, uc",,,,,,,,0.000508808998503895 [=SQRT(J44)],,ml,,,,,
Veff,,,,,,,,11846.497219115998 [=(I45^4)/K43],,,,,,,
K Factor & Confident Level 95%,,,,,,,,"1.9601642639177788 [=TINV(0.05,I46)]",,,,,,,
"Expanded Uncertainty, U = k.Uc",,,,,,,,0.0009973492160271296 [=I45*I47],,,,,,,
Indexed Value (Nominal Glass for CMC),"1 [ARRAY:=IF(F33=""Gelas Ukur"",INDEX(Index_gelasukur,MATCH(MIN(ABS(Index_gelasukur-C33)),ABS(Index_gelasukur-C33),0)),
IF(F33=""Labu Ukur"",INDEX(Index_labuukur,MATCH(MIN(ABS(Index_labuukur-C33)),ABS(Index_labuukur-C33),0)),
IF(F33=""Buret"",INDEX(Index_buret,MATCH(MIN(ABS(Index_buret-C33)),ABS(Index_buret-C33),0)),
IF(F33=""Picnometer"",INDEX(Index_picno,MATCH(MIN(ABS(Index_picno-C33)),ABS(Index_picno-C33),0)),
IF(F33=""Pipet Volume"",INDEX(Index_pipetvolume,MATCH(MIN(ABS(Index_pipetvolume-C33)),ABS(Index_pipetvolume-C33),0)),
IF(F33=""Pipet Ukur"",INDEX(Index_pipetukur,MATCH(MIN(ABS(Index_pipetukur-C33)),ABS(Index_pipetukur-C33),0)),""cek range""))))))]",ml,,,,,,CMC ,"0.003 [=IF(F33=""Gelas Ukur"",VLOOKUP(B49,CMC_gelasukur,2,0),
IF(F33=""Labu Ukur"",VLOOKUP(B49,CMC_labuukur,2,0),
IF(F33=""Buret"",VLOOKUP(B49,CMC_buret,2,0),
IF(F33=""Picnometer"",VLOOKUP(B49,CMC_picno,2,0),
IF(F33=""Pipet Volume"",VLOOKUP(B49,CMC_pipetvolume,2,0),
IF(F33=""Pipet Ukur"",VLOOKUP(B49,CMC_pipetukur,2,0),""cek range""))))))]",ml,,,,,
,,,,,,,,U95% sert,"0.003 [=MAX(I48,J49)]",ml [=D33],,,,,
