,Nama Alat,:,Temperature Calibrator,,,Tanggal Kalibrasi ,,:,2025-08-12 00:00:00,,,,
,Merek,:,Yokogawa,,,Due Date Kalibrasi,,:,2026-08-12 00:00:00 [=J2+[6]DATABASE!AF3],,,,
,Type,:,CA 150 Handy Cal,,,Tertelusur,,:,LK-202-IDN,,,,
,S/N,:,23P1005,,,,,,,,,,
,Mode,:,Measure (Indikator),,,,,,,,,,
,Sensor,:,PRT PT100 [=[6]DATABASE!R22],,,,,,,,,,
,,,Injeksi Tahanan,"Konversi Satuan Standart
(Standart Indication)","Pembacaan Alat
(UUT)",Correction,"Uncertainty
U95%",,,,,,
,,,Ω,oC,oC,oC,oC,,,,,,
,,,,-99.86,-100,0.14000000000000057 [=E11-F11],0.04,,,,,,
,,,,-20,-19.9,-0.10000000000000142 [=E12-F12],0.72,,,,,,
,,,,0.2,-0.1,0.30000000000000004 [=E13-F13],0.72,,,,,,
,,,,,25 [=[9]Interpolasi!A32],0.3249999999999979 [=[9]Interpolasi!B32],0.72,,,,,,
,,,,,50 [=[9]Interpolasi!A33],0.34999999999999576 [=[9]Interpolasi!B33],0.72,,,,,,
,,,,100.3,99.9,0.3999999999999915 [=E16-F16],0.72,,,,,,
,,,,200.3,199.9,0.4000000000000057 [=E17-F17],0.72,,,,,,
,,,,,300 [=[9]Interpolasi!A13],0.45000000000000284 [=[9]Interpolasi!B34],0.72,,,,,,
,,,,400.4,399.9,0.5 [=E19-F19],0.72,,,,,,
,,,,,500 [=[9]Interpolasi!A14],0.5 [=[9]Interpolasi!B35],0.72,,,,,,
,,,,600.4,599.9,0.5 [=E21-F21],0.72,,,,,,
,,,,,700 [=[9]Interpolasi!A15],0.4499999999999887 [=[9]Interpolasi!B36],0.72,,,,,,
,,,,800.3,799.9,0.39999999999997726 [=E23-F23],0.72,,,,,,
,Mode,:,Measure (Indikator),,,,,,,,,,
,Sensor,:,Thermocouple Type K [=[6]DATABASE!R21],,,,,,,,,,
,,,Injeksi Tegangan,"Konversi Satuan Standart
(Standart Indication)","Pembacaan Alat
(UUT)",Correction,"Uncertainty
U95%",,,,,,
,,,mV,oC,oC,oC,oC,,,,,,
,,,,-100,-100,0 [=E29-F29],0.35,,,,,,
,,,,-20,-20,0 [=E30-F30],0.35,,,,,,
,,,,0,0,0 [=E31-F31],0.34,,,,,,
,,,,,25,-0.02499999999999858 [=[6]Interpolasi!E33],0.34,,,,,,
,,,,,50,-0.04999999999999716 [=[6]Interpolasi!E34],0.34,,,,,,
,,,,100,100.1,-0.09999999999999432 [=E34-F34],0.34,,,,,,
,,,,200,200.1,-0.09999999999999432 [=E35-F35],0.34,,,,,,
,,,,,300,-0.14999999999999147 [=[6]Interpolasi!E35],0.34,,,,,,
,,,,400,400.2,-0.19999999999998863 [=E37-F37],0.31,,,,,,
,,,,,500,-0.24999999999997158 [=[6]Interpolasi!E36],0.31,,,,,,
,,,,600,600.3,-0.2999999999999545 [=E39-F39],0.31,,,,,,
,,,,,700,-0.3499999999999659 [=[6]Interpolasi!E37],0.31,,,,,,
,,,,800,800.4,-0.39999999999997726 [=E41-F41],0.31,,,,,,
,,,,,900,-0.5 [=[6]Interpolasi!E38],0.31,,,,,,
,,,,1000,1000.6,-0.6000000000000227 [=E43-F43],0.31,,,,,,
,,,,1200,1200.7,-0.7000000000000455 [=E44-F44],0.31,,,,,,
,Mode,:,Measure (Indikator),,,,,,,,,,
,Sensor,:,Thermocouple Type N [=[6]DATABASE!R20],,,,,,,,,,
,,,Injeksi Tegangan,"Konversi Satuan Standart
(Standart Indication)","Pembacaan Alat
(UUT)",Correction,"Uncertainty
U95%",,,,,,
,,,mV,oC,oC,oC,oC,,,,,,
,,,,-100,-100,0 [=E50-F50],0.25,,,,,,
,,,,-20,-19.9,-0.10000000000000142 [=E51-F51],0.24,,,,,,
,,,,0,0,0 [=E52-F52],0.24,,,,,,
,,,,,25,-0.02499999999999858 [=[6]Interpolasi!H33],0.24,,,,,,
,,,,,50,-0.04999999999999716 [=[6]Interpolasi!H34],0.24,,,,,,
,,,,100,100.1,-0.09999999999999432 [=E55-F55],0.24,,,,,,
,,,,200,200.1,-0.09999999999999432 [=E56-F56],0.29,,,,,,
,,,,,300,-0.14999999999999147 [=[6]Interpolasi!H35],0.29,,,,,,
,,,,400,400.2,-0.19999999999998863 [=E58-F58],0.29,,,,,,
,,,,,500,-0.29999999999998295 [=[6]Interpolasi!H36],0.29,,,,,,
,,,,600,600.4,-0.39999999999997726 [=E60-F60],0.29,,,,,,
,,,,,700,-0.44999999999998863 [=[6]Interpolasi!H37],0.29,,,,,,
,,,,800,800.5,-0.5 [=E62-F62],0.29,,,,,,
,,,,,900,-0.5500000000000114 [=[6]Interpolasi!H38],0.29,,,,,,
,,,,1000,1000.6,-0.6000000000000227 [=E64-F64],0.29,,,,,,
,,,,1200,1200.7,-0.7000000000000455 [=E65-F65],0.29,,,,,,
,Mode,:,Measure (Indikator),,,,,,,,,,
,Sensor,:,Thermocouple Type B,,,,,,,,,,
,,,Injeksi Tegangan,"Konversi Satuan Standart
(Standart Indication)","Pembacaan Alat
(UUT)",Correction,"Uncertainty
U95%",,,,,,
,,,mV,oC,oC,oC,oC,,,,,,
,,,,,600,-600 [=E71-F71],,,,,,,
,,,,,700,#REF! [=[6]Interpolasi!#REF!],,,,,,,
,,,,,800,-800 [=E73-F73],,,,,,,
,,,,,900,#REF! [=[6]Interpolasi!#REF!],,,,,,,
,,,,,1000,-1000 [=E75-F75],,,,,,,
,,,,,1200,-1200 [=E76-F76],,,,,,,
,,,,,1400,-1400 [=E77-F77],,,,,,,
,,,,,1700,-1700 [=E78-F78],,,,,,,
,Mode,:,Measure (Indikator),,,,,,,,,,
,Sensor,:,Thermocouple Type T,,,,,,,,,,
,,,Injeksi Tegangan,"Konversi Satuan Standart
(Standart Indication)","Pembacaan Alat
(UUT)",Correction,"Uncertainty
U95%",,,,,,
,,,mV,oC,oC,oC,oC,,,,,,
,,,,,-100,100 [=E84-F84],,,,,,,
,,,,,-20,#REF! [=[6]Interpolasi!#REF!],,,,,,,
,,,,,0,0 [=E86-F86],,,,,,,
,,,,,25,#REF! [=[6]Interpolasi!#REF!],,,,,,,
,,,,,50,-50 [=E88-F88],,,,,,,
,,,,,100,-100 [=E89-F89],,,,,,,
,,,,,200,-200 [=E90-F90],,,,,,,
,,,,,300,-300 [=E91-F91],,,,,,,
,,,,,400,-400 [=E92-F92],,,,,,,
