"Limit of Volumetric Error,
±µL","Maximum
Internal Diameter of Tube at theGraduation
Line, mm"
0.0001 [=0.1/1000],0.56
0.0002 [=0.2/1000],0.78
0.0003 [=0.3/1000],0.96
0.0004 [=0.4/1000],1.1
0.0005 [=0.5/1000],1.2
0.0006 [=0.6/1000],1.3
0.0008 [=0.8/1000],1.5
0.001 [=1/1000],1.7
0.002 [=2/1000],2.4
0.003 [=3/1000],2.9
0.004 [=4/1000],3.4
0.005 [=5/1000],3.8
0.006 [=6/1000],4.2
0.008 [=8/1000],4.7
0.01 [=10/1000],5.3
0.012 [=12/1000],6
0.015 [=15/1000],6.4
0.02 [=20/1000],8.25
0.025 [=25/1000],8.25
0.03 [=30/1000],8.7
0.04 [=40/1000],10
0.05 [=50/1000],11.2
0.06 [=60/1000],12
0.08 [=80/1000],13.5
0.1 [=100/1000],15.2
0.12 [=120/1000],17
0.15 [=150/1000],18
0.2 [=200/1000],20
0.25 [=250/1000],23
0.3 [=300/1000],25
0.4 [=400/1000],27
0.5 [=500/1000],29.2
0.6 [=600/1000],32
0.8 [=800/1000],36
1 [=1000/1000],40
1.2 [=1200/1000],44
1.5 [=1500/1000],47
2 [=2000/1000],52
2.5 [=2500/1000],57
3 [=3000/1000],61
4 [=4000/1000],68
5 [=5000/1000],74
6 [=6000/1000],80
8 [=8000/1000],83
10 [=10000/1000],96
