 COMMON DATA ,,,,,,,,,,,,,,,,,,,SPECIFIC DATA,,,,,,,,,,,,,,,Reminder Recalibration,,,TOTAL
,,,,,,,,,,,,,,,,,,,,No,Gelas Ukur,,Labu Ukur,,Buret,,Picnometer,,Pipet Volume,,Pipet Ukur,,,Analog,2,year,730 [=AJ2*$AJ$4]
,,,,,,,,,,,,,,,,,,,,,Range/Capacity Alat (ml),CMC,Range/Capacity Alat (ml),CMC,Range/Capacity Alat (ml),CMC,Range/Capacity Alat (ml),CMC,Range/Capacity Alat (ml),CMC,Range/Capacity Alat (ml),CMC,,Digital,1,year,365 [=AJ3*$AJ$4]
,,,,,,,,,,,,,,,,,,,,,,ml,,ml,,ml,,ml,,ml,,ml,,,365,,
,,,,,,,,,,,,,,,,,,,,1,10,0.067,5,0.0067,25,0.019,25,0.018,0.5,0.002,1,0.0033,,,,,
,,,,,,,,,,,,,,,,,,,,2,25,0.17,10,0.0068,50,0.035,50,0.019,1,0.003,2,0.0067,,,,,
,,,,,,,,,,,,,,,,,,,,3,50,0.17,20,0.011,,,100,0.022,2,0.0034,5,0.017,,,,,
No,Pelaksana Kalibrasi,,,,,,,,,,,,,,,,,,,4,100,0.34,25,0.011,,,,,5,0.0039,10,0.033,,,,,
1,NR,,,,,,,,,,,,,,,,,,,5,250,0.34,50,0.021,,,,,10,0.0059,25,0.034,,,,,
2,DT,,,,,,,,,,,,,,,,,,,6,500,1.7,100,0.026,,,,,15,0.0061,,,,,,,
3,JO,,,,,,,,,,,,,,,,,,,7,1000,3.3,200,0.044,,,,,20,0.0072,,,,,,,
4,CA,,,,,,,,,,,,,,,,,,,8,2000,6.7,250,0.044,,,,,25,0.0083,,,,,,,
5,DR,,,,,,,,,,,,,,,,,,,9,,,500,0.077,,,,,50,0.013,,,,,,,
6,NS,,,,,,,,,,,,,,,,,,,10,,,1000,0.12,,,,,100,0.015,,,,,,,
7,AJ,,,,,,,,,,,,,,,,,,,,,,2000,0.25,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Today:,2026-06-03 15:59:15.780000 [=NOW()],,,,,,,,,,,,
No,Dihitung Oleh,,,,,,,,,,,,,,,,,,,No,Standart Meter/Indikator,Merk/Type,S/N,Traceability,Due Date Calibration,Status, U95% ,U95% units,stdev,,,,,,,,
1,AM,,,,,,,,,,,,,,,,,,,1,Analytical Balance,Mettler Toledo/XS204,1129063525,LK-305-IDN,2027-01-19 00:00:00,46771 [=Z18+365],0.0011 [=1.1/1000],gr,0,,,,,,,,
2,NR,,,,,,,,,,,,,,,,,,,2,Electronic Balance Excellent,Excellent/DJ,HSEX1403752,LK-305-IDN,2027-01-19 00:00:00,46406 [=Z19-$Z$11],0.007 [=7/1000],gr,0,,,,,,,,
3,DR,,,,,,,,,,,,,,,,,,,3,Electronic Balance Precisa,Precisa/-,4702102,LK-305-IDN,2027-01-19 00:00:00,46406 [=Z20-$Z$11],0.0019 [=1.9/1000],gr,0,,,,,,,,
