,Nama Alat,:,Thermocouple ,,,Tanggal Kalibrasi ,,:,2025-02-14 00:00:00,,,,Link calculator : https://www.fluke.com/en-us/learn/tools-calculators/pt100-calculator?srsltid=AfmBOoqPe_j-N87lgotXxrFrPdjOLAJ5b_2mxDXIuBjJ08XiQ4F74QBR
,Type,:,PRT PT100,,,Due Date Kalibrasi,,:,2027-02-15 00:00:00 [=J2+[6]DATABASE!AF2+1],,,,
,S/N,:,SH1/20,,,Tertelusur,,:,LK-070-IDN,,,,
,For t ≥0 oC :,,,,,,,For t≤0 oC :,,,,,
,,,,,,,,,,,,0 [=D14-1],
Lama:,,Terbaru :,,,,,,,,,,,
,,,,,0.003878 [='FC Prt Pt100'!B10],,,A,0.00390954 [=C10],,,,
A,0.003878,0.00390954,A,,,,,B,-6.70888e-07 [=C11],,,,
B,-5.861e-07,-6.70888e-07,B,,,,,C,6.32935e-12,,,,
Set point (0C),Rt,R0,Rt/R0,1-Rt/R0,-4B*,A2,A2-4B*,Akar,-A+akar,2B,-A+akar/2B(UUT) 0C,Koreksi (0C),
0,100.285707,100.285707,1 [=B14/C14],0 [=1-D14],0 [=-4*$C$11*E14],1.52845030116e-05 [=$C$10^2],1.52845030116e-05 [=G14+F14],0.00390954 [=SQRT(H14)],0 [=-$C$10+I14],-1.341776e-06 [=2*$C$11],0 [=J14/K14],0 [=A14-L14],
5,102.244378,100.285707,1.0195309088263196 [=B15/C15],-0.019530908826319582 [=1-D15],-5.2412209442687566e-08 [=-4*$C$11*E15],1.52845030116e-05 [=$C$10^2],1.5232090802157315e-05 [=G15+F15],0.0039028311265230675 [=SQRT(H15)],-6.708873476932945e-06 [=-$C$10+I15],-1.341776e-06 [=2*$C$11],4.999995138482835 [=J15/K15],4.861517164833629e-06 [=A15-L15],
10,104.199684,100.285707,1.0390282635191475 [=B16/C16],-0.039028263519147455 [=1-D16],-1.047343746233352e-07 [=-4*$C$11*E16],1.52845030116e-05 [=$C$10^2],1.5179768636976666e-05 [=G16+F16],0.003896122256420692 [=SQRT(H16)],-1.3417743579308312e-05 [=-$C$10+I16],-1.341776e-06 [=2*$C$11],9.999987761972426 [=J16/K16],1.223802757444048e-05 [=A16-L16],
15,106.151627,100.285707,1.0584920840215046 [=B17/C17],-0.05849208402150463 [=1-D17],-1.569665490600768e-07 [=-4*$C$11*E17],1.52845030116e-05 [=$C$10^2],1.5127536462539924e-05 [=G17+F17],0.0038894133828303624 [=SQRT(H17)],-2.0126617169637963e-05 [=-$C$10+I17],-1.341776e-06 [=2*$C$11],14.999982984967657 [=J17/K17],1.701503234308177e-05 [=A17-L17],
20,108.100205,100.285707,1.07792235039037 [=B18/C18],-0.0779223503903701 [=1-D18],-2.0910867923477845e-07 [=-4*$C$11*E18],1.52845030116e-05 [=$C$10^2],1.5075394332365224e-05 [=G18+F18],0.003882704512625861 [=SQRT(H18)],-2.6835487374139537e-05 [=-$C$10+I18],-1.341776e-06 [=2*$C$11],19.999975684569957 [=J18/K18],2.4315430042776143e-05 [=A18-L18],
25,110.04542,100.285707,1.097319082568765 [=B19/C19],-0.09731908256876509 [=1-D19],-2.611608186655747e-07 [=-4*$C$11*E19],1.52845030116e-05 [=$C$10^2],1.5023342192934428e-05 [=G19+F19],0.003875995638920976 [=SQRT(H19)],-3.3544361079024254e-05 [=-$C$10+I19],-1.341776e-06 [=2*$C$11],24.999970992940888 [=J19/K19],2.9007059112018396e-05 [=A19-L19],
30,111.98727,100.285707,1.1166822606136684 [=B20/C20],-0.11668226061366838 [=1-D20],-3.13122913834331e-07 [=-4*$C$11*E20],1.52845030116e-05 [=$C$10^2],1.497138009776567e-05 [=G20+F20],0.0038692867686132633 [=SQRT(H20)],-4.0253231386737105e-05 [=-$C$10+I20],-1.341776e-06 [=2*$C$11],29.99996376946458 [=J20/K20],3.62305354215664e-05 [=A20-L20],
35,113.925757,100.285707,1.1360119044681014 [=B21/C21],-0.1360119044681014 [=1-D21],-3.649950182591825e-07 [=-4*$C$11*E21],1.52845030116e-05 [=$C$10^2],1.4919507993340819e-05 [=G21+F21],0.00386257789479265 [=SQRT(H21)],-4.696210520735043e-05 [=-$C$10+I21],-1.341776e-06 [=2*$C$11],34.99995916408583 [=J21/K21],4.0835914170145315e-05 [=A21-L21],
40,115.860879,100.285707,1.1553079941890423 [=B22/C22],-0.1553079941890423 [=1-D22],-4.167770784219928e-07 [=-4*$C$11*E22],1.52845030116e-05 [=$C$10^2],1.4867725933178009e-05 [=G22+F22],0.003855869024380627 [=SQRT(H22)],-5.36709756193735e-05 [=-$C$10+I22],-1.341776e-06 [=2*$C$11],39.99995201834994 [=J22/K22],4.7981650062922654e-05 [=A22-L22],
45,117.792638,100.285707,1.174570549719513 [=B23/C23],-0.1745705497195129 [=1-D23],-4.684691478408983e-07 [=-4*$C$11*E23],1.52845030116e-05 [=$C$10^2],1.4816033863759104e-05 [=G23+F23],0.003849160150443094 [=SQRT(H23)],-6.037984955690632e-05 [=-$C$10+I23],-1.341776e-06 [=2*$C$11],44.99994750010905 [=J23/K23],5.249989094835428e-05 [=A23-L23],
50,119.721032,100.285707,1.1937995511164916 [=B24/C24],-0.1937995511164916 [=1-D24],-5.200711729977632e-07 [=-4*$C$11*E24],1.52845030116e-05 [=$C$10^2],1.4764431838602239e-05 [=G24+F24],0.0038424512799256467 [=SQRT(H24)],-6.708872007435375e-05 [=-$C$10+I24],-1.341776e-06 [=2*$C$11],49.99994043294391 [=J24/K24],5.956705609122537e-05 [=A24-L24],
55,121.646062,100.285707,1.212995008351489 [=B25/C25],-0.2129950083514891 [=1-D25],-5.715831806516553e-07 [=-4*$C$11*E25],1.52845030116e-05 [=$C$10^2],1.4712919830948347e-05 [=G25+F25],0.0038357424093581087 [=SQRT(H25)],-7.379759064189174e-05 [=-$C$10+I25],-1.341776e-06 [=2*$C$11],54.99993340311031 [=J25/K25],6.659688968824184e-05 [=A25-L25],
60,123.567729,100.285707,1.2321569313960163 [=B26/C26],-0.23215693139601634 [=1-D26],-6.230051975616425e-07 [=-4*$C$11*E26],1.52845030116e-05 [=$C$10^2],1.466149781403836e-05 [=G26+F26],0.003829033535245984 [=SQRT(H26)],-8.050646475401624e-05 [=-$C$10+I26],-1.341776e-06 [=2*$C$11],59.99992901498927 [=J26/K26],7.098501072988483e-05 [=A26-L26],
65,125.486031,100.285707,1.2512853003070517 [=B27/C27],-0.25128530030705165 [=1-D27],-6.743371702095891e-07 [=-4*$C$11*E27],1.52845030116e-05 [=$C$10^2],1.4610165841390412e-05 [=G27+F27],0.003822324664571341 [=SQRT(H27)],-8.721533542865954e-05 [=-$C$10+I27],-1.341776e-06 [=2*$C$11],64.9999220649792 [=J27/K27],7.793502079778136e-05 [=A27-L27],
70,127.400969,100.285707,1.270380125056106 [=B28/C28],-0.270380125056106 [=1-D28],-7.255791253545633e-07 [=-4*$C$11*E28],1.52845030116e-05 [=$C$10^2],1.4558923886245438e-05 [=G28+F28],0.00381561579384579 [=SQRT(H28)],-9.392420615421046e-05 [=-$C$10+I28],-1.341776e-06 [=2*$C$11],69.99991515290962 [=J28/K28],8.48470903775933e-05 [=A28-L28],
75,129.312544,100.285707,1.2894414156146898 [=B29/C29],-0.28944141561468983 [=1-D29],-7.767310897556321e-07 [=-4*$C$11*E29],1.52845030116e-05 [=$C$10^2],1.450777192184437e-05 [=G29+F29],0.0038089069195563667 [=SQRT(H29)],-0.00010063308044363367 [=-$C$10+I29],-1.341776e-06 [=2*$C$11],74.99991089692593 [=J29/K29],8.91030740746146e-05 [=A29-L29],
80,131.220754,100.285707,1.3084691520397818 [=B30/C30],-0.30846915203978176 [=1-D30],-8.277930098946604e-07 [=-4*$C$11*E30],1.52845030116e-05 [=$C$10^2],1.445671000170534e-05 [=G30+F30],0.0038021980487219944 [=SQRT(H30)],-0.00010734195127800597 [=-$C$10+I30],-1.341776e-06 [=2*$C$11],79.99990406595883 [=J30/K30],9.59340411696985e-05 [=A30-L30],
85,133.1256,100.285707,1.3274633443028925 [=B31/C31],-0.3274633443028925 [=1-D31],-8.787649125307157e-07 [=-4*$C$11*E31],1.52845030116e-05 [=$C$10^2],1.4405738099069286e-05 [=G31+F31],0.00379548917783588 [=SQRT(H31)],-0.0001140508221641203 [=-$C$10+I31],-1.341776e-06 [=2*$C$11],84.99989727355408 [=J31/K31],0.00010272644591680091 [=A31-L31],
90,135.027082,100.285707,1.3464239924040222 [=B32/C32],-0.3464239924040222 [=1-D32],-9.296467976637986e-07 [=-4*$C$11*E32],1.52845030116e-05 [=$C$10^2],1.4354856213936203e-05 [=G32+F32],0.0037887803068977492 [=SQRT(H32)],-0.00012075969310225117 [=-$C$10+I32],-1.341776e-06 [=2*$C$11],89.99989051991626 [=J32/K32],0.00010948008373645735 [=A32-L32],
