PT. SIDIK,,,"KALIBRASI
GRADUATED VOLUMETRIC GLASSWARE",,,,,,,,,,,,,,LK-285-IDN,,,,,,,,
Calibrator Standard Status Monitoring :,,,,,,,,,,"ALL STANDARDS ARE VALID [=IF(AND(T24=""VALID"",T25=""VALID"",T26=""VALID""),""ALL STANDARDS ARE VALID"",""ONE OR MORE STANDARD EXPIRED"")]",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Certificate Number,,,:,,,,,,,,
,Type Alat,,:,1,,,,,,,,,,Order Number,,,:,,,,,,,,
,IDENTITAS ALAT,,,,,,,,,,,IDENTITAS CUSTOMER,,,,,,,,,,,,,
,Nama Alat,,:,Gelas Ukur,,,,,,,,Nama Custromer,,,:,,,,,,[NAMA PELANGGAN DIREDAKSI],,,,
,Merk,,:,Iwaki,,,,,,,,,,,,,,,,,,,,,
,Type,,:,CTE-33,,,,,,,,Alamat Customer,,,:,,,,,,[ALAMAT PELANGGAN DIREDAKSI],,:,"pilih TH [=_xlfn.IFNA(IF(E24=1,""TH-1"",IF(E24=2,""TH-2"",IF(E24=3,""TH-3"",IF(E24=4,""TH-4"",IF(E24=5,""TH-5"",IF(E24=6,""TH-6"",IF(E24=7,""TH-7"",""pilih TH""))))))),"""")]",
,No. Seri,,:,GU-100-3,,,,,,,,,,,,,,,,,Teknisi,,,"DR [=_xlfn.IFNA(VLOOKUP(Q22,Pelaksana_Kalibrasi,2,0),"""")]",
,Rentang Ukur,,:,0-100,,ml,,,,,,,,,,,,,,,Metode Kalibrasi,,:,"SIDIK-IK-CAL-0510_Rev.7 [=_xlfn.IFNA(VLOOKUP(Q23,Metode_Kalibrasi,3,0),"""")]",
,Kapasitas Max.,,:,100,,ml [=G14],,,,,,Tanggal Terima ,,,:,,,,,,Type Alat,,:,"Gelas Ukur [=VLOOKUP(E6,Type_Alat,2,0)]",
,Resolusi Alat,,:,1,,ml [=G14],,,,,,Tanggal Kalibrasi,,,:,,,,,,Dihitung oleh,,:,"DR [=_xlfn.IFNA(VLOOKUP(C53,Dihitung_Oleh,2,0),"""")]",
,Temperature,,:,20,oC,Class/Tolerance :,,B,/±,*class must be filled,,,,,,,,,,,Penandatangan,,:,"Alex Misramto [=_xlfn.IFNA(VLOOKUP(F53,Penandatangan,2,0),"""")]",
,,,,,,,,0.5,ml [=G16],*tolerance must be filled,,,,,,,,,,,Posisi,,:,"Technical Manager [=_xlfn.IFNA(VLOOKUP(F53,Penandatangan,3,0),"""")]",
,KONDISI LINGKUNGAN,,,,,,,,,,,PENGERJAAN,,,,,,,,,Standar Timbangan,,:,"Electronic Balance Precisa [=VLOOKUP(Q24,Tabel_Standar,2,0)]",
,,,,,,,,,,,,,,,,,,,,,Lookup Std Timbangan,,:,"46406 [=VLOOKUP(Y19,DATABASE!V18:AA20,6,0)]",
,,,,Awal,Akhir,Te,Average,,,,,Lokasi Kalibrasi,,,:,Lab. Volumetrik PT. SIDIK,,,,,Status Termometer,,:,69.33384513889177 [=DATABASE!AA21],
,Suhu Ruangan,,:,20.4,20.5,,"20.45 [=IFERROR(AVERAGE(E22:F22),"""")]",oC,,,,Technician ID,,,:,5,,,,,Status Sensor,,:,256.3338451388918 [=DATABASE!AA22],
,Kelembaban,,:,64,62,,"63 [=IFERROR(AVERAGE(E23:F23),"""")]",%RH,,,,Calibration Method,,,:,10,,,,,,,,,
,Thermohygro Used,,:,Thermobarometer Lutron,,,,,,,,Standar Used,,,:,3,,,"VALID [=IF(Y20>=31,""VALID"",IF(AND(Y20<31,Y20>=0),""WARNING"",""EXPIRED""))]",,,,,,
,Tekanan Udara,,:,933.2,933.1,,"933.1500000000001 [=IFERROR(AVERAGE(E25:F25),"""")]",hPa,,,,,,,,• Termometer-Yokogawa,,,"VALID [=IF(Y21>=31,""VALID"",IF(AND(Y21<31,Y21>=0),""WARNING"",""EXPIRED""))]",,,,,,
,,,,,,,,,,,,,,,,• Sensor Suhu-PRT PT 100,,,"VALID [=IF(Y22>=31,""VALID"",IF(AND(Y22<31,Y22>=0),""WARNING"",""EXPIRED""))]",,,,,,
DATA HASIL KALIBRASI,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Readings of Weighing Result,,,,,,,,,,,,,,,,,,,,
,,,,,Nominal,,Point 1,,Point 2,,Point 3,,Point 4,,Point 5,,,,,,,,,,
,,,,,ml,,10,,50,,100,,,,,,,,,,,,,,
,,,,,Empty Container Weight (g),,60.234,,60.255,,60.241,,,,,,,,,,,,,,
,,,,,,,60.24,,60.258,,60.247,,,,,,,,,,,,,,
,,,,,,,60.243,,60.263,,60.25,,,,,,,,,,,,,,
,,,,,Weight of Contents,,(g),ᵒC,(g) [=H37],ᵒC [=I37],(g) [=H37],ᵒC [=I37],(g) [=H37],ᵒC [=I37],(g) [=H37],ᵒC [=I37],,,,,,,,,
,,,,,,,70.7791 [=10.5451+H33],25.4,110.944 [=50.689+J33],25.4,159.4398 [=99.1988+L33],25.3,,,,,,,,,,,,,
,,,,,,,70.79650000000001 [=10.5565+H34],25.3,110.9023 [=50.6443+J34],25.3,159.5042 [=99.2572+L34],25.2,,,,,,,,,,,,,
,,,,,,,70.8854 [=10.6424+H35],25.4,111.0863 [=50.8233+J35],25.5,159.48520000000002 [=99.2352+L35],25.4,,,,,,,,,,,,,
,,,,,VOUMLETRIC GLASSWARE BALANCE USER GUIDE:,,,,,,,,,,,,,,,,,,,,
,,,,,Noticed for data anlyse,,,,,,,,,,,,,,,,,,,,
,,,,,Volume,,Balance Used,,Res. Balance,,,,,,,,,,,,,,,,
,,,,,100µl -10ml,,Analytical B. (Mettler),,0.0001 g,,,,,,,,,,,,,,,,
,,,,,11ml - 1000ml,,Electronic B. (Precisa),,0.001 g,,,,,,,,,,,,,,,,
,,,,,> 1000ml,,Electronic B. (Excellent),,0.01 g,,,,,,,,,,,,,,,,
,Issuance Date  :,,1900-01-04 00:00:00 [=Q16+4],,,,,,,,,,,,,,,,,,,,,,
,Calculated by,,,Signed by,,,,,,,,,,,,,,,,,,,,,
,Name   :,3,,Name   :,2,,,,,,,,,,,,,,,,,,,,
