,IDENTITAS ALAT,,,,,,,,,,,IDENTITAS CUSTOMER,,,,,,,,,,,,,,,,,
,Nama Alat,,:,Gelas Ukur [='INPUT DATA'!$E$10],,,,,,,,Nama Custromer,,,:,[NAMA PELANGGAN DIREDAKSI],,,,,,,,,,,,,
,Merk,,:,Iwaki [='INPUT DATA'!$E$11],,,,,,,,,,,,,,,,,,,,,,,,,
,Type,,:,CTE-33 [='INPUT DATA'!$E$12],,,,,,,,Alamat Customer,,,:,[ALAMAT PELANGGAN DIREDAKSI],,,,,,,,,,,,,
,No. Seri,,:,GU-100-3 [='INPUT DATA'!$E$13],,,,,,,,,,,,,,,,,,,,,,,,,
,Rentang Ukur,,:,0-100 [='INPUT DATA'!$E$14],,ml [='INPUT DATA'!G15],,,,,,,,,,,,,,,,,,,,,,,
,Kapasitas Max.,,:,100 [='INPUT DATA'!$E$15],,ml [='INPUT DATA'!G15],,,,,,Tanggal Terima ,,,:,00:00:00 [='INPUT DATA'!Q15],,,,,,,,,,,,,
,Resolusi Alat,,:,1 [='INPUT DATA'!$E$16],,ml [=G8],,,,,,Tanggal Kalibrasi,,,:,00:00:00 [='INPUT DATA'!Q16],,,,,,,,,,,,,
,Temperature,,:,20 [='INPUT DATA'!$E$17],,oC,,,,,,,,,,,,,,,,,,,,,,,
,Class/Tolerance,,:,B [='INPUT DATA'!I17],,ml [=G9],,,,,,,,,,,,,,,,,,,,,,,
,KONDISI LINGKUNGAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Awal,Akhir,Average,Indexed Value,Correction (C),,,Δ,C,U95% Std TH,U95% Sertifikat,,,,,,,,,,,,,,,
,Suhu Ruangan,,:,20.4 [='INPUT DATA'!E22],20.5 [='INPUT DATA'!F22],"20.45 [=IFERROR(AVERAGE(E16:F16),"""")]","20.1 [ARRAY:=INDEX(DATABASE!$C$32:$C$36,MATCH(MIN(ABS(DATABASE!$C$32:$C$36-G16)),ABS(DATABASE!$C$32:$C$36-G16),0))]","0.1 [=VLOOKUP(H16,Barometer_suhu,3,0)]",oC,,0.10000000000000142 [=ABS(F16-E16)],0.1 [=I16],1.2 [=DATABASE!F32],±,1.2041594578792296 [=SQRT(L16^2+N16^2)],oC,,,,,,,,,,,,,
