,Nama Alat,:,Thermocouple ,,,Tanggal Kalibrasi ,,:,2025-02-14 00:00:00 [='[4]FC Prt Pt100'!J2],,,,
,Type,:,PRT PT100,,,Due Date Kalibrasi,,:,2027-02-15 00:00:00 [=J2+[6]DATABASE!AF2+1],,,,
,S/N,:,SH1/20 [=[6]DATABASE!T22],,,Tertelusur,,:,LK-070-IDN [='[6]FC Prt Pt100'!J4],,,,
,,,Titik Kalibrasi,Correction,"Uncertainty
U95%",,,,,,,,
,,,oC,oC,oC,,,,,,,,
,,,-20,0.003969163676529774 [='[4]FC Prt Pt100'!M59],0.08 [='[4]FC Prt Pt100'!$B$65],,,,,,,,
,,,0,0 [='[4]FC Prt Pt100'!M14],0.08 [='[4]FC Prt Pt100'!$B$65],,,,,,,,
,,,25,2.9007059112018396e-05 [='[4]FC Prt Pt100'!M19],0.08 [='[4]FC Prt Pt100'!$B$65],,,,,,,,
,,,50,5.956705609122537e-05 [='[4]FC Prt Pt100'!M24],0.08 [='[4]FC Prt Pt100'!$B$65],,,,,,,,
,,,100,0.00012287023109536221 [='[4]FC Prt Pt100'!M34],0.08 [='[4]FC Prt Pt100'!$B$65],,,,,,,,
,,,150,0.00018473432362497988 [='[4]FC Prt Pt100'!M44],0.08 [='[4]FC Prt Pt100'!$B$65],,,,,,,,
,,,200,0.0002532953911043023 [='[4]FC Prt Pt100'!M54],0.08 [='[4]FC Prt Pt100'!$B$65],,,,,,,,
