,Certificate Number ,,,:,0 [='INPUT DATA'!S5],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Page  ,,,:,1,of,1,,,,,,,Owner,,,,:,[NAMA PELANGGAN DIREDAKSI],,,,,,,,,,,,,,,,,,,,
,Order Number,,,:,0 [='INPUT DATA'!S6],,,,,,,,,Address,,,,:,[ALAMAT PELANGGAN DIREDAKSI],,,,,,,,,,,,,,,,,,,,
,Received Date,,,:,00:00:00 [='INPUT DATA'!Q15],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Equipment Name,,,:,Gelas Ukur [='INPUT DATA'!E10],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Manufacturer,,,:,Iwaki [='INPUT DATA'!E11],,,,,,,,,Calibration Location,,,,:,Lab. Volumetrik PT. SIDIK [='INPUT DATA'!Q21],,,,,,,,,,,,,,,,,,,,
,Model/Type,,,:,CTE-33 [='INPUT DATA'!E12],,,,,,,,,Calibration  Date,,,,:,00:00:00 [='INPUT DATA'!Q16],,,,,,,,,,,,,,,,,,,,
,Serial Number,,,:,GU-100-3 [='INPUT DATA'!E13],,,,,,,,,Calibration Method,,,,:,SIDIK-IK-CAL-0510_Rev.7 [='INPUT DATA'!Y14],,,,,,,,,,,,,,,,,,,,
,Capacity/Graduation,,,:,100 [='INPUT DATA'!E15],ml [='INPUT DATA'!G15],/,1 [='INPUT DATA'!E16],ml [=G11],,,,,Environmental Condition,,,,:,T,20.55 [=PERHITUNGAN!G16+PERHITUNGAN!M16],°C,±,1.2041594578792296 [=PERHITUNGAN!P16],°C,,,,,,,,,,,,,,,
,Technician ID ,,,: ,DR [='INPUT DATA'!Y13],,,,,,,,,,,,,,%RH,62.2 [=PERHITUNGAN!G17+PERHITUNGAN!M17],%,±,3.605551275463989 [=PERHITUNGAN!P17],%,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Tekanan Udara,933.1500000000001 [=PERHITUNGAN!G19],#REF! [=#REF!],#REF! [=#REF!],2.0024984394500795 [=PERHITUNGAN!P19],#REF! [=#REF!],,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Class/Permitted Error,,,,:,"B/±0,5 [=CONCATENATE('INPUT DATA'!I17,'INPUT DATA'!J17,'INPUT DATA'!I18)]",ml [='INPUT DATA'!J18],,,,,,,,,,,,,,,,,,,
,Calibration Report,,,:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Suhu Dasar Volume,,,,,,:,20 [='INPUT DATA'!E17],20.00C,0C,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Nominal Value,,,,,,,,,Actual Volume,,,,,Correction        ,,,,,,,,,,,,,,,,,,,,,
,,,,ml [=G11],,,,,,,,,ml [=E20],,,,,ml [=N20],,,,,,,,,,,,,,,,,,,,,
,,,,10 [='INPUT DATA'!H32],,,,,,,,,10.62484944968544 [=PERHITUNGAN!H89],,,,,"0.6248494496854402 [=IF(ISERROR(N21-E21),"""",N21-E21)]",,,,,,,,,,,,,,,,,,,,,
