,Nama Alat,:,Temperature Calibrator,,,Tanggal Kalibrasi ,,:,2025-08-12 00:00:00 [='STANDAR-YOKOGAWA'!J2],
,Merek,:,Yokogawa [='STANDAR-YOKOGAWA'!D3],,,Due Date Kalibrasi,,:,2026-08-12 00:00:00 [='STANDAR-YOKOGAWA'!J3],
,Type,:,CA 150 Handy Cal [='STANDAR-YOKOGAWA'!D4],,,Tertelusur,,:,LK-202-IDN,
,S/N,:,23P1005 [='STANDAR-YOKOGAWA'!D5],,,,,,,
,TABEL KOREKSI TEMPERATURE KALIBRATOR,,,,,,,,,
,Titik Kalibrasi (oC),Correction oC,,,,,,,,
,,PT100,Type K,Type N,Type B,Type T,Type R,Type S,Type J,
,-100,0.14000000000000057 [='STANDAR-YOKOGAWA'!G11],,,,,,,,
,-20,-0.10000000000000142 [='STANDAR-YOKOGAWA'!G12],,,,,,,,
,0,0.30000000000000004 [='STANDAR-YOKOGAWA'!G13],,,,,,,,
,25,0.3249999999999979 [='STANDAR-YOKOGAWA'!G14],,,,,,,,
,50,0.34999999999999576 [='STANDAR-YOKOGAWA'!G15],,,,,,,,
,100,0.3999999999999915 [='STANDAR-YOKOGAWA'!G16],,,,,,,,
,200,0.4000000000000057 [='STANDAR-YOKOGAWA'!G17],,,,,,,,
,300,0.45000000000000284 [='STANDAR-YOKOGAWA'!G18],,,,,,,,
,400,0.5 [='STANDAR-YOKOGAWA'!G19],,,,,,,,
,500,0.5 [='STANDAR-YOKOGAWA'!G20],,,,,,,,
,600,0.5 [='STANDAR-YOKOGAWA'!G21],,,,,,,,
,700,0.4499999999999887 [='STANDAR-YOKOGAWA'!G22],,,,,,,,
,800,0.39999999999997726 [='STANDAR-YOKOGAWA'!G23],,,,,,,,
,900,,,,,,,,,
,1000,,,,,,,,,
,1200,,,,,,,,,
,1400,,,,,,,,,
,1700,,,,,,,,,
,TABEL U95% TEMPERATURE KALIBRATOR,,,,,,,,,
,Titik Kalibrasi (oC),U95% ± oC,,,,,,,,
,,PT100,Type K,Type N,Type B,Type T,Type R,Type S,Type J,
,-100,0.04 [='STANDAR-YOKOGAWA'!H11],,,,,,,,
,-20,0.72 [='STANDAR-YOKOGAWA'!H12],,,,,,,,
,0,0.72 [='STANDAR-YOKOGAWA'!H13],,,,,,,,
,25,0.72 [='STANDAR-YOKOGAWA'!H14],,,,,,,,
,50,0.72 [='STANDAR-YOKOGAWA'!H15],,,,,,,,
,100,0.72 [='STANDAR-YOKOGAWA'!H16],,,,,,,,
,200,0.72 [='STANDAR-YOKOGAWA'!H17],,,,,,,,
,300,0.72 [='STANDAR-YOKOGAWA'!H18],,,,,,,,
,400,0.72 [='STANDAR-YOKOGAWA'!H19],,,,,,,,
,500,0.72 [='STANDAR-YOKOGAWA'!H20],,,,,,,,
,600,0.72 [='STANDAR-YOKOGAWA'!H21],,,,,,,,
,700,0.72 [='STANDAR-YOKOGAWA'!H22],,,,,,,,
,800,0.72 [='STANDAR-YOKOGAWA'!H23],,,,,,,,
,900,,,,,,,,,
,1000,,,,,,,,,
,1200,,,,,,,,,
,1400,,,,,,,,,
,1700,,,,,,,,,
