Koefisien Muai Bahan Gelas,,
Material ,"Coeffiecient of cubic thermal expansion, ᵒC⁻ᶦ",1000000 [=1000000]
Borosilicate glass 3.3,9.9e-06 [=9.9/C3],
Borosilicate glass 5.0,1.5e-05 [=15/C3],
Soda-lime glass,2.7e-05 [=27/C3],
Polypropylene (PP),0.00024 [=240/C3],
Polystyrene (PS),0.00045 [=450/C3],
Polycarbonate (PC),0.00021 [=210/C3],
Perfluoroalkoxy-copolymer (PFA),0.00039 [=390/C3],
Polymethylpentene (PMP),0.00036 [=360/C3],
Styrene Acrylonitrile (SAN),5.5e-05 [=55/C3],
Aluminium,6.9e-05 [=69/C3],
Stainless steel,4.8e-05 [=48/C3],
Carbon fibre,1e-06 [=1/C3],
Silicon dioxide,4.8e-05 [=48/C3],
Coper-zinc alloy (brass),5.4e-05 [=54/C3],
