PT. SIDIK,,,"KALIBRASI
CENTRIFUGE",,,,,,,,,,,,LK-285-IDN,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Calibrator Standard Status Monitoring :,,,,,,,,,,ALL STANDARDS ARE VALID,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Certificate Number,,,:,0133-CAL-324,,,,,,,,
,,,,,,,,,,,,Order Number,,,:,2403.16.AX,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,IDENTITAS ALAT,,,,,,,,,,IDENTITAS CUSTOMER,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,Nama Alat,,:,Centrifuge,,,,,,,Nama Custromer,,:,[NAMA PELANGGAN DIREDAKSI],,,,,,,,,,
,Merk,,:,ThermoScientific,,,,,,,,,,,,,,,,,,,,
,Type,,:,SL-8R,,,,,,,Alamat Customer,,:,[ALAMAT PELANGGAN DIREDAKSI],,,,,,,,,,
,No. Seri,,:,41649931/IMTE-FQS-080,,,,,,,,,,,,,,,,,,,,
,Rentang Ukur,,:,200-9000,,,,Rpm,,,,,,,,,,,DON'T ERASE ! THIS DATA ARE FOR CALCULATION ,,,,,
,Kapasitas Max.,,:,17850,,,,Rpm,,,Tanggal Terima ,,:,2024-03-14T00:00:00,,,,,Thermohygro used,,:,TH-2,,
,Resolusi Alat,,:,1,,,,Rpm,,,Tanggal Kalibrasi,,:,2024-03-14T00:00:00,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Teknisi,,:,JO,,
,KONDISI LINGKUNGAN,,,,,,,,,PENGERJAAN,,,,,,,,,Metode Kalibrasi,,:,Centrifuge & Tachometer,,
,,,,,,,,,,,,,,,,,,,Penandatangan,,:,Alex Misramto,,
,,,,Awal,Akhir,,Average,,,,Lokasi Kalibrasi,,:,Insitu (Lab. Microbiologi),,,,,Posisi,,:,Technical Manager,,
,Suhu Ruangan,,:,21.3,21.5,,21.4,oC,,,Technician ID,,:,3,,,,,Dihitung oleh,,:,DR,,
,Kelembaban,,:,53,56,,54.5,%RH,,,Calibration Method,,:,11,,,,,Status kalibrator Tacho,,:,198.3115337962954,,
,Thermohygro Used,,:,2,,,,,,,Standar Used,,:,Tachometer ,,,VALID,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
DATA HASIL KALIBRASI,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,Set Point Standard,,,Measurement Point Range  60-100,,,,,,,,,,,,,,,,,,
,,,,,,60,,80,,100,,,,,,,,,,,,,,
,,,Repeat,,,Rpm,,Rpm,,Rpm,,,,,,,,,,,,,,
,,,1,,,59.9,,80.2,,99.8,,,,,,,,,,,,,,
,,,2,,,60,,80.2,,99.8,,,,,,,,,,,,,,
,,,3,,,60,,80.2,,99.8,,,,,,,,,,,,,,
,,,4,,,60,,80.1,,100,,,,,,,,,,,,,,
,,,5,,,60,,80.1,,99.9,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,Set Point Standard,,,Measurement Point Range 101-200,,,,,,,,,,,,,,,,,,
,,,,,,120,,150,,200,,,,,,,,,,,,,,
,,,Repeat,,,Rpm,,Rpm,,Rpm,,,,,,,,,,,,,,
,,,1,,,120.1,,150.3,,200.2,,,,,,,,,,,,,,
,,,2,,,119.8,,150.3,,200.1,,,,,,,,,,,,,,
,,,3,,,120.2,,150.3,,200.3,,,,,,,,,,,,,,
,,,4,,,119.9,,150.4,,199.8,,,,,,,,,,,,,,
,,,5,,,120,,150.4,,200.2,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,Set Point Standard,,,Measurement Point Range 201-3000,,,,,,,,,,,,,,,,,,
,,,,,,500,,1000,,2000,,,,,,,,,,,,,,
,,,Repeat,,,Rpm,,Rpm,,Rpm,,,,,,,,,,,,,,
,,,1,,,500.3,,999.9,,2000.2,,,,,,,,,,,,,,
