,FORM VALIDASI MASTER OLAH DATA KALIBRASI,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Lingkup Kalibrasi                   :,,Putaran & Waktu,,,,,,,,,,,,,,,,,,,,
,Jenis/Type Pengukuran       :,,Tachometer & centrifuge,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,No.,Master Name,Last Modified Date,Detail Modified,PIC,,CHECK,,VALIDATION,,Notes/Revision,,,,,,,,,,,,
,1,Master Olah Data_Centrifuge dan Tachometer,2022-06-02T00:00:00,Update correction of standard calibrator tachometer,HN,,NR,,,,Update latest survaylen 2022 revision result,,,,,,,,,,,,
,,,,,Position :,,Position :,Supervisor,Position :,,,,,,,,,,,,,,
,,,,,Date:,2022-06-02T00:00:00,Date:,2022-06-04T00:00:00,Date:,,,,,,,,,,,,,,
,2,Master Olah Data_Centrifuge dan Tachometer,2023-05-19T00:00:00,"-Remove lokasi kalibrasi table on ""Database"" sheet
-Adding DR on pelaksana kalibrasi on ""Database"" sheet
-Changing jabatan according to latest SO on ""Database"" sheet
-Updating IK on ""Database"" sheet
-Adding ""- Calibration results are not to be announced and only apply to related tools -"" statement on ""Sertifikat"" sheet
-Adding calibrator status monitoring on ""Input Data"" sheets",HN,,NR,,,,,,,,,,,,,,,,
,,,,,Position :,,Position :,Supervisor,Position :,,,,,,,,,,,,,,
,,,,,Date:,2023-05-19T00:00:00,Date:,2023-05-06T00:00:00,Date:,,,,,,,,,,,,,,
,3,Master Olah Data Tachometer,2023-06-06T00:00:00,"Separate master olda centrifuge and tachometer
- Modifying u95% calculation based on CMC tachometer",HN,,,,,,,,,,,,,,,,,,
,,,,,Position :,,Position :,,Position :,,,,,,,,,,,,,,
,,,,,Date:,2023-06-06T00:00:00,Date:,,Date:,,,,,,,,,,,,,,
,4,Master Olah Data Tachometer,2023-07-04T00:00:00,"-Updating NEW CMC based on New RLK 2023
-Updating interval kalibrasi std. kalibrator based on schedule program kalibrasi berkala & uji antara",HN,,,,,,,,,,,,,,,,,,
,,,,,Position :,,Position :,,Position :,,,,,,,,,,,,,,
,,,,,Date:,2023-07-04T00:00:00,Date:,,Date:,,,,,,,,,,,,,,
,5,Master Olah Data Tachometer,2023-07-27T00:00:00,"-Updating tachometer recalibration 2023 on Database, U95% Calculation & Sertifikat Kalibrator sheet (Heksa)",HN,,,,,,,,,,,,,,,,,,
,,,,,Position :,,Position :,,Position :,,,,,,,,,,,,,,
,,,,,Date:,2023-07-27T00:00:00,Date:,,Date:,,,,,,,,,,,,,,
,6,Master Olah Data Tachometer,2023-10-30T00:00:00,"-Revisi Technician ID (JO, RH)",,,,,,,,,,,,,,,,,,,
,,,,,Position :,,Position :,,Position :,,,,,,,,,,,,,,
,,,,,Date:,,Date:,,Date:,,,,,,,,,,,,,,
