,FORM VALIDASI MASTER OLAH DATA KALIBRASI,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Lingkup Kalibrasi                   :,,Putaran & Waktu,,,,,,,,,,,,,,,,,,,,
,Jenis/Type Pengukuran       :,,Timer & Stopwatch,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,No.,Master Name,Last Modified Date,Detail Modified,PIC,,CHECK,,VALIDATION,,Notes/Revision,,,,,,,,,,,,
,1,Master Olah Data_Timer/Stopwatch,2022-06-01T00:00:00,Update correction of standard calibrator stopwatch,HN,,NR,,,,,,,,,,,,,,,,
,,,,,Position :,,Position :,Supervisor,Position :,,,,,,,,,,,,,,
,,,,,Date:,2022-06-01T00:00:00,Date:,2022-06-04T00:00:00,Date:,,,,,,,,,,,,,,
,2,Master Olah Data_Timer/Stopwatch,2022-12-08T00:00:00,"Perubahan Nilai U HRTB dan HRTSD, update Nilai u untuk drift",NR,,,,,,Update latest survaylen 2022 revision result,,,,,,,,,,,,
,,,,,Position :,Supervisor,Position :,,Position :,,,,,,,,,,,,,,
,,,,,Date:,2022-12-08T00:00:00,Date:,,Date:,,,,,,,,,,,,,,
,3,Master Olda_Timer dan Stopwatch,2023-05-23T00:00:00,"-Remove lokasi kalibrasi table on ""Database"" sheet
-Adding DR on pelaksana kalibrasi on ""Database"" sheet
-Changing jabatan according to latest SO on ""Database"" sheet
-Updating IK on ""Database"" sheet
-Adding ""- Calibration results are not to be announced and only apply to related tools -"" statement on ""Sertifikat"" sheet
-Adding calibrator status monitoring on ""Input Data"" sheets",HN,,,,,,,,,,,,,,,,,,
,,,,,Position :,,Position :,,Position :,,,,,,,,,,,,,,
,,,,,Date:,2023-05-23T00:00:00,Date:,,Date:,,,,,,,,,,,,,,
,4,Master Olda_Timer dan Stopwatch,2023-07-04T00:00:00,"-Updating NEW CMC based on New RLK 2023
-Updating interval kalibrasi std. kalibrator based on schedule program kalibrasi berkala & uji antara",HN,,,,,,,,,,,,,,,,,,
,,,,,Position :,,Position :,,Position :,,,,,,,,,,,,,,
,,,,,Date:,2023-07-04T00:00:00,Date:,,Date:,,,,,,,,,,,,,,
,5,Master Olda_Timer dan Stopwatch,2023-10-30T00:00:00,"-Revisi Technician ID (JO, RH)",HN,,,,,,,,,,,,,,,,,,
,,,,,Position :,,Position :,,Position :,,,,,,,,,,,,,,
,,,,,Date:,2023-10-30T00:00:00,Date:,,Date:,,,,,,,,,,,,,,
,6,Master Olda_Timer dan Stopwatch,2024-01-25T00:00:00,-Update std stopwatch recalibration 2024 (revised),HN,,,,,,"-std kalibrator blm sepenuhnya diupdate (menunggu revisi sertif indocal)
-nilai u95 kalibrator blm di rumuskan ""IF"" apabila ketidakpastian berupa rentang yg berbeda2",,,,,,,,,,,,
