PT. SIDIK,,,"KALIBRASI
STOPWATCH / TIMER",,,,,,,,,,,,LK-285-IDN,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Calibrator Standard Status Monitoring :,,,,,,,,,,ALL STANDARDS ARE VALID,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Certificate Number,,,:,015-CAL-424,,,,,,,
,,,,,,,,,,,,Order Number,,,:,2404.04.D,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,IDENTITAS ALAT,,,,,,,,,,IDENTITAS CUSTOMER,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Nama Alat,,:,Stopwatch,,,,,,,Nama Custromer,,:,[NAMA PELANGGAN DIREDAKSI],,,,,,,,,
,Merk,,:,Casio,,,,,,,,,,,,,,,,,,,
,Type,,:,-,,,,,,,Alamat Customer,,:,[ALAMAT PELANGGAN DIREDAKSI],,,,,,,,,
,No. Seri,,:,711Q14R,,,,,,,,,,,,,,,,,,,
,Rentang Ukur,,:,60,,,,min,,,,,,,,,,,DON'T ERASE ! THIS DATA ARE FOR CALCULATION ,,,,
,Kapasitas Max.,,:,60,,,,min,,,Tanggal Terima ,,:,2024-04-03T00:00:00,,,,,Thermohygro used,,:,TH-4,
,Resolusi Alat,,:,0.001,,,,s,,,Tanggal Kalibrasi,,:,2024-04-03T00:00:00,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Teknisi,,:,JO,
,KONDISI LINGKUNGAN,,,,,,,,,PENGERJAAN,,,,,,,,,Metode Kalibrasi,,:,Timer & Stopwatch,
,,,,,,,,,,,,,,,,,,,Penandatangan,,:,Alex Misramto,
,,,,Awal,Akhir,,Average,,,,Lokasi Kalibrasi,,:,Insitu (LPKL PDAM),,,,,Posisi,,:,Technical Manager,
,Suhu Ruangan,,:,21.3,21.5,,21.4,oC,,,Technician ID,,:,3,,,,,Dihitung oleh,,:,DR,
,Kelembaban,,:,53,56,,54.5,%RH,,,Calibration Method,,:,9,,,,,Status kalibrator Stopwatch,,:,182.3973645833321,
,Thermohygro Used,,:,4,,,,,,,Standar Used,,:,Stopwatch,,,VALID,,Unit used,,,,
,,,,,,,,,,,,,,,,,,,Poin 1,,:,min,
DATA HASIL KALIBRASI,,,,,,,,,,,,,,,,,,,Poin 2,,:,min,
,,,,,,,,,,,,,,,,,,,Poin 3,,:,min,
,Poin 1,,,,,,,,,,,,,,,,,,Poin 4,,:,min,
,Repeatability,Set Point,,,,1,,1,,,,,,,,,,,Poin 5,,:,min,
,,Standard,,,,,UUT,,,,,,,,,,,,Poin 6,,:,min,
,,J,M,,S,0.001 S,J,M,S,0.001S,,,,,,,,,Poin 7,,:,min,
,1.,0,1,,0,123,0,1,0,131,,,,,,,,,Poin 8,,:,min,
,2.,0,1,,0,211,0,1,0,219,,,,,,,,,Poin 9,,:,min,
,3.,0,1,,0,45,0,1,0,61,,,,,,,,,Poin 10,,:,min,
,,,,,,,,,,,,,,,,,,,,,,,
,Poin 2,,,,,,,,,,,,,,,,,,,,,,
,Repeatability,Set Point,,,,5,,1,,,,,,,,,,,,,,,
,,Standard,,,,,UUT,,,,,,,,,,,,,,,,
,,J,M,,S,0.001 S,J,M,S,0.001S,,,,,,,,,,,,,
,1.,0,5,,0,169,0,5,0,198,,,,,,,,,,,,,
,2.,0,5,,0,145,0,5,0,151,,,,,,,,,,,,,
,3.,0,5,,0,43,0,5,0,54,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Poin 3,,,,,,,,,,,,,,,,,,,,,,
,Repeatability,Set Point,,,,10,,1,,,,,,,,,,,,,,,
,,Standard,,,,,UUT,,,,,,,,,,,,,,,,
,,J,M,,S,0.001 S,J,M,S,0.001S,,,,,,,,,,,,,
,1.,0,10,,0,95,0,10,0,63,,,,,,,,,,,,,
,2.,0,10,,0,73,0,10,0,66,,,,,,,,,,,,,
,3.,0,10,,0,32,0,10,0,21,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Poin 4,,,,,,,,,,,,,,,,,,,,,,
,Repeatability,Set Point,,,,15,,1,,,,,,,,,,,,,,,
,,Standard,,,,,UUT,,,,,,,,,,,,,,,,
,,J,M,,S,0.001 S,J,M,S,0.001S,,,,,,,,,,,,,
,1.,0,15,,0,93,0,15,0,67,,,,,,,,,,,,,
,2.,0,15,,0,77,0,15,0,64,,,,,,,,,,,,,
,3.,0,15,,0,31,0,15,0,25,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Poin 5,,,,,,,,,,,,,,,,,,,,,,
,Repeatability,Set Point,,,,30,,1,,,,,,,,,,,,,,,
,,Standard,,,,,UUT,,,,,,,,,,,,,,,,
,,J,M,,S,0.001 S,J,M,S,0.001S,,,,,,,,,,,,,
,1.,0,30,,0,96,0,30,0,102,,,,,,,,,,,,,
,2.,0,30,,0,87,0,30,0,84,,,,,,,,,,,,,
,3.,0,30,,0,65,0,30,0,52,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Poin 6,,,,,,,,,,,,,,,,,,,,,,
,Repeatability,Set Point,,,,,,1,,,,,,,,,,,,,,,
,,Standard,,,,,UUT,,,,,,,,,,,,,,,,
,,J,M,,S,0.001 S,J,M,S,0.001S,,,,,,,,,,,,,
,1.,,,,,,,,,,,,,,,,,,,,,,
,2.,,,,,,,,,,,,,,,,,,,,,,
,3.,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Poin 7,,,,,,,,,,,,,,,,,,,,,,
,Repeatability,Set Point,,,,,,1,,,,,,,,,,,,,,,
,,Standard,,,,,UUT,,,,,,,,,,,,,,,,
,,J,M,,S,0.001 S,J,M,S,0.001S,,,,,,,,,,,,,
,1.,,,,,,,,,,,,,,,,,,,,,,
,2.,,,,,,,,,,,,,,,,,,,,,,
,3.,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Poin 8,,,,,,,,,,,,,,,,,,,,,,
,Repeatability,Set Point,,,,,,1,,,,,,,,,,,,,,,
,,Standard,,,,,UUT,,,,,,,,,,,,,,,,
,,J,M,,S,0.001 S,J,M,S,0.001S,,,,,,,,,,,,,
,1.,,,,,,,,,,,,,,,,,,,,,,
,2.,,,,,,,,,,,,,,,,,,,,,,
,3.,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Poin 9,,,,,,,,,,,,,,,,,,,,,,
,Repeatability,Set Point,,,,,,1,,,,,,,,,,,,,,,
,,Standard,,,,,UUT,,,,,,,,,,,,,,,,
,,J,M,,S,0.001 S,J,M,S,0.001S,,,,,,,,,,,,,
,1.,,,,,,,,,,,,,,,,,,,,,,
,2.,,,,,,,,,,,,,,,,,,,,,,
,3.,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Poin 10,,,,,,,,,,,,,,,,,,,,,,
,Repeatability,Set Point,,,,,,1,,,,,,,,,,,,,,,
,,Standard,,,,,UUT,,,,,,,,,,,,,,,,
,,J,M,,S,0.001 S,J,M,S,0.001S,,,,,,,,,,,,,
,1.,,,,,,,,,,,,,,,,,,,,,,
,2.,,,,,,,,,,,,,,,,,,,,,,
,3.,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Issuance Date  :,,2024-04-07T00:00:00,,,,,,,,,,,,,,,,,,,,
,Calculated by,,,Signed by,,,,,,,,,,,,,,,,,,,
,Name:,3,,Name:,2,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
