,IDENTITAS ALAT,,,,,,,,,,IDENTITAS CUSTOMER,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Nama Alat,,:,Stopwatch,,,,,,,Nama Custromer,,:,[NAMA PELANGGAN DIREDAKSI],,,,,,,,,
,Merk,,:,Casio,,,,,,,,,,,,,,,,,,,
,Type,,:,-,,,,,,,Alamat Customer,,:,[ALAMAT PELANGGAN DIREDAKSI],,,,,,,,,
,No. Seri,,:,711Q14R,,,,,,,,,,,,,,,,,,,
,Rentang Ukur,,:,60,min,,,,,,,,,,,,,,,,,,
,Kapasitas Max.,,:,60,min,,,,,,Tanggal Terima ,,:,2024-04-03T00:00:00,,,,,,,,,
,Resolusi Alat,,:,0.001,min,,,,,,Tanggal Kalibrasi,,:,2024-04-03T00:00:00,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,PERHITUNGAN KONDISI LINGKUNGAN,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,Awal,Akhir,Average,Indexed Value,Correction (C),,,,Δ,C,U95% Std TH,U95% Sertifikat,,,,,,,,
,Suhu Ruangan,,:,21.3,21.5,21.4,19.37,-0.59,oC,,,0.1999999999999993,-0.59,1.7,±,1.7117242768623688,oC,,,,,,
,Kelembaban,,:,53,56,54.5,47.1,-2.5,%RH,,,3,-2.5,4.8,±,5.660388679233963,%RH,,,,,,
,Thermohygro Used,,:,TH-4,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
DATA HASIL KALIBRASI,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Poin 1,,,,,,,,,,,,,,,,,,,,,,
,Repeatability,Set Point,,,,1,,min,,,,,,,,,,,,,,,
,,Standard,,,,,UUT,,,,,,,,,,,,,,,,
,,J,M,,S,0.001 S,J,M,S,0.001S,,,,,,,,,,,,,
,1.,0,1,,0,123,0,1,0,131,,,,,,,,,,,,,
,2.,0,1,,0,211,0,1,0,219,,,,,,,,,,,,,
,3.,0,1,,0,45,0,1,0,61,,,,,,,,,,,,,
,AVERAGE,0,1,,0,126.33333333333333,0,1,0,137,,,,,,,,,,,,,
,INDEXED VALUE,,,,,60,,,,,,,,,,,,,,,,,
,KOREKSI STD,,,,,-30,,,,,,,,,,,,,,,,,
,STD CORRECTED,0,1,,0,96.33333333333333,0,1,0,137,Max. STDEV ,,,,,,,,,,,,
,STDEV,0,0,,0,83.05018563093843,0,0,0,79.17070165155795,83.05018563093843,ms,,,,,,,,,,,
,CORRECTION,0,0,,0,-40.66666666666667,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Poin 2,,,,,,,,,,,,,,,,,,,,,,
,Repeatability,Set Point,,,,5,,min,,,,,,,,,,,,,,,
,,Standard,,,,,UUT,,,,,,,,,,,,,,,,
,,J,M,,S,0.001 S,J,M,S,0.001S,,,,,,,,,,,,,
,1.,0,5,,0,169,0,5,0,198,,,,,,,,,,,,,
,2.,0,5,,0,145,0,5,0,151,,,,,,,,,,,,,
,3.,0,5,,0,43,0,5,0,54,,,,,,,,,,,,,
,AVERAGE,0,5,,0,119,0,5,0,134.33333333333334,,,,,,,,,,,,,
,INDEXED VALUE,,,,,300,,,,,,,,,,,,,,,,,
,KOREKSI STD,,,,,0,,,,,,,,,,,,,,,,,
,STD CORRECTED,0,5,,0,119,0,5,0,134.33333333333334,Max. STDEV ,,,,,,,,,,,,
,STDEV,0,0,,0,66.90291473471092,0,0,0,73.43250869562698,73.43250869562698,ms,,,,,,,,,,,
,CORRECTION,0,0,,0,-15.333333333333343,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Poin 3,,,,,,,,,,,,,,,,,,,,,,
,Repeatability,Set Point,,,,10,,min,,,,,,,,,,,,,,,
,,Standard,,,,,UUT,,,,,,,,,,,,,,,,
,,J,M,,S,0.001 S,J,M,S,0.001S,,,,,,,,,,,,,
,1.,0,10,,0,95,0,10,0,63,,,,,,,,,,,,,
,2.,0,10,,0,73,0,10,0,66,,,,,,,,,,,,,
,3.,0,10,,0,32,0,10,0,21,,,,,,,,,,,,,
,AVERAGE,0,10,,0,66.66666666666667,0,10,0,50,,,,,,,,,,,,,
,INDEXED VALUE,,,,,600,,,,,,,,,,,,,,,,,
,KOREKSI STD,,,,,-10,,,,,,,,,,,,,,,,,
,STD CORRECTED,0,10,,0,56.66666666666667,0,10,0,50,Max. STDEV ,,,,,,,,,,,,
,STDEV,0,0,,0,31.973947728319896,0,0,0,25.15949125081825,31.973947728319896,ms,,,,,,,,,,,
,CORRECTION,0,0,,0,6.666666666666671,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Poin 4,,,,,,,,,,,,,,,,,,,,,,
,Repeatability,Set Point,,,,15,,min,,,,,,,,,,,,,,,
,,Standard,,,,,UUT,,,,,,,,,,,,,,,,
,,J,M,,S,0.001 S,J,M,S,0.001S,,,,,,,,,,,,,
,1.,0,15,,0,93,0,15,0,67,,,,,,,,,,,,,
,2.,0,15,,0,77,0,15,0,64,,,,,,,,,,,,,
,3.,0,15,,0,31,0,15,0,25,,,,,,,,,,,,,
,AVERAGE,0,15,,0,67,0,15,0,52,,,,,,,,,,,,,
,INDEXED VALUE,,,,,600,,,,,,,,,,,,,,,,,
,KOREKSI STD,,,,,-10,,,,,,,,,,,,,,,,,
,STD CORRECTED,0,15,,0,57,0,15,0,52,Max. STDEV ,,,,,,,,,,,,
,STDEV,0,0,,0,32.18695387886216,0,0,0,23.430749027719962,32.18695387886216,ms,,,,,,,,,,,
,CORRECTION,0,0,,0,5,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Poin 5,,,,,,,,,,,,,,,,,,,,,,
,Repeatability,Set Point,,,,30,,min,,,,,,,,,,,,,,,
,,Standard,,,,,UUT,,,,,,,,,,,,,,,,
,,J,M,,S,0.001 S,J,M,S,0.001S,,,,,,,,,,,,,
,1.,0,30,,0,96,0,30,0,102,,,,,,,,,,,,,
,2.,0,30,,0,87,0,30,0,84,,,,,,,,,,,,,
,3.,0,30,,0,65,0,30,0,52,,,,,,,,,,,,,
,AVERAGE,0,30,,0,82.66666666666667,0,30,0,79.33333333333333,,,,,,,,,,,,,
,INDEXED VALUE,,,,,1800,,,,,,,,,,,,,,,,,
,KOREKSI STD,,,,,-10,,,,,,,,,,,,,,,,,
,STD CORRECTED,0,30,,0,72.66666666666667,0,30,0,79.33333333333333,Max. STDEV ,,,,,,,,,,,,
,STDEV,0,0,,0,15.947831618540933,0,0,0,25.324559884296782,25.324559884296782,ms,,,,,,,,,,,
,CORRECTION,0,0,,0,-6.666666666666657,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Poin 6,,,,,,,,,,,,,,,,,,,,,,
,Repeatability,Set Point,,,,0,,min,,,,,,,,,,,,,,,
,,Standard,,,,,UUT,,,,,,,,,,,,,,,,
,,J,M,,S,0.001 S,J,M,S,0.001S,,,,,,,,,,,,,
,1.,0,0,,0,0,0,0,0,0,,,,,,,,,,,,,
,2.,0,0,,0,0,0,0,0,0,,,,,,,,,,,,,
,3.,0,0,,0,0,0,0,0,0,,,,,,,,,,,,,
,AVERAGE,0,0,,0,0,0,0,0,0,,,,,,,,,,,,,
,INDEXED VALUE,,,,,5,,,,,,,,,,,,,,,,,
,KOREKSI STD,,,,,30,,,,,,,,,,,,,,,,,
,STD CORRECTED,0,0,,0,30,0,0,0,0,Max. STDEV ,,,,,,,,,,,,
,STDEV,0,0,,0,0,0,0,0,0,0,ms,,,,,,,,,,,
,CORRECTION,0,0,,0,30,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Poin 7,,,,,,,,,,,,,,,,,,,,,,
,Repeatability,Set Point,,,,0,,min,,,,,,,,,,,,,,,
,,Standard,,,,,UUT,,,,,,,,,,,,,,,,
,,J,M,,S,0.001 S,J,M,S,0.001S,,,,,,,,,,,,,
,1.,0,0,,0,0,0,0,0,0,,,,,,,,,,,,,
,2.,0,0,,0,0,0,0,0,0,,,,,,,,,,,,,
,3.,0,0,,0,0,0,0,0,0,,,,,,,,,,,,,
,AVERAGE,0,0,,0,0,0,0,0,0,,,,,,,,,,,,,
,INDEXED VALUE,,,,,5,,,,,,,,,,,,,,,,,
,KOREKSI STD,,,,,30,,,,,,,,,,,,,,,,,
,STD CORRECTED,0,0,,0,30,0,0,0,0,Max. STDEV ,,,,,,,,,,,,
,STDEV,0,0,,0,0,0,0,0,0,0,ms,,,,,,,,,,,
,CORRECTION,0,0,,0,30,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Poin 8,,,,,,,,,,,,,,,,,,,,,,
,Repeatability,Set Point,,,,0,,min,,,,,,,,,,,,,,,
,,Standard,,,,,UUT,,,,,,,,,,,,,,,,
,,J,M,,S,0.001 S,J,M,S,0.001S,,,,,,,,,,,,,
,1.,0,0,,0,0,0,0,0,0,,,,,,,,,,,,,
,2.,0,0,,0,0,0,0,0,0,,,,,,,,,,,,,
,3.,0,0,,0,0,0,0,0,0,,,,,,,,,,,,,
,AVERAGE,0,0,,0,0,0,0,0,0,,,,,,,,,,,,,
,INDEXED VALUE,,,,,5,,,,,,,,,,,,,,,,,
,KOREKSI STD,,,,,30,,,,,,,,,,,,,,,,,
,STD CORRECTED,0,0,,0,30,0,0,0,0,Max. STDEV ,,,,,,,,,,,,
,STDEV,0,0,,0,0,0,0,0,0,0,ms,,,,,,,,,,,
,CORRECTION,0,0,,0,30,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Poin 9,,,,,,,,,,,,,,,,,,,,,,
,Repeatability,Set Point,,,,0,,min,,,,,,,,,,,,,,,
,,Standard,,,,,UUT,,,,,,,,,,,,,,,,
,,J,M,,S,0.001 S,J,M,S,0.001S,,,,,,,,,,,,,
,1.,0,0,,0,0,0,0,0,0,,,,,,,,,,,,,
,2.,0,0,,0,0,0,0,0,0,,,,,,,,,,,,,
,3.,0,0,,0,0,0,0,0,0,,,,,,,,,,,,,
,AVERAGE,0,0,,0,0,0,0,0,0,,,,,,,,,,,,,
,INDEXED VALUE,,,,,5,,,,,,,,,,,,,,,,,
,KOREKSI STD,,,,,30,,,,,,,,,,,,,,,,,
,STD CORRECTED,0,0,,0,30,0,0,0,0,Max. STDEV ,,,,,,,,,,,,
,STDEV,0,0,,0,0,0,0,0,0,0,ms,,,,,,,,,,,
,CORRECTION,0,0,,0,30,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Poin 10,,,,,,,,,,,,,,,,,,,,,,
,Repeatability,Set Point,,,,0,,min,,,,,,,,,,,,,,,
,,Standard,,,,,UUT,,,,,,,,,,,,,,,,
,,J,M,,S,0.001 S,J,M,S,0.001S,,,,,,,,,,,,,
,1.,0,0,,0,0,0,0,0,0,,,,,,,,,,,,,
,2.,0,0,,0,0,0,0,0,0,,,,,,,,,,,,,
,3.,0,0,,0,0,0,0,0,0,,,,,,,,,,,,,
,AVERAGE,0,0,,0,0,0,0,0,0,,,,,,,,,,,,,
,INDEXED VALUE,,,,,5,,,,,,,,,,,,,,,,,
,KOREKSI STD,,,,,30,,,,,,,,,,,,,,,,,
,STD CORRECTED,0,0,,0,30,0,0,0,0,Max. STDEV ,,,,,,,,,,,,
,STDEV,0,0,,0,0,0,0,0,0,0,ms,,,,,,,,,,,
,CORRECTION,0,0,,0,30,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Max. All STDEV,83.05018563093843,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
