,FORM VALIDASI MASTER OLAH DATA KALIBRASI,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Lingkup Kalibrasi                   :,,Instrumen Analisa,,,,,,,,,,,,,,,,,,,,
,Jenis/Type Pengukuran       :,,Viscometer,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,No.,Master Name,Last Modified Date,Detail Modified,PIC,,CHECK,,VALIDATION,,Notes/Revision,,,,,,,,,,,,
,1,Master Olah Data_Viscometer,2022-06-24T00:00:00,"- Creating All Sheets
",HN,,NR,,,,Update new standar viscometer solution 60.000 & 100 cP,,,,,,,,,,,,
,,,,,Position :,,Position :,Supervisor,Position :,,,,,,,,,,,,,,
,,,,,Date:,2022-06-24T00:00:00,Date:,2022-06-24T00:00:00,Date:,,,,,,,,,,,,,,
,2,Master Olah Data_Viscometer,2022-02-18T00:00:00,Updating new std 60.000 & 100 cP,HN,,,,,,Update new standar viscometer solution 30.000 cP,,,,,,,,,,,,
,,,,,Position :,,Position :,,Position :,,,,,,,,,,,,,,
,,,,,Date:,2022-02-18T00:00:00,Date:,,Date:,,,,,,,,,,,,,,
,3,Master Olah Data_Viscometer,2022-04-22T00:00:00,Updating new std 30.000 cP,HN,,,,,,"Update IK order number based on DID on database, adding TH-3 s/d 7,
update PT100",,,,,,,,,,,,
,,,,,Position :,,Position :,,Position :,,,,,,,,,,,,,,
,,,,,Date:,2022-04-22T00:00:00,Date:,,Date:,,,,,,,,,,,,,,
,4,Master Olah Data_Viscometer,2022-10-24T00:00:00,"-Updating ""Database"" sheet: IK order number based on DID, adding TH-3 s/d 7
-Updating TH calculation on ""Perhitungan FC"" sheet.",HN,,,,,,Update latest survaylen 2022 revision result,,,,,,,,,,,,
,,,,,Position :,,Position :,,Position :,,,,,,,,,,,,,,
,,,,,Date:,2022-10-24T00:00:00,Date:,,Date:,,,,,,,,,,,,,,
,5,Master Olah Data_Viscometer,2023-05-05T00:00:00,"-Remove lokasi kalibrasi table on ""Database"" sheet
-Adding DR on pelaksana kalibrasi on ""Database"" sheet
-Changing jabatan according to latest SO on ""Database"" sheet
-Updating IK on ""Database"" sheet
-Adding ""- Calibration results are not to be announced and only apply to related tools -"" statement on ""Sertifikat"" sheet
-Adding calibrator status monitoring on ""Input Data"" sheets",HN,,,,,,,,,,,,,,,,,,
,,,,,Position :,,Position :,,Position :,,,,,,,,,,,,,,
,,,,,Date:,2023-05-05T00:00:00,Date:,,Date:,,,,,,,,,,,,,,
,6,Master Olah Data_Viscometer,2023-07-05T00:00:00,"-Updating NEW CMC based on New RLK 2023
-Updating interval kalibrasi std. kalibrator based on schedule program kalibrasi berkala & uji antara",HN,,,,,,,,,,,,,,,,,,
,,,,,Position :,,Position :,,Position :,,,,,,,,,,,,,,
