PT. SIDIK,,,"KALIBRASI
VISCOMETER",,,,,,,,,,,,,,LK-285-IDN,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibrator Standard Status Monitoring :,,,,,,,,,,ALL STANDARDS ARE VALID,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Certificate Number,,,:,0817-CAL-726,,,,,,,,,
,,,,,,,,,,,,,,Order Number,,,:,2607.59.W,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IDENTITAS ALAT,,,,,,,,,,,,IDENTITAS CUSTOMER,,,,,,,,,,DON'T ERASE ! THIS DATA ARE FOR CALCULATION ,,,,
,,,,,,,,,,,,,,,,,,,,,,,Satuan refracto,,:,cP,
,Nama Alat,,:,Viscometer,,,,,,,,,Nama Custromer,,:,[NAMA PELANGGAN DIREDAKSI],,,,,,,Thermohygro used,,:,TH-3,
,Merk,,:,Brookfield,,,,Pilih model sesuai spek. visco:,,,,,,,,,,,,,,,Teknisi,,:,DT,
,Type,,:,DV Plus,,,,Model:,6,,,,Alamat Customer,,:,[ALAMAT PELANGGAN DIREDAKSI],,,,,,,Metode Kalibrasi,,:,Viscometer,
,No. Seri,,:,86068360,,,,,,,,,,,,,,,,,,,,,,,
,Rentang Ukur,,:,100-3000,,,,2,,,,,,,,,,,,,,,Standar Used,,:,,
,Kapasitas Max.,,:,-,,,,cP,,,,,Tanggal Terima ,,:,2026-07-31T00:00:00,,,,,,,Visco 100 cP,,:,True,Viscosity Standard Solution 100 cP
,Resolusi Alat,,:,1,,,,cP,,,,,Tanggal Kalibrasi,,:,2026-07-31T00:00:00,,,,,,,Visco 1000cP,,:,True,Viscosity Standard Solution 1000 cP
,,,,,,,,,,,,,,,,,,,,,,,Visco 3000 cP,,:,True,Viscosity Standard Solution 3000 cP
,,,,,,,,,,,,,,,,,,,,,,,Visco 60000 cP,,:,False,False
,KONDISI LINGKUNGAN,,,,,,,,,,,PENGERJAAN,,,,,,,,,,,Visco 100000 cP,,:,False,False
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Awal,Akhir,,Average,,,,,,Lokasi Kalibrasi,,:,Insitu (Lab. QC),,,,,,,Termometer & Sensor,,:,True,Termometer & Sensor Std.
,Suhu Ruangan,,:,25.2,25.3,,25.25,oC,,,,,Technician ID,,:,2,,,,,,,,,,,
,Kelembaban,,:,57,58,,57.5,%RH,,,,,Calibration Method,,:,17,,,,,,,Dihitung oleh,,:,DR,
,Thermohygro Used,,:,3,,,,,,,,,Standar Used,,:,,,,VALID,,,,Penandatangan,,:,Alex Misramto,
,,,,,,,,,,,,,,,,,,,VALID,,,,Posisi,,:,Technical Manager,
,,,,,,,,,,,,,,,,,,,VALID,,,,,,,,
,,,,,,,,,,,,,,,,,,,VALID,,,,Status kalibrator 100cP,,:,728.6172199074063,
,,,,,,,,,,,,,,,,,,,VALID,,,,Status kalibrator 1000cP,,:,826.6172199074063,
,,,,,,,,,,,,,,,,,,,EXPIRED,,,,Status kalibrator 3000cP,,:,667.6172199074063,
DATA HASIL KALIBRASI,,,,,,,,,,,,,,,,,,,,,,,Statu kalibrator 60000cP,,:,398.61721990740625,
,,,,,,,,,,,,,,,,,,,,,,,Statu kalibrator 100000cP,,:,687.6172199074063,
,,,,,,,,,,,,,,,,,,,,,,,Status Kalibrator Temp. Yokogawa,,:,-9.382780092593748,
,,,Standard,,,Before Adjustment Reading,,,,,,,,,,,,,,,,,Statuskalibrator sensor PT100,,:,176.61721990740625,
,,,,,,99.65,cP,1018,cP,3987,cP,59003,,cP,,99613,,cP,,,,,,,,,
,,,Repeat,,,cP,oC,cP,oC,cP,oC,cP,,oC,,cP,,oC,,,,1,Average suhu 100cP,,:,30.2,
,,,1,,,79.7,30.2,779.4,30.6,2709,30.9,,,,,,,,,,,,Index nilai 100cP,,:,25,
,,,2,,,79.6,30.2,779.5,30.6,2710,30.9,,,,,,,,,,,,Value visco on 100cP,,:,99.65,
,,,3,,,79.7,30.2,779.5,30.6,2710,30.9,,,,,,,,,,,,,,,,
,,,4,,,79.6,30.2,779.5,30.6,2710,30.9,,,,,,,,,,,2,Average suhu 1000cP,,:,30.6,
