,TABEL BUDGET KETIDAKPASTIAN INSTRUMEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nama Alat,,,,,,,,:,Viscometer,,,,,,,,,,U95% Standar :,,,,,0.129545,cP,,,,,,,,,,,
,Rentang Ukur,,,,,,,,:,-,,cP,,,,,,,,,,,,,,,,,,,,,,,,,
,Ketelitian Baca,,,,,,,,:,0.1,,cP,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Pengaruh Suhu,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Temperature (UTemperature),,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,a.,U95% Thermometer Certificate (oC),,,,,,,b.,U95% Sensor Certificate (oC),,,,,,c.,UTemperature (oC),,,:,0.36124783736376886,,,,,,,
,,,,,,,,,,,U95% Thermometer,,,,:,0.72,,,U95% Sensor,,,:,0.06,,,,,,,,,,,,,,
,,,,,,,,,,,k,,,,:,2,,,k,,,:,2,,,,,,,,,,,,,,
,,,,,,,,,,,Utemp. (oC),,,,:,0.36,,,Utemp. (oC),,,:,0.03,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,99.65,cP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Component,,,,,,,Unit,,Distribution,,,U,,,Divisor,,vi,,ui,,,ci,,uici,,,( uici )2,,,,( uici )4/ vi,,,,,
,Ketidakpastian Baku Sertifikat Kalibrasi Calibrator,,,,,,,cP,,normal,,,0.129545,,,2,,200,,0.0647725,,,1,,0.0647725,,,0.004195476756249999,,,,8.801012606117007e-08,,,,,
,Ketidakpastian Baku Daya Baca Alat yang dikalibrasi,,,,,,,cP,,rect.,,,0.05,,,1.7320508075688772,,1000000,,0.02886751345948129,,,1,,0.02886751345948129,,,0.0008333333333333335,,,,6.944444444444447e-13,,,,,
,Ketidakpastian Pengaruh Temperature,,,,,,,oC,,rect.,,,0.36124783736376886,,,1.7320508075688772,,50,,0.20856653614614212,,,0.08999586748324892,,0.018770126348448452,,,0.00035231764313671884,,,,2.482554433308247e-09,,,,,
,Ketidakpastian Baku Pengulangan Pembacaan,,,,,,,cP,,t-student,,,0.05477225575052128,,,5,,4,,0.02449489742783387,,,1,,0.02449489742783387,,,0.0006000000000001024,,,,9.000000000003072e-08,,,,,
,Jumlah,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005981127732720154,,,,1.804933749389535e-07,,,,,
,"Ketidakpastian Baku Gabungan , Uc",,,,,,,,,,,,,,,,,,,,,,,,,,,0.07733775101928006,,,,,,,,,
,"Derajat Kebebasan , v eff",,,,,,,,,,,,,,,,,,,,,,,,,,,198.2005653515736,,,,,,,,,
,"Factor Cakupan , k=student's for v eff and CL 95 %",,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,
,"Ketidakpastian Bentangan  , U = k Uc",,,,,,,,,,,,,,,,,,,,,,,,,,,0.15467550203856012,,,,cP,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,CMC Laboratory,0.2,,,,cP,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Uncertainty sertifikat,0.2,,,,cP,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nama Alat,,,,,,,,:,Viscometer,,,,,,,,,,U95% Standar :,,,,,2.3414,cP,,,,,,,,,,,
,Rentang Ukur,,,,,,,,:,-,,cP,,,,,,,,,,,,,,,,,,,,,,,,,
,Ketelitian Baca,,,,,,,,:,1,,cP,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1018,cP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Component,,,,,,,Unit,,Distribution,,,U,,,Divisor,,vi,,ui,,,ci,,uici,,,( uici )2,,,,( uici )4/ vi,,,,,
,Ketidakpastian Baku Sertifikat Kalibrasi Calibrator,,,,,,,cP,,normal,,,2.3414,,,2,,200,,1.1707,,,1,,1.1707,,,1.3705384900000002,,,,0.009391878762857403,,,,,
,Ketidakpastian Baku Daya Baca Alat yang dikalibrasi,,,,,,,cP,,rect.,,,0.5,,,1.7320508075688772,,1000000,,0.2886751345948129,,,1,,0.2886751345948129,,,0.08333333333333336,,,,6.9444444444444484e-09,,,,,
,Ketidakpastian Pengaruh Temperature,,,,,,,oC,,rect.,,,0.36124783736376886,,,1.7320508075688772,,50,,0.20856653614614212,,,0.9193757460907918,,0.1917510147789315,,,0.03676845166875001,,,,2.7038380762344103e-05,,,,,
,Ketidakpastian Baku Pengulangan Pembacaan,,,,,,,cP,,t-student,,,0,,,5,,4,,0,,,1,,0,,,0,,,,0,,,,,
,Jumlah,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4906402750020835,,,,0.009418924088064192,,,,,
,"Ketidakpastian Baku Gabungan , Uc",,,,,,,,,,,,,,,,,,,,,,,,,,,1.2209178002642453,,,,,,,,,
,"Derajat Kebebasan , v eff",,,,,,,,,,,,,,,,,,,,,,,,,,,235.90894338707452,,,,,,,,,
,"Factor Cakupan , k=student's for v eff and CL 95 %",,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,
,"Ketidakpastian Bentangan  , U = k Uc",,,,,,,,,,,,,,,,,,,,,,,,,,,2.4418356005284907,,,,cP,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,CMC Laboratory,2.1,,,,cP,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Uncertainty sertifikat,2.4418356005284907,,,,cP,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nama Alat,,,,,,,,:,Viscometer,,,,,,,,,,U95% Standar :,,,,,7.5753,cP,,,,,,,,,,,
,Rentang Ukur,,,,,,,,:,-,,cP,,,,,,,,,,,,,,,,,,,,,,,,,
,Ketelitian Baca,,,,,,,,:,0.1,,cP,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3987,cP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Component,,,,,,,Unit,,Distribution,,,U,,,Divisor,,vi,,ui,,,ci,,uici,,,( uici )2,,,,( uici )4/ vi,,,,,
,Ketidakpastian Baku Sertifikat Kalibrasi Calibrator,,,,,,,cP,,normal,,,9.9675,,,2,,200,,4.98375,,,1,,4.98375,,,24.837764062499996,,,,3.0845726181220816,,,,,
,Ketidakpastian Baku Daya Baca Alat yang dikalibrasi,,,,,,,cP,,rect.,,,0.05,,,1.7320508075688772,,1000000,,0.02886751345948129,,,1,,0.02886751345948129,,,0.0008333333333333335,,,,6.944444444444447e-13,,,,,
,Ketidakpastian Temperature,,,,,,,oC,,rect.,,,0.36124783736376886,,,1.7320508075688772,,50,,0.20856653614614212,,,3.600737818923366,,0.7509934144632612,,,0.5639911085671876,,,,0.006361719410856904,,,,,
,Ketidakpastian Baku Pengulangan Pembacaan,,,,,,,cP,,t-student,,,0.44721359549995787,,,5,,4,,0.19999999999999996,,,1,,0.19999999999999996,,,0.03999999999999998,,,,0.0003999999999999996,,,,,
,Jumlah,,,,,,,,,,,,,,,,,,,,,,,,,,,25.442588504400515,,,,3.091334337533633,,,,,
,"Ketidakpastian Baku Gabungan , Uc",,,,,,,,,,,,,,,,,,,,,,,,,,,5.044064680830383,,,,,,,,,
,"Derajat Kebebasan , v eff",,,,,,,,,,,,,,,,,,,,,,,,,,,209.3999674977603,,,,,,,,,
,"Factor Cakupan , k=student's for v eff and CL 95 %",,,,,,,,,,,,,,,,,,,,,,,,,,,1.9723726265622796,,,,,,,,,
,"Ketidakpastian Bentangan  , U = k Uc",,,,,,,,,,,,,,,,,,,,,,,,,,,9.948775103079448,,,,cP,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,CMC Laboratory,,,,,cP,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Uncertainty sertifikat,9.948775103079448,,,,cP,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nama Alat,,,,,,,,:,Viscometer,,,,,,,,,,U95% Standar :,,,,,135.7069,cP,,,,,,,,,,,
,Rentang Ukur,,,,,,,,:,-,,cP,,,,,,,,,,,,,,,,,,,,,,,,,
,Ketelitian Baca,,,,,,,,:,0.1,,cP,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,59003,cP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Component,,,,,,,Unit,,Distribution,,,U,,,Divisor,,vi,,ui,,,ci,,uici,,,( uici )2,,,,( uici )4/ vi,,,,,
