 COMMON DATA ,,,,,,,,,,,,,,,SPECIFIC DATA,,,,,,,,,,,,Reminder Recalibration,,,TOTAL
,,,,,,,,,,,,,,,,,,,,,,,,,,,Analog,2,year,730
,,,,,,,,,,,,,,,,No,Jenis Gas,CMC,,,,,,,,,Digital,1,year,365
,,,,,,,,,,,,,,,,,,,,,,,,,,,,365,,
,,,,,,,,,,,,,,,,1,CO,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,2,H2S,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,3,CH4,,,,,,,,,,,,,
No,Pelaksana Kalibrasi,,,,,,,,,,,,,,,4,O2,,,,,,,,,,,,,
1,NR,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,
2,DT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,JO,,,,,,,,,,,,,,,,,,,,0.05,Now Date :,2026-02-16T14:31:03.680000,,,,,,,
4,CA,,,,,,,,,,,,,,,No,Standart Meter/Indikator,Merk/Type,S/N,Traceability,U95%,Calibration Date,Interval (tahun),Due Date,Status,,,,,
5,DR,,,,,,,,,,,,,,,1,Standar Gas Mixture (CO),Carbon Monoxide (CO) 101 Ppm,WO0125576,Rigas,5.050000000000001,2023-03-16T00:00:00,5,2028-10-16T00:00:00,972.395096296299,,,,,
6,NS,,,,,,,,,,,,,,,2,Standar Gas Mixture (H₂S),Hydrogen Sulfide (H₂S) 25 Ppm,WO0125576,Rigas,1.25,2023-03-16T00:00:00,5,2028-10-16T00:00:00,972.395096296299,,,,,
7,AJ,,,,,,,,,,,,,,,3,Standar Gas Mixture (CH4),Methane (CH4) 2.5%(50%LEL),WO0125576,Rigas,2.5,2023-03-16T00:00:00,5,2028-10-16T00:00:00,972.395096296299,,,,,
,,,,,,,,,,,,,,,,4,Standar Gas Mixture (O2),Oxygen (O2) 17.9%,WO0125576,Rigas,0.895,2023-03-16T00:00:00,5,2028-10-16T00:00:00,972.395096296299,Yokogawa,,,,
No,Dihitung Oleh,,,,,,,,,,,,,,,,,,,,,,,,-46069.6049037037,pt100,,,,
1,AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,NR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,DR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Penandatangan Sertifikat,Jabatan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,IPD Wiska Susetio,Laboratory Director,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Alex Misramto,Technical Manager,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Environmental Meter,Temperature,,,,Kelembaban,,,,Tekanan Udara,,,,Lokasi,Tanggal Kalibrasi,Due Date Kalibrasi,,,,,,,,,,,,,,
,,Standart Indication,Instrument Indication,Correction,Uncertainty ±,Standart Indication,Instrument Indication,Correction,"Uncertainty
±",Standart Indication,Instrument Indication,Correction,"Uncertainty
±",,,,Tertelusur,,,,,,,,,,,,,
,,oC,oC,oC,oC,%RH,%RH,%RH,%RH,hPa,hPa,hPa,hPa,,,,,,,,,,,,,,,,,
1,"Thermobarometer Lutron
(MHB372, SN: AM02225)",20.1,20,0.1,1.2,38,40,-2,3,931,930,1,2,Inlab (Lab. Volumetrik),2024-06-26T00:00:00,2024-06-27T00:00:00,LK-172-IDN,,,,,,,,,,,,,
,,26,25,1,1.2,48.5,50,-1.5,3,941.1,940,1.1,2,,,,,,,,,,,,,,,,,
,,29.7,30,-0.3,1.2,59.2,60,-0.8,3,950.9,950,0.9,2,,,,,,,,,,,,,,,,,
,,34.7,35,-0.3,1.2,70,70,0,3,961.2,960,1.2,2,,,,,,,,,,,,,,,,,
,,39.8,40,-0.2,1.2,81.1,80,1.1,3,971,970,1,2,,,,,,,,,,,,,,,,,
,,,,,,,,,,981.1,980,1.1,2,,,,,,,,,,,,,,,,,
,,,,,,,,,,990.6,990,0.6,2,,,,,,,,,,,,,,,,,
,,,,,,,,,,1001,1000,1,2,,,,,,,,,,,,,,,,,
,,,,,,,,,,1006,1005,1,2,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Jenis Pengukuran,"Metode Kalibrasi
(Latest IK)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Enclosure,SIDIK-IK-CAL-0501_Rev.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,TITS,SIDIK-IK-CAL-0502_Rev.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,TIDS,SIDIK-IK-CAL-0503_Rev.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Pressure Gauge,SIDIK-IK-CAL-0504_Rev.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Timbangan,SIDIK-IK-CAL-0505-Rev.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,pH Meter,SIDIK-IK-CAL-0506_Rev.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Conductivity Meter,SIDIK-IK-CAL-0507_Rev.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Spectrophotometer,SIDIK-IK-CAL-0508_Rev.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Timer & Stopwatch,SIDIK-IK-CAL-0509_Rev.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Volumetrik,SIDIK-IK-CAL-0510_Rev.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Centrifuge & Tachometer,SIDIK-IK-CAL-0511_Rev.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Kelistrikan,SIDIK-IK-CAL-0512_Rev.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Gaya (UTM),SIDIK-IK-CAL-0513_Rev.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Load Cell & Proving Ring,SIDIK-IK-CAL-0514_Rev.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Mikrometer,SIDIK-IK-CAL-0515_Rev.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Refractometer,SIDIK-IK-CAL-0516_Rev.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Viscometer,SIDIK-IK-CAL-0517_Rev.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Thermohygro,SIDIK-IK-CAL-0518_Rev.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Dial Indicator,SIDIK-IK-CAL-0519_Rev.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Jangka Sorong (Caliper),SIDIK-IK-CAL-0520_Rev.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Verifikasi Metode Kerja Kalibrasi,SIDIK-IK-CAL-0521_Rev.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,"Micropipette,Dispenser, & Piston Buret",SIDIK-IK-CAL-0522_Rev.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Turbidy Meter,SIDIK-IK-CAL-0523_Rev.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Chlorine Meter,SIDIK-IK-CAL-0524_Rev.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Hydrometer,SIDIK-IK-CAL-0525_Rev.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Sieve Mesh,SIDIK-IK-CAL-0526_Rev.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Thermometer Glass,SIDIK-IK-CAL-0527_Rev.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Flowmeter,SIDIK-IK-CAL-0528_Rev.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Thermocouple,SIDIK-IK-CAL-0529_Rev.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,DO Meter,SIDIK-IK-CAL-0530_Rev.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Autoclave,SIDIK-IK-CAL-0531_Rev.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
