PT. SIDIK,,,"KALIBRASI
CHLORINE METER",,,,,,,,,,,,LK-285-IDN,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Calibrator Standard Status Monitoring :,,,,,,,,,,ALL STANDARDS ARE VALID,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Certificate Number,,,:,0189-CAL-624,,,,,,,
,,,,,,,,,,,,Order Number,,,:,2406.32.C.NK,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,IDENTITAS ALAT,,,,,,,,,,IDENTITAS CUSTOMER,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Nama Alat,,:,Chlorine Meter,,,,,,,Nama Custromer,,:,[NAMA PELANGGAN DIREDAKSI],,,,,,,,,
,Merk,,:,Hanna Instrument,,,,,,,,,,,,,,,,,,,
,Type,,:,HI97711,,,,,,,Alamat Customer,,:,[ALAMAT PELANGGAN DIREDAKSI],,,,,,,,,
,No. Seri,,:,905320134111,,,,,,,,,,,,,,,,,,,
,Rentang Ukur,,:,0-4,,,,mg/L,,,,,,,,,,,DON'T ERASE ! THIS DATA ARE FOR CALCULATION ,,,,
,Kapasitas Max.,,:,4,,,,mg/L,,,Tanggal Terima ,,:,2024-06-10T00:00:00,,,,,Thermohygro used,,:,TH-4,
,Resolusi Alat,,:,0.01,,,,mg/L,,,Tanggal Kalibrasi,,:,2024-06-11T00:00:00,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Teknisi,,:,JO,
,KONDISI LINGKUNGAN,,,,,,,,,PENGERJAAN,,,,,,,,,Metode Kalibrasi,,:,Chlorine Meter,
,,,,,,,,,,,,,,,,,,,Chlorine std 1.74 mg/L,,:,True,Chlorine Standard Solution 1.74 mg/L
,,,,Awal,Akhir,,Average,,,,Lokasi Kalibrasi,,:,Inlab (Lab. General PT SIDIK),,,,,Chlorine std 41.83 mg/L,,:,True,Chlorine Standar Cuvettes 1.83 mg/L
,Suhu Ruangan,,:,24.1,23.5,,23.8,oC,,,Technician ID,,:,4,3,,,,,,,,
,Kelembaban,,:,56,55,,55.5,%RH,,,Calibration Method,,:,24,,,,,thermo&sensor,,:,True,Termometer & Sensor Std.
,Thermohygro Used,,:,4,,,,,,,Standar Used,,:,,,,VALID,,Penandatangan,,:,Alex Misramto,
,,,,,,,,,,,,,,,,,VALID,,Posisi,,:,Technical Manager,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,VALID,,,,,,
,,,,,,,,,,,,,,,,,,,Dihitung oleh,,:,DR,
DATA HASIL KALIBRASI,,,,,,,,,,,,,,,,,,,Chlorine std 1.74 mg/L,,:,496.586048726851,
,,,,,,,,,,,,,,,,,,,Chlorine std 41.83 mg/L,,:,496.586048726851,
,,,,,,,,,,,,,,,,,,,,,,,
,,,Standard,,,Before Adjustment Reading,,,,,,,,,,,,,Thermometer,,:,235.586048726851,
,,,,,,1.74,mg/L,1.83,mg/L,,mg/L,,,,,,,,Sensor,,:,421.586048726851,
,,,Repeat,,,mg/L,oC,mg/L,oC,mg/L,oC,,,,,,,,,,,,
,,,1,,,1.76,25.7,1.86,25.7,,,,,,,,,,,,,,
,,,2,,,1.76,25.8,1.86,25.8,,,,,,,,,,,,,,
,,,3,,,1.76,25.8,1.86,25.8,,,,,,,,,,,,,,
,,,4,,,1.76,25.8,1.86,25.8,,,,,,,,,,,,,,
,,,5,,,1.75,25.8,1.86,25.8,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,Standard,,,After Adjustment Reading,,,,,,,,,,,,,,,,,
,,,,,,1.74,mg/L,1.83,mg/L,0,mg/L,,,,,,,,,,,,
,,,Repeat,,,mg/L,oC,mg/L,oC,mg/L,oC,,,,,,,,,,,,
,,,1,,,1.76,25.7,1.86,25.7,,,,,,,,,,,,,,
,,,2,,,1.76,25.8,1.86,25.8,,,,,,,,,,,,,,
,,,3,,,1.76,25.8,1.86,25.8,,,,,,,,,,,,,,
,,,4,,,1.76,25.8,1.86,25.8,,,,,,,,,,,,,,
,,,5,,,1.75,25.8,1.86,25.8,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Issuance Date  :,,2024-06-15T00:00:00,,,,,,,,,,,,,,,,,,,,
,Calculated by,,,Signed by,,,,,,,,,,,,,,,,,,,
,Name:,3,,Name:,2,2,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
