,FORM VALIDASI MASTER OLAH DATA KALIBRASI,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Lingkup Kalibrasi                   :,,Instrumen Analisa,,,,,,,,,,,,,,,,,,,,
,Jenis/Type Pengukuran       :,,Spectrofotometer,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,No.,Master Name,Last Modified Date,Detail Modified,PIC,,CHECK,,VALIDATION,,Notes/Revision,,,,,,,,,,,,
,1,Master Olah Data_Spectrofotometer,2022-06-28T00:00:00,"- Creating All Sheets
",HN,,NR,,,,"Update IK order number based on DID on database, adding TH-3 s/d 7,
update PT100",,,,,,,,,,,,
,,,,,Position :,,Position :,Supervisor,Position :,,,,,,,,,,,,,,
,,,,,Date:,2022-06-28T00:00:00,Date:,2022-06-28T00:00:00,Date:,,,,,,,,,,,,,,
,2,Master Olah Data_Spectrofotometer,2022-10-24T00:00:00,"-Updating ""Database"" sheet: IK order number based on DID, adding TH-3 s/d 7
-Updating TH calculation on ""Perhitungan FC"" sheet.",HN,,NR,,,,Update latest survaylen 2022 revision result and filter std. recalibration 2023,,,,,,,,,,,,
,,,,,Position :,,Position :,Supervisor,Position :,,,,,,,,,,,,,,
,,,,,Date:,2022-10-24T00:00:00,Date:,2022-10-25T00:00:00,Date:,,,,,,,,,,,,,,
,3,Master Olah Data_Spectrofotometer,2023-05-05T00:00:00,"-Remove lokasi kalibrasi table on ""Database"" sheet
-Adding DR on pelaksana kalibrasi on ""Database"" sheet
-Changing jabatan according to latest SO on ""Database"" sheet
-Updating IK on ""Database"" sheet
-Adding ""- Calibration results are not to be announced and only apply to related tools -"" statement on ""Sertifikat"" sheet
-Adding calibrator status monitoring on ""Input Data"" sheets
-Updating standar filter reacalibration 2023 on ""STANDAR_KALIBRATOR"" and ""INPUT DATA"" value sheets.",HN,,,,,,,,,,,,,,,,,,
,,,,,Position :,,Position :,,Position :,,,,,,,,,,,,,,
,,,,,Date:,2023-05-05T00:00:00,Date:,,Date:,,,,,,,,,,,,,,
,4,Master Olah Data_Spectrofotometer,2023-07-05T00:00:00,"-Updating NEW CMC based on New RLK 2023
-Updating interval kalibrasi std. kalibrator based on schedule program kalibrasi berkala & uji antara",HN,,,,,,,,,,,,,,,,,,
,,,,,Position :,,Position :,,Position :,,,,,,,,,,,,,,
,,,,,Date:,2023-07-05T00:00:00,Date:,,Date:,,,,,,,,,,,,,,
,5,Master Olah Data_Spectrofotometer,2023-09-27T00:00:00,"-Pemecahan standar holmium dan didynium di input data, perhitungan fc, perhitungan u95%, dan sertifikat sheet",HN,,,,,,,,,,,,,,,,,,
,,,,,Position :,,Position :,,Position :,,,,,,,,,,,,,,
,,,,,Date:,2023-09-27T00:00:00,Date:,,Date:,,,,,,,,,,,,,,
