STANDAR FILTER,,,,,,,STANDAR FILTER RECALIBRATION,,,,,,
Calibration date :,,2020-10-02T00:00:00,(EXPIRED),,,,Calibration date :,,2025-04-15T00:00:00,(VALID-USED),,,
,Panjang Gelombang (Holmium Oxide),,,,,,,Panjang Gelombang (Holmium Oxide),,,,,
,No.,Nilai Standard,Nilai Aktual,Koreksi,U95%,,,No.,Nilai Standard,Nilai Aktual,Koreksi,U95%,
,1,334.1,-,,,,,1,279.6,-,,0.1,
,1,334.1,-,,0.2,,,2,287.7,-,,,
,2,361,-,,,,,3,334,-,,,
,3,418.7,-,,,,,4,360.9,-,,,
,4,445.9,-,,,,,5,418.6,-,,,
,5,453.8,-,,,,,6,445.8,-,,,
,6,460.1,-,,,,,7,453.6,-,,,
,7,536.5,-,,,,,8,460,-,,,
,8,637.9,-,,,,,9,536.3,-,,,
,,,,,,,,10,637.9,,,,
,,,,,,,,,,,,,
,Panjang Gelombang (Filter Didynium),,,,,,,Panjang Gelombang (Filter Didynium),,,,,
,No.,Nilai Standard,,,U95%,,,No.,Nilai Standard,,,U95%,
,1,478.3,,,0.2,,,1,475.2,,,0.2,
,2,513.8,,,,,,2,513.7,,,,
,3,529.7,,,,,,3,529.7,,,,
,4,572.9,,,,,,4,572.7,,,,
,5,585.7,,,,,,5,585.7,,,,
,6,685.1,,,,,,6,684.9,,,,
,7,738.7,,,,,,7,738.5,,,,
,8,748.1,,,,,,8,748,,,,
,9,806.5,,,,,,9,806.1,,,,
,%Transmitan (panjang gel. 546nm),,,,,,,%Transmitan (panjang gel. 560nm),,,,,
,No.,Kode Filter,Nilai Aktual,Koreksi,U95%,,,No.,Kode Filter,Nilai Aktual,Koreksi,U95%,
,1,Filter 1,10,,0.5,,,1,Filter 1,9.9,,0.5,
,2,Filter 2,20.3,,,,,2,Filter 2,20,,,
,3,Filter 3,30.4,,,,,3,Filter 3,30.1,,,
,,,,,,,,,,,,,
,SRE,,,,,,,SRE,,,,,
,No.,Nilai Standard,Nilai Aktual,Koreksi,U95%,,,No.,Nilai Standard,Nilai Aktual,Koreksi,U95%,
,1,0,0,0,0.5,,,1,0,0,0,0.5,
,,,,,,,,,,,,,
