TABEL BUDGET KETIDAKPASTIAN INSTRUMEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nama Alat,,,,:,TURBIDIMETER,,,,,Temperature (UTemperature),,,,,,,,,,,,,,,,,,,,,,,
,Rentang Ukur,,,,:,0-1000,,NTU,,a.,U95% Thermometer Certificate (oC),,,,,,,b.,U95% Sensor Certificate (oC),,,,,,c.,UTemperature (oC),,,:,0.36124783736376886,,,,
,,,,,,,,,,,U95% Thermometer,,,,:,0.72,,,U95% Sensor,,,:,0.06,,,,,,,,,,,
,,,,,,,,,,,k,,,,:,2,,,k,,,:,2,,,,,,,,,,,
,,,,,,,,,,,Utemp. (oC),,,,:,0.36,,,Utemp. (oC),,,:,0.03,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point Ukur,:,1,NTU,U95% Std,,:,0.04,NTU,,Res :,0.01,NTU,,,,,,,,,,4.005269999999999,,,,,,,,,,,,
Component,,,,,,,Unit,,Distribution,,,U,,,Divisor,,vi,,ui,,,ci,,uici,,,( uici )2,,,,( uici )4/ vi,,,
Ketidakpastian Baku Sertifikat Kalibrasi Calibrator,,,,,,,NTU,,normal,,,0.04,,,2,,200,,0.02,,,1,,0.02,,,0.0004,,,,8e-10,,,
Ketidakpastian Baku Daya Baca Alat yang dikalibrasi,,,,,,,NTU,,rect.,,,0.005,,,1.7320508075688772,,1000000,,0.002886751345948129,,,1,,0.002886751345948129,,,8.333333333333334e-06,,,,6.944444444444445e-17,,,
Ketidakpastian Temperature,,,,,,,oC,,rect.,,,0.36124783736376886,,,1.7320508075688772,,200,,0.20856653614614212,,,0.0009031195934094222,,0.00018836052532311543,,,3.547968750000001e-08,,,,6.294041125488284e-18,,,
Ketidakpastian Baku Pengulangan Pembacaan,,,,,,,NTU,,t-student,,,0.008944271909999168,,,5,,4,,0.004000000000000004,,,1,,0.004000000000000004,,,1.6000000000000037e-05,,,,6.40000000000003e-11,,,
Jumlah,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00042436881302083344,,,,8.640000757384859e-10,,,
"Ketidakpastian Baku Gabungan , Uc",,,,,,,,,,,,,,,,,,,,,,,,,,,0.020600213907162067,,,,,,,
"Derajat Kebebasan , v eff",,,,,,,,,,,,,,,,,,,,,,,,,,,208.43619638665413,,,,,,,
"Factor Cakupan , k=student's for v eff and CL 95 %",,,,,,,,,,,,,,,,,,,,,,,,,,,1.9714346585202402,,,,,,,
"Ketidakpastian Bentangan  , U = k Uc",,,,,,,,,,,,,,,,,,,,,,,,,,,0.040611975669509956,,,,NTU,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,CMC Laboratory,0.041,,,,NTU,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Uncertainty sertifikat,0.041,,,,NTU,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point Ukur,:,100,NTU,U95% Std,,:,3,NTU,,Res :,0.1,NTU,,,,,,,,,,,,,,,,,,,,,,
