PT. SIDIK,,,"KALIBRASI
VISCOMETER",,,,,,,,,,,,,,LK-285-IDN,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibrator Standard Status Monitoring :,,,,,,,,,,ONE OR MORE STANDARD EXPIRED,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Certificate Number,,,:,,,,,,,,,,,
,,,,,,,,,,,,,,Order Number,,,:,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IDENTITAS ALAT,,,,,,,,,,,,IDENTITAS CUSTOMER,,,,,,,,,DON'T ERASE ! THIS DATA ARE FOR CALCULATION ,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Satuan refracto,,:,cP,,,
,Nama Alat,,:,Viscometer,,,,,,,,,Nama Custromer,,:,,,,,,,[NAMA PELANGGAN DIREDAKSI],,:,TH-2,,,
,Merk,,:,Brookfield,,,,Pilih model sesuai spek. visco:,,,,,,,,,,,,,,Teknisi,,:,JO,,,
,Type,,:,DV-11,,,,Model:,7,,,,Alamat Customer,,:,,,,,,,[ALAMAT PELANGGAN DIREDAKSI],,:,Viscometer,,,
,No. Seri,,:,8535682,,,,,,,,,,,,,,,,,,,,,,,,
,Rentang Ukur,,:,100-65000,,,,2,,,,,,,,,,,,,,Standar Used,,:,,,,
,Kapasitas Max.,,:,-,,,,cP,,,,,Tanggal Terima ,,:,2026-07-31T00:00:00,,,,,,,,,,,,
,Resolusi Alat,,:,0.1,,,,cP,,,,,Tanggal Kalibrasi,,:,2026-07-31T00:00:00,,,,,,Visco 100 cP,,:,True,Viscosity Standard Solution 100 cP,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Visco 30000 cP,,:,True,Viscosity Standard Solution 1000 cP,,
,KONDISI LINGKUNGAN,,,,,,,,,,,PENGERJAAN,,,,,,,,,,Visco 60000 cP,,:,True,Viscosity Standard Solution 60000 cP,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Awal,Akhir,,Average,,,,,,Lokasi Kalibrasi,,:,Insitu,,,,,,Termometer & Sensor,,:,True,Termometer & Sensor Std.,,
,Suhu Ruangan,,:,25.2,25.3,,25.25,oC,,,,,Technician ID,,:,3,,,,,,,,,,,,
,Kelembaban,,:,57,58,,57.5,%RH,,,,,Calibration Method,,:,17,,,,,,Dihitung oleh,,:,DR,,,
,Thermohygro Used,,:,2,,,,,,,,,Standar Used,,:,,,,VALID,,,Penandatangan,,:,Alex Misramto,,,
,,,,,,,,,,,,,,,,,,,VALID,,,Posisi,,:,Technical Manager,,,
,,,,,,,,,,,,,,,,,,,VALID,,,,,,,,,
