Based on Viscometer Operating Instruction No. M13-167-B0614,,,,
,,,,
Table D-2 for finding the TK (Torque Constant) value,,,,
,,,,
No.,MODEL (on body),MODEL (on screen display),TK,
1,DV2TLV,LV,0.09373,
2,2.5DV2TLV,L3,0.2343,
3,5DV2TLV,L5,0.4686,
4,1/4DV2TRV,RQ,0.25,
5,1/2DV2TRV,RH,0.5,
6,DV2TRV,RV,1,
7,DV2THA,HA,2,
8,2DV2THA,A2,4,
9,2.5DV2THA,A3,5,
10,DV2THB,HB,8,
11,2DV2THB,B3,16,
12,2.5DV2THB,B5,20,
,,,,
Table D-1 for finding the SMC (Spindle Multiplier Constant) value,,,,
,,,,
No.,ENTRY CODE,SPINDLE,SMC,
1,1,RV1,1,RV
2,2,RV2,4,
3,3,RV3,10,
4,4,RV4,20,
5,5,RV5,40,
6,6,RV6,100,
7,7,RV7,400,
8,1,HA1,1,HA
9,2,HA2,4,
10,3,HA3,10,
11,4,HA4,20,
12,5,HA5,40,
13,6,HA6,100,
14,7,HA7,400,
15,1,HB1,1,HB
16,2,HB2,4,
17,3,HB3,10,
18,4,HB4,20,
19,5,HB5,40,
20,6,HB6,100,
21,7,HB7,400,
22,61,LV1,6.4,LV
23,62,LV2,32,
24,63,LV3,128,
25,64,LV4 or 4B2,640,
26,65,LV5,1280,
27,66,LV-2C,32,
28,67,LV-3C,128,
29,70,SPIRAL,105,SPIRAL
30,91,T-A,20,T
31,92,T-B,40,
32,93,T-C,100,
33,94,T-D,200,
34,95,T-E,500,
35,96,T-F,1000,
36,0,ULA,0.64,ULA
37,81,DIN-81,3.7,DIN
38,82,DIN-82,3.75,
39,83,DIN-83,12.09,
40,85,DIN-85,1.22,
41,86,DIN-86,3.65,
42,87,DIN-87,12.13,
43,14,SC4-14,125,SC4
44,15,SC4-15,50,
45,16,SC4-16,128,
46,18,sc4-18,3.2,
47,21,SC4-21,5,
48,25,SC4-25,512,
49,27,SC4-27,25,
50,28,SC4-28,50,
51,29,SC4-29,100,
52,31,SC4-31,32,
53,34,SC4-34,64,
54,40,CPE-40 or CPA-40Z,0.327,CPE or CPA
55,41,CPE-41 or CPA-41Z,1.228,
56,42,CPE-42 or CPA-42Z,0.64,
57,51,CPE-51 or CPA-51Z,5.178,
58,52,CPE-52 or CPA-52Z,9.922,
59,71,V-71,2.62,V
60,72,V-72,11.1,
61,73,V-73,53.5,
62,74,V-74,543,
63,75,V-75,213,
