,,,,,,,,,,,,,,,,,
Temperature,cP,,Temperature,cP,Selisih,,,,,,,,,,,,
0,1.7915,,21,0.961512,-0.02479599999999993,,,,,,,,,,,,
5,1.5193,,22,0.9367160000000001,-0.023851999999999984,,,,,,,,,,,,
10,1.307,,23,0.9128640000000001,-0.022955999999999976,,,,,,,,,,,,
15,1.1383,,24,0.8899080000000001,-0.022108000000000017,,,,,,,,,,25,0.8678000000000001,-0.0809120000000001
20,1.002,,25,0.8678000000000001,-0.021307999999999883,,,,,,,,,,29,0.786888,
25,0.8902,,26,0.8464920000000002,-0.02055600000000002,,,,,,,,,,,,
30,0.7973,,27,0.8259360000000002,-0.019852000000000203,,,,,,,,,,,,
35,0.7191,,28,0.806084,-0.01919599999999999,,,,,,,,,,,,
40,0.6527,,29,0.786888,-0.018587999999999827,,,,,,,,,,,,
45,0.5961,,30,0.7683000000000002,-0.018028000000000155,,,,,,,,,,,,
50,0.5471,,31,0.750272,-0.017515999999999865,,,,,,,,,,,,
,,,32,0.7327560000000002,-0.017052000000000067,,,,,,,,,,,,
,,,33,0.7157040000000001,-0.016636000000000095,,,,,,,,,,,,
,,,34,0.699068,-0.016267999999999727,,,,,,,,,,,,
,,,35,0.6828000000000003,-0.015948000000000073,,,,,,,,,,,,
,,,36,0.6668520000000002,-0.015676000000000245,,,,,,,,,,,,
,,,37,0.651176,-0.0154519999999998,,,,,,,,,,,,
,,,38,0.6357240000000002,-0.015275999999999845,,,,,,,,,,,,
,,,39,0.6204480000000003,-0.01514799999999994,,,,,,,,,,,,
,,,40,0.6053000000000004,-0.015068000000000303,,,,,,,,,,,,
,,,41,0.5902320000000001,-0.015036000000000271,,,,,,,,,,,,
,,,42,0.5751959999999998,-0.015051999999999621,,,,,,,,,,,,
,,,43,0.5601440000000002,-0.01511600000000013,,,,,,,,,,,,
,,,44,0.5450280000000001,-0.01522800000000002,,,,,,,,,,,,
,,,45,0.5298,-0.015387999999999735,,,,,,,,,,,,
,,,46,0.5144120000000003,-0.015595999999999943,,,,,,,,,,,,
,,,47,0.49881600000000037,-0.015851999999999977,,,,,,,,,,,,
,,,48,0.4829640000000004,-0.01615600000000028,,,,,,,,,,,,
,,,49,0.4668080000000001,-0.016507999999999967,,,,,,,,,,,,
,,,50,0.45030000000000014,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,Average,-0.017627999999999998,ALL,,,,,,,,,,,
,,,,,-0.019643999999999988,21-35,,,,,,,,,,,
,,,,,-0.021123999999999997,21-30,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
1. Standard 100cP,,Paragon Scientific/S60/1241202088   ,,,,,,,,,,,,,,,
Temp (oC),Visco (cP),Density (g/ml),Uncertainty % (cP),,,,,,,,,,,,,,
20,134,0.8585,0.17,,,,,,,,,,,,,,
25,99.65,0.8554,0.17,,,,,,,,,,,,,,
37.78,51.1,0.8475,0.15,,,,,,,,,,,,,,
40,45.97,0.8459,0.15,,,,,,,,,,,,,,
50,29.75,0.8398,0.13,,,,,,,,,,,,,,
60,20.32,0.8337,0.13,,,,,,,,,,,,,,
80,10.75,0.8214,0.13,,,,,,,,,,,,,,
98.89,6.638,0.8097,0.08,,,,,,,,,,,,,,
100,6.47,0.809,0.08,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
y=-0.0007x3 + 0.1522x2 - 11.693x + 313.28,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
2. Standard 1000cP,,Paragon Scientific/D1000/1252905118,,,,,,,,,,,,,,,
Temp (oC),Visco (cP),Density (g/ml),Uncertainty % (cP),,,,,,,,,,,,,,
20,1504,0.8741,0.23,,,,,,,,,,,,,,
25,1018,0.8712,0.23,,,,,,,,,,,,,,
37.78,419.5,0.8636,0.19,,,,,,,,,,,,,,
40,364.6,0.8623,0.19,,,,,,,,,,,,,,
50,203.2,0.8564,0.19,,,,,,,,,,,,,,
60,121.3,0.8506,0.17,,,,,,,,,,,,,,
80,51.27,0.8389,0.15,,,,,,,,,,,,,,
98.89,26.8,0.8279,0.13,,,,,,,,,,,,,,
100,25.9,0.8272,0.13,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
y= -0.0095x3 + 2.091x2 - 153.08x + 3749.9,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
3. Standard 60000cP,,Paragon Scientific/N18000/4230901097,,,,,,,,,,,,,,,
Temp (oC),Visco (cP),Density (g/ml),Uncertainty % (cP),,,,,,,,,,,,,,
20,95192,0.8948,0.23,,,,,,,,,,,,,,
25,59003,"0,8921",0.23,,,,,,,,,,,,,,
37.78,19259,0.8853,0.23,,,,,,,,,,,,,,
40,16096,0.884,0.23,,,,,,,,,,,,,,
50,7489,0.8787,0.22,,,,,,,,,,,,,,
60,3732,0.8733,0.22,,,,,,,,,,,,,,
80,1117,0.8626,0.2,,,,,,,,,,,,,,
98.89,432.7,0.8524,0.17,,,,,,,,,,,,,,
100,411.3,0.8517,0.17,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
y= -0.6804x3+149.52x2-10617x+246095,,,,,,,,,,,,,,,,,
