STANDAR GAUGE BLOCK,,,,,,,,,,,,,,,,,,,,,,,,,
Nama Alat,:,Caliper Checker,,,,,,,,,,,Tanggal Kalibrasi,2026-01-09T00:00:00,,,,,,,,,,,
No Seri,:,800035,,,,,,,,,,,Tertelusur,LK-404-IDN,,,,,,,,,,,
Merk,:,Metrology,,,,,,,,,,,,,,,,,,,,,,,
Tipe,:,CMG-9060C,,,,,,,,,,,,,,,,,,,,,,,
Rentang Ukur,:,0-600 mm,,,,,,,,,,,,,,,,,,,,,,,
Measuring of Step Block,,,,,,,,,,,,,,,,,,,,,,,,,
,No.,Nominal Caliper Checker,,,UUT Reading,,Correction,,U95,,,,,,,,,,,,,,,,
,,Outside  (mm),,,,,(mm),(um),(um),,,,,,,,,,,,,,,,
,1,25,,,25.0008,,0.0008,0.8,4.1,,,,,,,,,,,,,,,,
,2,50,,,50.0004,,0.0004,0.4,4.1,,,,,,,,,,,,,,,,
,3,100,,,100.0005,,0.0005,0.5,4.1,,,,,,,,,,,,,,,,
,4,150,,,150.0003,,0.0003,0.3,4.1,,,,,,,,,,,,,,,,
,5,200,,,199.9993,,-0.0007,-0.7,4.1,,,,,,,,,,,,,,,,
,6,300,,,299.99955,,-0.00045,-0.45,4.1,,,,,,,,,,,,,,,,
,7,400,,,399.9982,,-0.0018,-1.8,4.1,,,,,,,,,,,,,,,,
,8,500,,,499.99865,,-0.00135,-1.35,4.1,,,,,,,,,,,,,,,,
,9,550,,,549.9978,,-0.0022,-2.2,4.1,,,,,,,,,,,,,,,,
,10,600,,,599.9973,,-0.0027,-2.7,4.1,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,No.,Nominal Caliper Checker,,,UUT Reading,,Correction,,U95,,,,,,,,,,,,,,,,
,,Inside  (mm),,,,,(mm),(um),(um),,,,,,,,,,,,,,,,
,1,25,,,25.0003,,0.0003,0.3,4.1,,,,,,,,,,,,,,,,
,2,50,,,50.0006,,0.0006,0.6,4.1,,,,,,,,,,,,,,,,
,3,100,,,100.0011,,0.0011,1.1,4.1,,,,,,,,,,,,,,,,
,4,150,,,150.0006,,0.0006,0.6,4.1,,,,,,,,,,,,,,,,
,5,200,,,199.99975,,-0.00025,-0.25,4.1,,,,,,,,,,,,,,,,
,6,300,,,300.002,,0.002,2,4.1,,,,,,,,,,,,,,,,
,7,400,,,399.99885,,-0.00115,-1.15,4.1,,,,,,,,,,,,,,,,
,8,500,,,499.9991,,-0.0009,-0.9,4.1,,,,,,,,,,,,,,,,
,9,550,,,549.9987,,-0.0013,-1.3,4.1,,,,,,,,,,,,,,,,
,10,600,,,599.9989,,-0.0011,-1.1,4.1,,,,,,,,,,,,,,,,
