PT. SIDIK,,,"KALIBRASI TEMPERATURE ENCLOSURE
(6 SET POINT)",,,,,,,,,,,,,LK-285-IDN,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Calibrator Standard Status Monitoring :,,,,,,,,,,ALL STANDARDS ARE VALID,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Enclosure Type,,:,4,,,,,,,,,,Certificate Number,,:,0123-CAL-524,,,Data Choosen From Combobox,,,,,
,,,,,,,,,,,,,,Order Number,,:,2405.03.AV,,,(DON'T ERASE),,,,,
,,,,,,,,,,,,,,,,,,,,Enclosure Type,,:,Inkubator,,
,IDENTITAS ALAT,,,,,,,,,,IDENTITAS CUSTOMER,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Nama Alat,,:,Incubator-02,,,,,,,Nama Custromer,,,:,[NAMA PELANGGAN DIREDAKSI],,,,,Technician ID,,:,JO,,
,Merk,,:,INCUCELL,,,,,,,,,,,,,,,,Calibration Method,,:,SIDIK-IK-CAL-0501_Rev.6,,
,Type,,:,LSIS-B2Y/IC 55,,,,,,,Alamat Customer,,,:,[ALAMAT PELANGGAN DIREDAKSI],,,,,Standar Meter/Indikator,,:,Yokogawa,,
,No. Seri,,:,D132469,,,,,,,,,,,,,,,,Standar Sensor,,:,Thermocouple Type N,,
,Rentang Ukur,,:,15-100,,oC,,,,,,,,,,,,,,Calculated by,,:,NR,,
,Kapasitas Alat,,:,100,,oC,,,,,Tanggal Terima ,,,:,2024-05-02T00:00:00,,,,,Signed by,,:,Alex Misramto,,
,Resolusi Alat,,:,0.1,,oC,,,,,Tanggal Kalibrasi,,,:,2024-05-02T00:00:00,,,,,Position,,:,Technical Manager,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,KONDISI LINGKUNGAN,,,,,,,,,,PENGERJAAN,,,,,,,,,Thermohygro,,:,TH-2,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Awal,Akhir,,Average,,,,Lokasi Kalibrasi,,,:,Insitu (Laboratorium Freshland),,,,,Lookup status meter,,:,116.41569305555458,,
,Suhu Ruangan,,:,23.7,23.7,,23.7,oC,,,Technician ID,,,:,3,,,,,Lookup status sensor,,:,141.41569305555458,,
,Kelembaban,,:,47,46,,46.5,%RH,,,Calibration Method,,,:,1,,,,,,,,,,
,Thermohygro Used,,:,2,,,,,,,Standar Meter/Indikator,,,:,2,,,VALID,,,,,,,
,Requirement Kondisi (IK),,:,Suhu 23 ± 5 oC/RH unspecified,,,,,,,Standar Sensor,,,:,1,,,VALID,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,DATA HASIL KALIBRASI,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,DIMENSI ALAT,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Enclosure Rectangular,,,,,,Enclosure Silindris,,,,,,Enclosure Volume,,,,,,,,,,,,
,Panjang (P),,:,0.5,m,,Jari-Jari (r),,:,,m,,Rectangular,:,,,,,,,,,,,
,Lebar (L),,:,0.5,m,,Tinggi (T),,:,,m,,Volume,,0.125,m3,,,,,,,,,
,Tinggi (T),,:,0.5,m,,π,,:,3.14,,,Silindris,:,,,,,,,,,,,
,,,,,,,,,,,,,Volume,,-,m3,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,CALIBRATION RESULT (SET POINT 1),,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,"Set Point
(oC)",15,Data Hasil Pengukuran/Pengulangan (oC),,,,,,,,,,,,,,,,,,,,,,
,No. Thermocouple,,1,,2,,3,4,,5,,,,,,,,,,,,,,,
,3,,15,,15.1,,15.1,15.1,,15.1,"*Sensor Acuan
selalu yg pertama",Note:,,,,,,,,,,,,,
,4,,15.2,,15.3,,15.2,15.3,,15.2,,"If using Thermocouple Type N,
No. Thermocouple START FROM 3",,,,,,,,,,,,,
,5,,15.1,,15.1,,15.1,15.2,,15.2,,,,,,,,,,,,,,,
,6,,15.1,,15.1,,15.2,15.2,,15.3,,,,,,,,,,,,,,,
,7,,15,,14.9,,14.9,14.9,,14.9,,,,,,,,,,,,,,,
,8,,15.2,,15.2,,15.3,15.3,,15.4,,,,,,,,,,,,,,,
,9,,15,,15.1,,15.1,15.2,,15.2,,,,,,,,,,,,,,,
,10,,15.1,,15.2,,15.2,15.2,,15.3,,,,,,,,,,,,,,,
,11,,14.9,,14.9,,14.9,15,,15,,,,,,,,,,,,,,,
,17,,,,,,,,,,,,,,,,,,,,,,,,
,17,,,,,,,,,,,,,,,,,,,,,,,,
,17,,,,,,,,,,,,,,,,,,,,,,,,
,17,,,,,,,,,,,,,,,,,,,,,,,,
,17,,,,,,,,,,,,,,,,,,,,,,,,
,Indikator (oC),,15,,15,,15,15,,15,,,,,,,,,,,,,,,
,Suhu Ruang (oC),,25.4,,25.4,,25.4,25.4,,25.4,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,CALIBRATION RESULT (SET POINT 2),,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,"Set Point
(oC)",35,Data Hasil Pengukuran/Pengulangan (oC),,,,,,,,,,,,,,,,,,,,,,
,No. Thermocouple,,1,,2,,3,4,,5,,,,,,,,,,,,,,,
,3,,34.9,,34.9,,34.9,34.9,,34.9,"*Sensor Acuan
selalu yg pertama",Note:,,,,,,,,,,,,,
,4,,34.9,,34.9,,34.9,34.9,,34.9,,"If using Thermocouple Type N,
No. Thermocouple START FROM 3",,,,,,,,,,,,,
,5,,35.1,,35,,35,35,,35,,,,,,,,,,,,,,,
,6,,34.8,,34.7,,34.8,34.7,,34.8,,,,,,,,,,,,,,,
,7,,34.5,,34.5,,34.6,34.6,,34.6,,,,,,,,,,,,,,,
,8,,34.9,,34.9,,35,35,,35.1,,,,,,,,,,,,,,,
,9,,34.7,,34.7,,34.8,34.8,,34.9,,,,,,,,,,,,,,,
,10,,35,,35,,35,34.9,,34.9,,,,,,,,,,,,,,,
,11,,35.1,,35.1,,35.2,35.2,,35.1,,,,,,,,,,,,,,,
,17,,,,,,,,,,,,,,,,,,,,,,,,
,17,,,,,,,,,,,,,,,,,,,,,,,,
,17,,,,,,,,,,,,,,,,,,,,,,,,
,17,,,,,,,,,,,,,,,,,,,,,,,,
,17,,,,,,,,,,,,,,,,,,,,,,,,
,Indikator (oC),,35,,35,,35,35,,35,,,,,,,,,,,,,,,
,Suhu Ruang (oC),,25.4,,25.4,,25.5,25.5,,25.5,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,CALIBRATION RESULT (SET POINT 3),,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,"Set Point
(oC)",75,Data Hasil Pengukuran/Pengulangan (oC),,,,,,,,,,,,,,,,,,,,,,
,No. Thermocouple,,1,,2,,3,4,,5,,,,,,,,,,,,,,,
,3,,74.6,,74.7,,74.8,74.8,,74.8,"*Sensor Acuan
selalu yg pertama",Note:,,,,,,,,,,,,,
,4,,74.5,,74.7,,74.9,74.9,,74.9,,"If using Thermocouple Type N,
No. Thermocouple START FROM 3",,,,,,,,,,,,,
,5,,75,,75,,75.1,75,,75.1,,,,,,,,,,,,,,,
,6,,74.8,,74.8,,74.9,74.9,,74.9,,,,,,,,,,,,,,,
,7,,74.7,,74.7,,74.8,74.8,,74.8,,,,,,,,,,,,,,,
,8,,75.1,,75.1,,75.1,75.1,,75.2,,,,,,,,,,,,,,,
,9,,74.6,,74.6,,74.6,74.7,,74.7,,,,,,,,,,,,,,,
,10,,75,,75,,75,75,,75,,,,,,,,,,,,,,,
,11,,74.9,,75,,75,75.1,,75.1,,,,,,,,,,,,,,,
,17,,,,,,,,,,,,,,,,,,,,,,,,
,17,,,,,,,,,,,,,,,,,,,,,,,,
,17,,,,,,,,,,,,,,,,,,,,,,,,
,17,,,,,,,,,,,,,,,,,,,,,,,,
,17,,,,,,,,,,,,,,,,,,,,,,,,
,Indikator (oC),,75,,75,,75,75,,75,,,,,,,,,,,,,,,
,Suhu Ruang (oC),,25.4,,25.4,,25.5,25.5,,25.5,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,CALIBRATION RESULT (SET POINT 4),,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,"Set Point
(oC)",100,Data Hasil Pengukuran/Pengulangan (oC),,,,,,,,,,,,,,,,,,,,,,
,No. Thermocouple,,1,,2,,3,4,,5,,,,,,,,,,,,,,,
,3,,99.7,,99.6,,99.8,99.8,,99.8,"*Sensor Acuan
selalu yg pertama",Note:,,,,,,,,,,,,,
,4,,99.8,,99.6,,99.7,99.7,,99.8,,"If using Thermocouple Type N,
No. Thermocouple START FROM 3",,,,,,,,,,,,,
,5,,100.24,,100.1,,100.1,100.24,,100.22,,,,,,,,,,,,,,,
,6,,100.05,,100.08,,100.11,100.12,,100.13,,,,,,,,,,,,,,,
,7,,99.8,,99.9,,99.8,99.9,,99.9,,,,,,,,,,,,,,,
