,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IDENTITAS ALAT,,,,,,,,IDENTITAS CUSTOMER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nama Alat,,:,Incubator-02,,,,,Nama Custromer,:,[NAMA PELANGGAN DIREDAKSI],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Merk,,:,INCUCELL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Type,,:,LSIS-B2Y/IC 55,,,,,Alamat Customer,:,[ALAMAT PELANGGAN DIREDAKSI],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,No. Seri,,:,D132469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rentang Ukur,,:,15-100,oC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kapasitas Alat,,:,100,oC,,,,Tanggal Terima ,:,2024-05-02T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Resolusi Alat,,:,0.1,oC,,,,Tanggal Kalibrasi,:,2024-05-02T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERHITUNGAN KONDISI LINGKUNGAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Awal,Akhir,Average,Indexed Value,Correction (C),,,Δ,C,U95% Std TH,U95% Sertifikat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Suhu Ruangan,,:,23.7,23.7,23.7,19.77,-0.39,oC,,0,-0.39,1.7,±,1.7,oC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kelembaban,,:,47,46,46.5,30.02,-0.38,%RH,,1,-0.38,4.9,±,5.000999900019996,%RH,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Thermohygro Used,,:,TH-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PERHITUNGAN FAKTOR KOREKSI (FC) SP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Sensor acuan,,,,,,,,,,,,,STD Meter :,Yokogawa,STD Sensor :,Thermocouple Type N,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Set Point
(oC)",15,Data Hasil Pengukuran/Pengulangan (oC),,,,,,AVERAGE,,U95% Sensor,Index,Faktor Koreksi (FC),,,No. Thermocouple,Standar Terkoreksi (oC),,,,,T Max,T Min,ΔT,"AVG
Terkoreksi",,No. Thermocouple,Deviasi Pengulangan Pengukuran (oC),,,,,,,,,,,,,,,,
,No. Termocouple,,1,,2,3,4,5,,,,,Koreksi STD Meter,Koreksi STD Sensor,,,1,2,3,4,5,,,,,,,1,2,3,4,5,,,,,,,,,,,,
,3,,15,,15.1,15.1,15.1,15.1,15.080000000000002,,0.76,25,-0.7000000000000455,-0.03374999999999999,,3,14.266249999999955,14.366249999999955,14.366249999999955,14.366249999999955,14.366249999999955,14.366249999999955,14.266249999999955,0.09999999999999964,14.346249999999952,,3,Sensor Acuan,,,,,,,,,,,,,,,,
,4,,15.2,,15.3,15.2,15.2,15.3,15.24,,0.76,25,-0.7000000000000455,-0.03374999999999999,,4,14.466249999999954,14.566249999999956,14.466249999999954,14.466249999999954,14.566249999999956,14.566249999999956,14.466249999999954,0.10000000000000142,14.506249999999955,,4,0.1999999999999993,0.20000000000000107,0.09999999999999964,0.09999999999999964,0.20000000000000107,,,,,,,,,,,,
,5,,15.1,,15.1,15.1,15.1,15.2,15.12,,0.76,25,-0.7000000000000455,-0.03374999999999999,,5,14.366249999999955,14.366249999999955,14.366249999999955,14.366249999999955,14.466249999999954,14.466249999999954,14.366249999999955,0.09999999999999964,14.386249999999956,,5,0.09999999999999964,0,0,0,0.09999999999999964,,,,,,,,,,,,
,6,,15.1,,15.1,15.2,15.2,15.2,15.16,,0.76,25,-0.7000000000000455,-0.03374999999999999,,6,14.366249999999955,14.366249999999955,14.466249999999954,14.466249999999954,14.466249999999954,14.466249999999954,14.366249999999955,0.09999999999999964,14.426249999999953,,6,0.09999999999999964,0,0.09999999999999964,0.09999999999999964,0.09999999999999964,,,,,,,,,,,,
,7,,15,,14.9,14.9,14.9,14.9,14.919999999999998,,0.76,25,-0.7000000000000455,-0.03374999999999999,,7,14.266249999999955,14.166249999999955,14.166249999999955,14.166249999999955,14.166249999999955,14.266249999999955,14.166249999999955,0.09999999999999964,14.186249999999955,,7,0,-0.1999999999999993,-0.1999999999999993,-0.1999999999999993,-0.1999999999999993,,,,,,,,,,,,
,8,,15.2,,15.2,15.3,15.3,15.3,15.26,,0.76,25,-0.7000000000000455,-0.03374999999999999,,8,14.466249999999954,14.466249999999954,14.566249999999956,14.566249999999956,14.566249999999956,14.566249999999956,14.466249999999954,0.10000000000000142,14.526249999999957,,8,0.1999999999999993,0.09999999999999964,0.20000000000000107,0.20000000000000107,0.20000000000000107,,,,,,,,,,,,
,9,,15,,15.1,15.1,15.1,15.2,15.1,,0.76,25,-0.7000000000000455,-0.03374999999999999,,9,14.266249999999955,14.366249999999955,14.366249999999955,14.366249999999955,14.466249999999954,14.466249999999954,14.266249999999955,0.1999999999999993,14.366249999999955,,9,0,0,0,0,0.09999999999999964,,,,,,,,,,,,
,10,,15.1,,15.2,15.2,15.2,15.2,15.180000000000001,,0.76,25,-0.7000000000000455,-0.03374999999999999,,10,14.366249999999955,14.466249999999954,14.466249999999954,14.466249999999954,14.466249999999954,14.466249999999954,14.366249999999955,0.09999999999999964,14.446249999999955,,10,0.09999999999999964,0.09999999999999964,0.09999999999999964,0.09999999999999964,0.09999999999999964,,,,,,,,,,,,
,11,,14.9,,14.9,14.9,14.9,15,14.919999999999998,,0.76,25,-0.7000000000000455,-0.03374999999999999,,11,14.166249999999955,14.166249999999955,14.166249999999955,14.166249999999955,14.266249999999955,14.266249999999955,14.166249999999955,0.09999999999999964,14.186249999999955,,11,-0.09999999999999964,-0.1999999999999993,-0.1999999999999993,-0.1999999999999993,-0.09999999999999964,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Indikator (oC),,15,,15,15,15,15,15,MAX,0.76,25,,,,T Max,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Suhu Ruang (oC),,25.4,,25.4,25.4,25.4,25.4,,,,,,,,T Min,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MAX,,MIN,Δt,Nilai Tengah,,,,,,,,,,,,,,,,,,,,Minimum,-0.1999999999999993,the absolut value,0.1999999999999993,,,,,,,,,,,,,,
,Suhu Ruang (oC),,25.4,,25.4,0,25.4,,,,,,,,Suhu Indikator Enclosure (IE)   :,,15,Rata-rata pembacaan Indikator ,,,,max,14.566249999999956,,,,Maximum,0.20000000000000107,,,,,,,,,,,,,,,,
,STDEV Indikator (oC),,0,,,,,,,,,,,,Stabilitas Suhu (SS) :,,0.09999999999999964,1/2*Max(ΔT),,,,min,14.166249999999955,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Keseragaman Suhu (KS) :,,0.20000000000000107,Abs (Max Deviasi),,,,SS,0.20000000000000018,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Variasi Keseluruhan (VK) :,,0.40000000000000036,(Tmax)Max-(Tmin)Min,,,,VK,0.40000000000000036,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Suhu Ruang  :,,25.4,Nilai Tengah Suhu Ruang,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PERHITUNGAN FAKTOR KOREKSI (FC) SP2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,STD Meter :,Yokogawa,STD Sensor :,Thermocouple Type N,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Set Point
(oC)",35,Data Hasil Pengukuran/Pengulangan (oC),,,,,,AVERAGE,,U95% Sensor,Index,Faktor Koreksi (FC),,,No. Thermocouple,Standar Terkoreksi (oC),,,,,T Max,T Min,ΔT,"AVG
Terkoreksi",,No. Thermocouple,Deviasi Pengulangan Pengukuran (oC),,,,,,,,,,,,,,,,
,No. Termocouple,,1,,2,3,4,5,,,,,Koreksi STD Meter,Koreksi STD Sensor,,,1,2,3,4,5,,,,,,,1,2,3,4,5,,,,,,,,,,,,
,3,,34.9,,34.9,34.9,34.9,34.9,34.9,,0.76,25,-0.7000000000000455,-0.03374999999999999,,3,34.166249999999955,34.166249999999955,34.166249999999955,34.166249999999955,34.166249999999955,34.166249999999955,34.166249999999955,0,34.166249999999955,,3,Sensor Acuan,,,,,,,,,,,,,,,,
,4,,34.9,,34.9,34.9,34.9,34.9,34.9,,0.76,25,-0.7000000000000455,-0.03374999999999999,,4,34.166249999999955,34.166249999999955,34.166249999999955,34.166249999999955,34.166249999999955,34.166249999999955,34.166249999999955,0,34.166249999999955,,4,0,0,0,0,0,,,,,,,,,,,,
,5,,35.1,,35,35,35,35,35.019999999999996,,0.76,25,-0.7000000000000455,-0.03374999999999999,,5,34.36624999999996,34.26624999999996,34.26624999999996,34.26624999999996,34.26624999999996,34.36624999999996,34.26624999999996,0.10000000000000142,34.28624999999995,,5,0.20000000000000284,0.10000000000000142,0.10000000000000142,0.10000000000000142,0.10000000000000142,,,,,,,,,,,,
,6,,34.8,,34.7,34.8,34.8,34.7,34.760000000000005,,0.76,25,-0.7000000000000455,-0.03374999999999999,,6,34.066249999999954,33.96624999999996,34.066249999999954,34.066249999999954,33.96624999999996,34.066249999999954,33.96624999999996,0.09999999999999432,34.02624999999996,,6,-0.10000000000000142,-0.19999999999999574,-0.10000000000000142,-0.10000000000000142,-0.19999999999999574,,,,,,,,,,,,
,7,,34.5,,34.5,34.6,34.6,34.6,34.559999999999995,,0.76,25,-0.7000000000000455,-0.03374999999999999,,7,33.76624999999996,33.76624999999996,33.86624999999996,33.86624999999996,33.86624999999996,33.86624999999996,33.76624999999996,0.10000000000000142,33.82624999999995,,7,-0.3999999999999986,-0.3999999999999986,-0.29999999999999716,-0.29999999999999716,-0.29999999999999716,,,,,,,,,,,,
,8,,34.9,,34.9,35,35,35,34.96,,0.76,25,-0.7000000000000455,-0.03374999999999999,,8,34.166249999999955,34.166249999999955,34.26624999999996,34.26624999999996,34.26624999999996,34.26624999999996,34.166249999999955,0.10000000000000142,34.22624999999996,,8,0,0,0.10000000000000142,0.10000000000000142,0.10000000000000142,,,,,,,,,,,,
,9,,34.7,,34.7,34.8,34.8,34.8,34.760000000000005,,0.76,25,-0.7000000000000455,-0.03374999999999999,,9,33.96624999999996,33.96624999999996,34.066249999999954,34.066249999999954,34.066249999999954,34.066249999999954,33.96624999999996,0.09999999999999432,34.02624999999996,,9,-0.19999999999999574,-0.19999999999999574,-0.10000000000000142,-0.10000000000000142,-0.10000000000000142,,,,,,,,,,,,
,10,,35,,35,35,35,34.9,34.980000000000004,,0.76,25,-0.7000000000000455,-0.03374999999999999,,10,34.26624999999996,34.26624999999996,34.26624999999996,34.26624999999996,34.166249999999955,34.26624999999996,34.166249999999955,0.10000000000000142,34.24624999999996,,10,0.10000000000000142,0.10000000000000142,0.10000000000000142,0.10000000000000142,0,,,,,,,,,,,,
,11,,35.1,,35.1,35.2,35.2,35.2,35.160000000000004,,0.76,25,-0.7000000000000455,-0.03374999999999999,,11,34.36624999999996,34.36624999999996,34.46624999999996,34.46624999999996,34.46624999999996,34.46624999999996,34.36624999999996,0.10000000000000142,34.42624999999996,,11,0.20000000000000284,0.20000000000000284,0.30000000000000426,0.30000000000000426,0.30000000000000426,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Indikator (oC),,35,,35,35,35,35,35,MAX,0.76,25,,,,T Max,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Suhu Ruang (oC),,25.4,,25.4,25.5,25.5,25.5,,,,,,,,T Min,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MAX,,MIN,Δt,Nilai Tengah,,,,,,,,,,,,,,,,,,,,Minimum,-0.3999999999999986,the absolut value,0.3999999999999986,,,,,,,,,,,,,,
,Suhu Ruang (oC),,25.5,,25.4,0.10000000000000142,25.45,,,,,,,,Suhu Indikator Enclosure (IE)   :,,35,Rata-rata pembacaan Indikator ,,,,,,,,,Maximum,0.30000000000000426,,,,,,,,,,,,,,,,
