Uncertainty Budget sebagai Pendukung Kemampuan Kalibrasi dan Pengukuran (CMC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nama laboratorium,,: PT Sistem Dirgantara Inovasi Teknologi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alamat,,[ALAMAT PELANGGAN DIREDAKSI],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNCERTAINTY BUDGET SEBAGAI PENDUKUNG KLAIM CMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Besaran yang diukur,,:,°C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jenis alat yang dikalibrasi,,:,Enclosure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standar yang digunakan,,:,Standard used :,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Name,,,,,Merk,,,,Type,,,,Serial Number,,,,,,,,,,,,,,,,,,,,
,,,Thermocouple Type N,,,,,TC Limited,,,,N,,,,TCN-01,,,,,,,,,,,,,,,,,,,,
,,,Thermocouple Type N,,,,,TC Limited,,,,N,,,,TCN-02,,,,,,,,,,,,,,,,,,,,
,,,Thermocouple Type K,,,,,-,,,,Type K,,,,TCK-01,,,,,,,,,,,,,,,,,,,,
,,,Thermocouple Type K,,,,,-,,,,Type K,,,,TCK-02,,,,,,,,,,,,,,,,,,,,
,,,Temperature Calibrator,,,,,Constant,,,,40T,,,,99875850,,,,,,,,,,,,,,,,,,,,
,,,Temperature Calibrator,,,,,Yokogawa,,,,CA 150 Handy Cal,,,,23P1005,,,,,,,,,,,,,,,,,,,,
Model matematis pengukuran,,:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SET POINT 1,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nama Alat,,,,,,,,:,Incubator-02,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rentang Ukur,,,,,,,,:,15-100,,oC,,,,,,,,,,,,,,,,,,,,,,,,
,Ketelitian Baca,,,,,,,,:,0.1,,oC,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,STD Meter Kalibrator :,,Yokogawa,,STD Sensor :,,,,,Thermocouple Type N,,,,,,Enclosure Type :,,,,Inkubator,,,,,,,,,,,,,,,,
,Components,,,,,,,Unit,,Distribution,,,U,,,Divisor,,vi,,ui,,,ci,,uici,,,( uici )2,,,,( uici )4/ vi,,,,
,Ketidakpastian Baku Temperature Kalibrator,,,Yokogawa,,,, oC,,normal,,,,0.24,,2,,200,,0.12,,,1,,0.12,,,0.0144,,,,1.0368e-06,,,,
,Ketidakpastian Sensor/Termokopel,,,Thermocouple Type N,,,, oC,,normal,,,,0.76,,2,,200,,0.38,,,1,,0.38,,,0.1444,,,,0.0001042568,,,,
,Ketidakpastian Baku Resolusi Standar,,,Yokogawa,,,, oC,,Rect.,,,0.05,,,1.7320508075688772,,1000000,,0.02886751345948129,,,1,,0.02886751345948129,,,0.0008333333333333335,,,,6.944444444444447e-13,,,,
,Ketidakpastian Baku Drift Temp. Kalibrator,,,Yokogawa,,,, oC,,Rect.,,,0.034999999999999996,,,1.73,,1000000,,0.020231213872832367,,,1,,0.020231213872832367,,,0.0004093020147682848,,,,1.6752813929337723e-13,,,,
,Ketidakpastian Baku Drift Sensor/Termokopel,,,Thermocouple Type N,,,, oC,,Rect.,,,0.55,,,1.73,,1000000,,0.3179190751445087,,,1,,0.3179190751445087,,,0.10107253834073976,,,,1.0215658006640309e-08,,,,
,Ketidakpastian Baku resolusi Alat,,,,,,, oC,,Rect.,,,0.05,,,1.7320508075688772,,1000000,,0.02886751345948129,,,1,,0.02886751345948129,,,0.0008333333333333335,,,,6.944444444444447e-13,,,,
,Ketidakpastian Baku Pengulangan Pembacaan Standar,,,Yokogawa,,,, oC,,Rect.,,,0.09999999999999964,,,1.7320508075688772,,1000000,,0.05773502691896237,,,1,,0.05773502691896237,,,0.0033333333333333097,,,,1.1111111111110954e-11,,,,
,Ketidakpastian Baku Pengulangan Pembacaan Indikator,,,,,,, oC,,normal,,,0,,,1,,4,,0,,,1,,0,,,0,,,,0,,,,
,Ketidakpastian Efek radiasi,,,,,,, oC,,Rect.,,,0.6,,,1.7320508075688772,,1000000,,0.34641016151377546,,,1,,0.34641016151377546,,,0.12,,,,1.44e-08,,,,
,Ketidakpastian Efek Pembebanan,,,,,,, oC,,Rect.,,,0.040000000000000216,,,1.7320508075688772,,1000000,,0.023094010767585157,,,1,,0.023094010767585157,,,0.0005333333333333392,,,,2.8444444444445073e-13,,,,
,Ketidakpastian Pengaruh Konduksi Panas,,,,,,, oC,,Rect.,,,0.1,,,1.7320508075688772,,1000000,,0.05773502691896258,,,1,,0.05773502691896258,,,0.003333333333333334,,,,1.1111111111111116e-11,,,,
,Jumlah,,,,,,,,,,,,,,,,,,,,,,,,,,,0.38914850702217474,,,,0.00010531823972109033,,,,
,"Ketidakpastian Baku Gabungan , Uc",,,,,,,,,,,,,,,,,,,,,,,,,,,0.6238176873271346,,,,,,,,
,"Derajat Kebebasan , v eff",,,,,,,,,,,,,,,,,,,,,,,,,,,1437.894907080011,,,,,,,,
,"Factor Cakupan , k=student's for v eff and CL 95 %",,,,,,,,,,,,,,,,,,,,,,,,,,,1.9616120828804522,,,,,,,,
,"Ketidakpastian Bentangan  , U = k Uc",,,,,,,,,,,,,,,,,,,,,,,,,,,1.2236883129754472,,,,,,, oC,
,CMC PT.SIDIK,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,,,,,,, oC,
,"Ketidakpastian Bentangan Yang Dilaporkan  , U = k Uc",,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,,,,,,, oC,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SET POINT 2,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nama Alat,,,,,,,,:,Incubator-02,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rentang Ukur,,,,,,,,:,15-100,,oC,,,,,,,,,,,,,,,,,,,,,,,,
,Ketelitian Baca,,,,,,,,:,0.1,,oC,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,STD Meter Kalibrator :,,Yokogawa,,STD Sensor :,,,,,Thermocouple Type N,,,,,,Enclosure Type :,,,,Inkubator,,,,,,,,,,,,,,,,
,Components,,,,,,,Unit,,\,,,U,,,Divisor,,vi,,ui,,,ci,,uici,,,( uici )2,,,,( uici )4/ vi,,,,
,Ketidakpastian Baku Temperature Kalibrator,,,Yokogawa,,,, oC,,normal,,,,0.24,,2,,200,,0.12,,,1,,0.12,,,0.0144,,,,1.0368e-06,,,,
,Ketidakpastian Sensor/Termokopel,,,Thermocouple Type N,,,, oC,,normal,,,,0.76,,2,,200,,0.38,,,1,,0.38,,,0.1444,,,,0.0001042568,,,,
,Ketidakpastian Baku Resolusi Standar,,,Yokogawa,,,, oC,,Rect.,,,0.05,,,1.7320508075688772,,1000000,,0.02886751345948129,,,1,,0.02886751345948129,,,0.0008333333333333335,,,,6.944444444444447e-13,,,,
,Ketidakpastian Baku Drift Temp. Kalibrator,,,Yokogawa,,,, oC,,Rect.,,,0.034999999999999996,,,1.73,,1000000,,0.020231213872832367,,,1,,0.020231213872832367,,,0.0004093020147682848,,,,1.6752813929337723e-13,,,,
,Ketidakpastian Baku Drift Sensor/Termokopel,,,Thermocouple Type N,,,, oC,,Rect.,,,0.55,,,1.73,,1000000,,0.3179190751445087,,,1,,0.3179190751445087,,,0.10107253834073976,,,,1.0215658006640309e-08,,,,
,Ketidakpastian Baku resolusi Alat,,,,,,, oC,,Rect.,,,0.05,,,1.7320508075688772,,1000000,,0.02886751345948129,,,1,,0.02886751345948129,,,0.0008333333333333335,,,,6.944444444444447e-13,,,,
,Ketidakpastian Baku Pengulangan Pembacaan Standar,,,Yokogawa,,,, oC,,Rect.,,,0.05000000000000071,,,1.7320508075688772,,1000000,,0.0288675134594817,,,1,,0.0288675134594817,,,0.0008333333333333571,,,,6.944444444444841e-13,,,,
,Ketidakpastian Baku Pengulangan Pembacaan Indikator,,,,,,, oC,,normal,,,0,,,1,,4,,0,,,1,,0,,,0,,,,0,,,,
,Ketidakpastian Efek radiasi,,,,,,, oC,,rect.,,,0.6,,,1.7320508075688772,,1000000,,0.34641016151377546,,,1,,0.34641016151377546,,,0.12,,,,1.44e-08,,,,
,Ketidakpastian Efek Pembebanan,,,,,,, oC,,rect.,,,0.07999999999999972,,,1.7320508075688772,,1000000,,0.046188021535169904,,,1,,0.046188021535169904,,,0.0021333333333333187,,,,4.5511111111110485e-12,,,,
,Ketidakpastian Pengaruh Konduksi Panas,,,,,,, oC,,Rect.,,,0.1,,,1.7320508075688772,,1000000,,0.05773502691896258,,,1,,0.05773502691896258,,,0.003333333333333334,,,,1.1111111111111116e-11,,,,
,Jumlah,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3882485070221748,,,,0.00010531823357109035,,,,
,"Ketidakpastian Baku Gabungan , Uc",,,,,,,,,,,,,,,,,,,,,,,,,,,0.6230959051559999,,,,,,,,
,"Derajat Kebebasan , v eff",,,,,,,,,,,,,,,,,,,,,,,,,,,1431.251722458861,,,,,,,,
,"Factor Cakupan , k=student's for v eff and CL 95 %",,,,,,,,,,,,,,,,,,,,,,,,,,,1.9616197574228,,,,,,,,
,"Ketidakpastian Bentangan  , U = k Uc",,,,,,,,,,,,,,,,,,,,,,,,,,,1.2222772383232525,,,,,,, oC,
,CMC PT.SIDIK,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,,,,,,, oC,
,"Ketidakpastian Bentangan Yang Dilaporkan  , U = k Uc",,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,,,,,,, oC,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SET POINT 3,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nama Alat,,,,,,,,:,Incubator-02,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rentang Ukur,,,,,,,,:,15-100,,oC,,,,,,,,,,,,,,,,,,,,,,,,
,Ketelitian Baca,,,,,,,,:,0.1,,oC,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,STD Meter Kalibrator :,,Yokogawa,,STD Sensor :,,,,,Thermocouple Type N,,,,,,Enclosure Type :,,,,Inkubator,,,,,,,,,,,,,,,,
,Components,,,,,,,Unit,,\,,,U,,,Divisor,,vi,,ui,,,ci,,uici,,,( uici )2,,,,( uici )4/ vi,,,,
,Ketidakpastian Baku Temperature Kalibrator,,,Yokogawa,,,, oC,,normal,,,,0.034999999999999996,,2,,200,,0.017499999999999998,,,1,,0.017499999999999998,,,0.00030624999999999994,,,,4.689453124999998e-10,,,,
,Ketidakpastian Sensor/Termokopel,,,Thermocouple Type N,,,, oC,,normal,,,,0.76,,2,,200,,0.38,,,1,,0.38,,,0.1444,,,,0.0001042568,,,,
,Ketidakpastian Baku Resolusi Standar,,,Yokogawa,,,, oC,,Rect.,,,0.05,,,1.7320508075688772,,1000000,,0.02886751345948129,,,1,,0.02886751345948129,,,0.0008333333333333335,,,,6.944444444444447e-13,,,,
,Ketidakpastian Baku Drift Temp. Kalibrator,,,Yokogawa,,,, oC,,Rect.,,,0.034999999999999996,,,1.73,,1000000,,0.020231213872832367,,,1,,0.020231213872832367,,,0.0004093020147682848,,,,1.6752813929337723e-13,,,,
,Ketidakpastian Baku Drift Sensor/Termokopel,,,Thermocouple Type N,,,, oC,,Rect.,,,0.55,,,1.73,,1000000,,0.3179190751445087,,,1,,0.3179190751445087,,,0.10107253834073976,,,,1.0215658006640309e-08,,,,
,Ketidakpastian Baku resolusi Alat,,,,,,, oC,,Rect.,,,0.05,,,1.7320508075688772,,1000000,,0.02886751345948129,,,1,,0.02886751345948129,,,0.0008333333333333335,,,,6.944444444444447e-13,,,,
,Ketidakpastian Baku Pengulangan Pembacaan Standar,,,Yokogawa,,,, oC,,Rect.,,,0.20000000000000284,,,1.7320508075688772,,1000000,,0.1154700538379268,,,1,,0.1154700538379268,,,0.013333333333333714,,,,1.7777777777778793e-10,,,,
,Ketidakpastian Baku Pengulangan Pembacaan Indikator,,,,,,, oC,,normal,,,0,,,1,,4,,0,,,1,,0,,,0,,,,0,,,,
,Ketidakpastian Efek radiasi,,,,,,, oC,,Rect.,,,0.6,,,1.7320508075688772,,1000000,,0.34641016151377546,,,1,,0.34641016151377546,,,0.12,,,,1.44e-08,,,,
