,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Certificate Number ,,,:,0123-CAL-524,,,,,Owner,,,:,[NAMA PELANGGAN DIREDAKSI],,,,,,,,
,Page,,,:,1 of 1,,,,,,,,,,,,,,,,,
,,,,,,,,,,Address,,,:,[ALAMAT PELANGGAN DIREDAKSI],,,,,,,,
,Order Number,,,:,2405.03.AV,,,,,,,,,,,,,,,,,
,Received Date,,,:,2024-05-02T00:00:00,,,,,,,,,,,,,,,,,
,Equipment Name,,,:,Incubator-02,,,,,Calibration Location,,,:,Insitu (Laboratorium Freshland),,,,,,,,
,Manufacturer,,,:,INCUCELL,,,,,Calibration  Date,,,:,2024-05-02T00:00:00,,,,,,,,
,Model/Type,,,:,LSIS-B2Y/IC 55,,,,,Calibration Method,,,:,SIDIK-IK-CAL-0501_Rev.6,,,,,,,,
,Serial Number,,,:,D132469,,,,,Env. Condition,,,:,T ,23.31,oC,±,1.7,oC,,,
,Capacity/Graduation,,,:,100,oC,/,0.1,oC,,,,,%RH,46.12,%,±,5.000999900019996,%,,,
,Technician ID,,,:,JO,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Calibration Report,,,:,,,,,,,,,,,,,,,,,,
,,,,,  Thermocouple Position :,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,A) Sebaran Suhu,,,,,,,,,,,,,,,,,,,,,
,"Pembacaan Indikator Enklosur
(°C)",,"Standar dan Koreksi Indikator
(oC)",,"Sensor No.
(No. 1 Sensor Acuan)",,,,,,,,,,,,,,,"U95% ±
(°C)",,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,1,2,,,3,4,5,6,,7,,8,,9,,,,
,15,,Terukur (°C),,14.346249999999952,14.506249999999955,,,14.386249999999956,14.426249999999953,14.186249999999955,14.526249999999957,,14.366249999999955,,14.446249999999955,,14.186249999999955,,1.4,,
,,,Koreksi (°C),,-0.6537500000000485,-0.49375000000004476,,,-0.613750000000044,-0.5737500000000466,-0.813750000000045,-0.4737500000000434,,-0.6337500000000453,,-0.5537500000000453,,-0.813750000000045,,,,
,35,,Terukur (°C),,34.166249999999955,34.166249999999955,,,34.28624999999995,34.02624999999996,33.82624999999995,34.22624999999996,,34.02624999999996,,34.24624999999996,,34.42624999999996,,1.4,,
,,,Koreksi (°C),,-0.8337500000000446,-0.8337500000000446,,,-0.7137500000000472,-0.9737500000000381,-1.173750000000048,-0.7737500000000423,,-0.9737500000000381,,-0.7537500000000392,,-0.5737500000000395,,,,
,75,,Terukur (°C),,74.7475,74.7875,,,75.105,74.86749999999999,74.76750000000001,75.165,,74.62749999999998,,75.0075,,75.00749999999998,,1.4,,
