,,,,,,,,,,,,,
,Nama Alat,:,Temperature Calibrator,,,Tanggal Kalibrasi ,,:,2024-08-28T00:00:00,,,,
,Merek,:,Constant,,,Due Date Kalibrasi,,:,2025-08-29T00:00:00,,,,
,Type,:,40T,,,Tertelusur,,:,LK-285-IDN,,,,
,S/N,:,99875850,,,,,,,,,,
,,,,,,,,,,,,,
,Mode,:,Measure (Indikator),,,,,,,,,,
,Sensor,:,PRT PT100,,,,,,,,,,
,,,Injeksi Tahanan,"Konversi Satuan Standart
(Standart Indication)","Pembacaan Alat
(UUT)",Correction,"Uncertainty
U95%",,,,,,
,,,Ω,oC,oC,oC,oC,,,,,,
,,,,,,,,,,,,,
,,,,-20,-20.1,0.10000000000000142,0.5,,,,,,
,,,,0,-0.1,0.1,0.5,,,,,,
,,,,25,,0.0999999999999993,0.5,,,,,,
,,,,50,,0.09999999999999859,0.5,,,,,,
,,,,100,,0.09999999999999716,0.5,,,,,,
,,,,200,199.9,0.09999999999999432,0.5,,,,,,
,,,,300,,0.10000000000000853,0.5,,,,,,
,,,,400,399.9,0.10000000000002274,0.5,,,,,,
,,,,500,,0.1500000000000341,0.5,,,,,,
,,,,600,599.8,0.20000000000004547,0.5,,,,,,
,,,,700,,0.15000000000003416,0.5,,,,,,
,,,,800,799.9,0.10000000000002274,0.5,,,,,,
,,,,,,,,,,,,,
,Mode,:,Measure (Indikator),,,,,,,,,,
,Sensor,:,Thermocouple Type K,,,,,,,,,,
,,,Injeksi Tegangan,"Konversi Satuan Standart
(Standart Indication)","Pembacaan Alat
(UUT)",Correction,"Uncertainty
U95%",,,,,,
,,,mV,oC,oC,oC,oC,,,,,,
,,,,,,,,,,,,,
,,,,-20,-20.2,0.1999999999999993,0.64,,,,,,
,,,,0,-0.1,0.1,0.64,,,,,,
,,,,25,,0.050000000000001425,0.64,,,,,,
,,,,50,,2.8449465006019636e-15,0.64,,,,,,
,,,,100,100.1,-0.09999999999999432,0.64,,,,,,
,,,,200,200.1,-0.09999999999999432,0.64,,,,,,
,,,,300,,-0.10000000000000853,0.64,,,,,,
,,,,400,400.1,-0.10000000000002274,0.64,,,,,,
,,,,500,,-0.05000000000001137,0.64,,,,,,
,,,,600,600,0,0.64,,,,,,
,,,,700,,0,0.64,,,,,,
,,,,800,800,0,0.64,,,,,,
,,,,900,,0.10000000000002274,0.64,,,,,,
,,,,1000,999.8,0.20000000000004547,0.64,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Mode,:,Measure (Indikator),,,,,,,,,,
,Sensor,:,Thermocouple Type N,,,,,,,,,,
,,,Injeksi Tegangan,"Konversi Satuan Standart
(Standart Indication)","Pembacaan Alat
(UUT)",Correction,"Uncertainty
U95%",,,,,,
,,,mV,oC,oC,oC,oC,,,,,,
,,,,,,,,,,,,,
,,,,-20,-20.1,0.10000000000000142,0.82,,,,,,
,,,,0,-0.1,0.1,0.82,,,,,,
,,,,25,,0.09999999999999859,0.82,,,,,,
,,,,50,,0.09999999999999716,0.82,,,,,,
,,,,100,99.9,0.09999999999999432,0.82,,,,,,
,,,,200,200.1,-0.09999999999999432,0.82,,,,,,
,,,,300,,-0.15002501250627304,0.82,,,,,,
,,,,399.9,400.1,-0.20000000000004547,0.82,,,,,,
,,,,500,,-0.09995002498752886,0.82,,,,,,
,,,,600,600,0,0.82,,,,,,
,,,,700,,0.05000000000001137,0.82,,,,,,
,,,,800,799.9,0.10000000000002274,0.82,,,,,,
,,,,900,,0.1500000000000341,0.82,,,,,,
,,,,1000,999.8,0.20000000000004547,0.82,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Mode,:,Measure (Indikator),,,,,,,,,,
,Sensor,:,Thermocouple Type B,,,,,,,,,,
,,,Injeksi Tegangan,"Konversi Satuan Standart
(Standart Indication)","Pembacaan Alat
(UUT)",Correction,"Uncertainty
U95%",,,,,,
,,,mV,oC,oC,oC,oC,,,,,,
,,,,600.1,600,0.10000000000002274,1,,,,,,
,,,,,700,0.1349999999999909,1,,,,,,
,,,,800.17,800,0.16999999999995907,1,,,,,,
,,,,,900,0.2349999999999568,1,,,,,,
,,,,1000.3,1000,0.2999999999999545,1,,,,,,
,,,,1200.32,1200,0.31999999999993634,1,,,,,,
,,,,1400.4,1400,0.40000000000009095,1,,,,,,
,,,,1700.53,1700,0.5299999999999727,1,,,,,,
,,,,,,,,,,,,,
,Mode,:,Measure (Indikator),,,,,,,,,,
,Sensor,:,Thermocouple Type T,,,,,,,,,,
,,,Injeksi Tegangan,"Konversi Satuan Standart
(Standart Indication)","Pembacaan Alat
(UUT)",Correction,"Uncertainty
U95%",,,,,,
,,,mV,oC,oC,oC,oC,,,,,,
,,,,-99.87,-100,0.12999999999999545,0.26,,,,,,
,,,,,-20,0.0739999999999991,0.26,,,,,,
,,,,0.06,0,0.06,0.26,,,,,,
,,,,,25,0.06500000000000014,0.26,,,,,,
,,,,50.07,50,0.07000000000000028,0.16,,,,,,
,,,,100.11,100,0.10999999999999943,0.16,,,,,,
,,,,200.12,200,0.12000000000000455,0.16,,,,,,
,,,,300.12,300,0.12000000000000455,0.16,,,,,,
,,,,400.15,400,0.14999999999997726,0.16,,,,,,
,,,,,,,,,,,,,
,Mode,:,Measure (Indikator),,,,,,,,,,
,Sensor,:,Thermocouple Type R,,,,,,,,,,
,,,Injeksi Tegangan,"Konversi Satuan Standart
(Standart Indication)","Pembacaan Alat
(UUT)",Correction,"Uncertainty
U95%",,,,,,
,,,mV,oC,oC,oC,oC,,,,,,
,,,,0.05,0,0.05,0.59,,,,,,
,,,,,25,-0.06499999999999986,0.59,,,,,,
,,,,49.82,50,-0.17999999999999972,0.59,,,,,,
,,,,99.85,100,-0.15000000000000568,0.59,,,,,,
,,,,199.87,200,-0.12999999999999545,0.59,,,,,,
,,,,,300,-0.16499999999999204,0.59,,,,,,
,,,,399.8,400,-0.19999999999998863,0.59,,,,,,
,,,,,500,-0.004999999999967031,0.59,,,,,,
,,,,600.19,600,0.19000000000005457,0.59,,,,,,
,,,,,700,0.21000000000003638,0.59,,,,,,
,,,,800.23,800,0.2300000000000182,0.59,,,,,,
,,,,,900,0.22000000000002728,0.59,,,,,,
,,,,1000.21,1000,0.21000000000003638,0.59,,,,,,
,,,,1200.42,1200,0.42000000000007276,0.59,,,,,,
,,,,,,,,,,,,,
,Mode,:,Measure (Indikator),,,,,,,,,,
,Sensor,:,Thermocouple Type S,,,,,,,,,,
,,,Injeksi Tegangan,"Konversi Satuan Standart
(Standart Indication)","Pembacaan Alat
(UUT)",Correction,"Uncertainty
U95%",,,,,,
,,,mV,oC,oC,oC,oC,,,,,,
,,,,0.23,0,0.23,0.58,,,,,,
,,,,,25,0.22000000000000042,0.58,,,,,,
,,,,50.21,50,0.21000000000000085,0.58,,,,,,
,,,,100.19,100,0.18999999999999773,0.58,,,,,,
,,,,200.3,200,0.30000000000001137,0.58,,,,,,
,,,,,300,0.2600000000000193,0.58,,,,,,
,,,,400.22,400,0.22000000000002728,0.58,,,,,,
,,,,,500,0.20500000000004093,0.58,,,,,,
,,,,600.19,600,0.19000000000005457,0.58,,,,,,
,,,,,700,0.2650000000000432,0.58,,,,,,
,,,,800.34,800,0.34000000000003183,0.58,,,,,,
,,,,,900,0.32499999999998863,0.58,,,,,,
,,,,1000.31,1000,0.30999999999994543,0.58,,,,,,
,,,,1200.36,1200,0.35999999999989996,0.58,,,,,,
