Nama Alat,:,Temperature Recorder,,,,,,,,,,,,,,,,,,,,,,
Merk,:,Graptech,,,,,,,,,,,,,,,,,,,,,,
Type,:,GL840,,,,,,,,,,,,,,,,,,,,,,
No. Seri,:,C305B1470,,,,,,,,,,,,,,,,,,,,,,
Range,:,2000,oC,,,,,,,,,,,,,,,,,,,,,
Interval Kalibrasi,:,1,tahun,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,Using: Thermocouple Type N,,,,,,,,,,,,,,,,,,,,,,,
,Kalibrasi ,PT SIDIK,,,,,,,,,,,,,,,,,,,,,,
,2024-01-09T00:00:00,Koreksi °C,,,,,,,,,,,,,,,,,,,,,,
,"nominal
°C",CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,,,
,-20,0,-0.3,-0.1,-0.1,-0.1,-0.1,-0.1,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.2,-0.2,-0.1,-0.1,-0.1,-0.2,-0.3,,,
,0,-0.4,-0.3,-0.3,-0.3,-0.3,-0.3,-0.2,-0.4,-0.4,0,-0.3,-0.3,-0.4,-0.2,-0.3,-0.2,-0.4,-0.2,-0.2,-0.4,,,
,100,-0.3,0,-0.1,-0.1,-0.1,-0.1,0.1,0,0,0.1,-0.3,-0.2,-0.2,0,-0.1,-0.1,-0.2,-0.2,-0.1,-0.3,,,
,200,-0.4,0,-0.2,-0.2,-0.2,-0.2,-0.3,-0.1,-0.1,-0.3,-0.2,-0.4,-0.4,-0.3,-0.3,-0.3,-0.4,-0.4,-0.2,-0.4,,,
,300,-0.1,-0.1,-0.3,-0.3,-0.2,-0.2,-0.2,-0.1,-0.3,-0.2,-0.3,-0.4,-0.4,-0.3,-0.4,-0.4,-0.3,-0.3,-0.4,-0.3,,,
,400,-0.1,-0.4,-0.3,-0.3,-0.3,-0.3,-0.3,-0.2,-0.2,-0.3,-0.3,-0.5,-0.3,-0.4,-0.3,-0.4,-0.4,-0.4,-0.4,-0.3,,,
,500,-0.1,-0.4,-0.2,-0.3,-0.2,-0.3,-0.2,-0.1,-0.3,-0.4,-0.3,-0.5,-0.2,-0.5,-0.4,-0.3,-0.3,-0.2,-0.3,-0.4,,,
,600,-0.1,-0.4,-0.2,-0.2,-0.2,-0.3,-0.2,-0.2,-0.4,-0.4,-0.3,-0.4,-0.3,-0.4,-0.3,-0.2,-0.2,-0.2,-0.2,-0.3,,,
,700,-0.1,-0.4,-0.2,-0.2,-0.1,-0.3,-0.2,-0.2,-0.3,-0.4,-0.3,-0.4,-0.3,-0.2,-0.2,-0.3,-0.2,-0.1,-0.3,-0.2,,,
,800,-0.1,-0.4,-0.2,-0.3,-0.2,-0.3,-0.2,-0.2,-0.1,-0.3,-0.3,-0.4,-0.2,-0.4,-0.2,-0.3,-0.3,-0.3,-0.4,-0.2,,,
,900,-0.2,-0.3,-0.2,-0.3,-0.3,-0.3,-0.3,-0.3,-0.2,-0.5,-0.2,-0.3,-0.2,-0.3,-0.2,-0.1,-0.3,-0.2,-0.2,-0.1,,,
,1000,-0.2,-0.3,-0.3,-0.2,-0.3,-0.2,-0.3,-0.3,-0.4,-0.4,-0.1,-0.2,-0.3,-0.1,-0.3,-0.1,-0.2,-0.3,-0.3,-0.2,,,
,±U95%,,,,,,,,,,,,,,,,,,,,,,,
Drift = 50 X Accuracy ; Accuracy = 0.1% of range(from manufacture),,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,Kalibrasi ,PT SIDIK,,,,,,,,,,,,,,,,,,,,,,
,2025-05-08T00:00:00,Koreksi °C,,,,,,,,,,,,,,,,,,,,,,
,"nominal
°C",CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,Perbedaan Koreksi,,
,-20,0.1,-0.3,0,-0.1,-0.1,0,0,-0.3,-0.2,-0.3,-0.3,-0.2,-0.2,-0.2,0,0,-0.1,0,-0.1,-0.2,0.4,,
,0,-0.4,-0.3,-0.3,-0.3,-0.3,-0.3,-0.2,-0.4,-0.4,0,-0.4,-0.3,-0.4,-0.2,-0.2,-0.2,-0.4,-0.2,-0.2,-0.4,0.4,,
,100,-0.3,-0.1,-0.1,-0.3,-0.2,-0.1,0.1,0,0,0,-0.4,-0.2,-0.2,-0.1,-0.2,-0.2,-0.2,-0.2,-0.2,-0.3,0.5,,
,200,-0.5,-0.1,-0.2,-0.3,-0.3,-0.2,-0.3,-0.2,-0.2,-0.3,-0.3,-0.5,-0.5,-0.4,-0.4,-0.4,-0.4,-0.4,-0.3,-0.4,0.5,,
,300,-0.2,-0.1,-0.4,-0.4,-0.3,-0.3,-0.3,-0.2,-0.4,-0.3,-0.4,-0.5,-0.4,-0.4,-0.5,-0.5,-0.4,-0.4,-0.5,-0.4,0.4,,
,400,-0.2,-0.2,-0.4,-0.4,-0.4,-0.4,-0.4,-0.3,-0.3,-0.4,-0.5,-0.6,-0.4,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.4,0.5,,
,500,-0.2,-0.5,-0.3,-0.3,-0.3,-0.4,-0.3,-0.2,-0.3,-0.4,-0.3,-0.5,-0.3,-0.5,-0.4,-0.4,-0.4,-0.3,-0.3,-0.5,0.4,,
,600,-0.1,-0.5,-0.2,-0.2,-0.3,-0.3,-0.3,-0.3,-0.5,-0.5,-0.5,-0.5,-0.3,-0.5,-0.2,-0.2,-0.2,-0.2,-0.3,-0.3,0.4,,
,700,-0.2,-0.5,-0.3,-0.3,-0.2,-0.3,-0.3,-0.3,-0.4,-0.5,-0.4,-0.5,-0.4,-0.3,-0.3,-0.3,-0.3,-0.2,-0.3,-0.3,0.4,,
,800,-0.2,-0.5,-0.3,-0.4,-0.3,-0.4,-0.3,-0.3,-0.2,-0.4,-0.4,-0.4,-0.3,-0.5,-0.3,-0.4,-0.4,-0.4,-0.5,-0.2,0.4,,
,900,-0.3,-0.4,-0.3,-0.4,-0.4,-0.4,-0.4,-0.4,-0.3,-0.6,-0.3,-0.4,-0.3,-0.4,-0.3,-0.3,-0.4,-0.3,-0.3,-0.2,0.5,,
,1000,-0.3,-0.4,-0.5,-0.4,-0.4,-0.3,-0.4,-0.4,-0.5,-0.5,-0.2,-0.4,-0.4,-0.3,-0.3,-0.3,-0.3,-0.4,-0.4,-0.3,0.4,,
,,,,,,,,,,,,,,,,,,,,,Drift,0.25,max; estimasi drift,
