PT. SIDIK,,,"KALIBRASI TEMPERATURE ENCLOSURE USING TEMP. RECORDER
(3 SET POINT)",,,,,,,,,,,,,LK-285-IDN,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Calibrator Standard Status Monitoring :,,,,,,,,,,ONE OR MORE STANDARD EXPIRED,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Enclosure Type,,:,1,,,,,,,,,,Certificate Number,,:,0304-CAL-624,,,Data Choosen From Combobox,,,,,
,,,,,,,,,,,,,,Order Number,,:,2406.25.AI,,,(DON'T ERASE),,,,,
,,,,,,,,,,,,,,,,,,,,Enclosure Type,,:,Oven ,,
,IDENTITAS ALAT,,,,,,,,,,IDENTITAS CUSTOMER,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Nama Alat,,:,Oven,,,,,,,Nama Custromer,,,:,[NAMA PELANGGAN DIREDAKSI],,,,,Technician ID,,:,CA,,
,Merk,,:,Memmert,,,,,,,,,,,,,,,,Calibration Method,,:,SIDIK-IK-CAL-0501_Rev.6,,
,Type,,:,UN260,,,,,,,Alamat Customer,,,:,[ALAMAT PELANGGAN DIREDAKSI],,,,,Standar Meter/Indikator,,:,Temperature Recorder,,
,No. Seri,,:,B616-0871,,,,,,,,,,,,,,,,Standar Sensor,,:,Thermocouple Type K,,
,Rentang Ukur,,:,300,,oC,,,,,,,,,,,,,,Calculated by,,:,DR,,
,Kapasitas Alat,,:,300,,oC,,,,,Tanggal Terima ,,,:,2024-06-27T00:00:00,,,,,Signed by,,:,Alex Misramto,,
,Resolusi Alat,,:,0.1,,oC,,,,,Tanggal Kalibrasi,,,:,2024-06-27T00:00:00,,,,,Position,,:,Technical Manager,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,KONDISI LINGKUNGAN,,,,,,,,,,PENGERJAAN,,,,,,,,,Thermohygro,,:,TH-6,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Awal,Akhir,,Average,,,,Lokasi Kalibrasi,,,:,Insitu (Lab Desease),,,,,Lookup status sensor,,:,89.4941722222211,,
,Suhu Ruangan,,:,25.1,25,,25.05,oC,,,Technician ID,,,:,4,,,,,,,,,,
,Kelembaban,,:,57,55,,56,%RH,,,Calibration Method,,,:,1,,,,,,,,,,
