,,,,,,,,,,,,,,,,,,,,,,,,
,Titik Kalibrasi,Recorder+Type N,,,,,,,,,,,,,,,,,,,,,,
,,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,,,
,-20,0.1,-0.3,0,-0.1,-0.1,0,0,-0.3,-0.2,-0.3,-0.3,-0.2,-0.2,-0.2,0,0,-0.1,0,-0.1,-0.2,,,
,0,-0.4,-0.3,-0.3,-0.3,-0.3,-0.3,-0.2,-0.4,-0.4,0,-0.4,-0.3,-0.4,-0.2,-0.2,-0.2,-0.4,-0.2,-0.2,-0.4,,,
,100,-0.3,-0.1,-0.1,-0.3,-0.2,-0.1,0.1,0,0,0,-0.4,-0.2,-0.2,-0.1,-0.2,-0.2,-0.2,-0.2,-0.2,-0.3,,,
,200,-0.5,-0.1,-0.2,-0.3,-0.3,-0.2,-0.3,-0.2,-0.2,-0.3,-0.3,-0.5,-0.5,-0.4,-0.4,-0.4,-0.4,-0.4,-0.3,-0.4,,,
,300,-0.2,-0.1,-0.4,-0.4,-0.3,-0.3,-0.3,-0.2,-0.4,-0.3,-0.4,-0.5,-0.4,-0.4,-0.5,-0.5,-0.4,-0.4,-0.5,-0.4,,,
,400,-0.2,-0.2,-0.4,-0.4,-0.4,-0.4,-0.4,-0.3,-0.3,-0.4,-0.5,-0.6,-0.4,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.4,,,
,500,-0.2,-0.5,-0.3,-0.3,-0.3,-0.4,-0.3,-0.2,-0.3,-0.4,-0.3,-0.5,-0.3,-0.5,-0.4,-0.4,-0.4,-0.3,-0.3,-0.5,,,
,600,-0.1,-0.5,-0.2,-0.2,-0.3,-0.3,-0.3,-0.3,-0.5,-0.5,-0.5,-0.5,-0.3,-0.5,-0.2,-0.2,-0.2,-0.2,-0.3,-0.3,,,
,700,-0.2,-0.5,-0.3,-0.3,-0.2,-0.3,-0.3,-0.3,-0.4,-0.5,-0.4,-0.5,-0.4,-0.3,-0.3,-0.3,-0.3,-0.2,-0.3,-0.3,,,
,800,-0.2,-0.5,-0.3,-0.4,-0.3,-0.4,-0.3,-0.3,-0.2,-0.4,-0.4,-0.4,-0.3,-0.5,-0.3,-0.4,-0.4,-0.4,-0.5,-0.2,,,
,900,-0.3,-0.4,-0.3,-0.4,-0.4,-0.4,-0.4,-0.4,-0.3,-0.6,-0.3,-0.4,-0.3,-0.4,-0.3,-0.3,-0.4,-0.3,-0.3,-0.2,,,
,1000,-0.3,-0.4,-0.5,-0.4,-0.4,-0.3,-0.4,-0.4,-0.5,-0.5,-0.2,-0.4,-0.4,-0.3,-0.3,-0.3,-0.3,-0.4,-0.4,-0.3,,,
,10,-0.025000000000000022,-0.3,-0.075,-0.15000000000000002,-0.15000000000000002,-0.075,-0.05,-0.32499999999999996,-0.25000000000000006,-0.22499999999999998,-0.32499999999999996,-0.225,-0.25000000000000006,-0.2,-0.05,-0.05,-0.175,-0.05,-0.12500000000000003,-0.25000000000000006,,,
,25,-0.375,-0.25000000000000006,-0.25000000000000006,-0.3,-0.275,-0.25000000000000006,-0.125,-0.30000000000000004,-0.30000000000000004,0,-0.4,-0.275,-0.35000000000000003,-0.17500000000000002,-0.2,-0.2,-0.35000000000000003,-0.2,-0.2,-0.375,,,
,50,-0.35,-0.20000000000000004,-0.20000000000000004,-0.3,-0.25,-0.20000000000000004,-0.04999999999999999,-0.2,-0.2,0,-0.4,-0.25,-0.30000000000000004,-0.15000000000000002,-0.2,-0.2,-0.30000000000000004,-0.2,-0.2,-0.35,,,
,150,-0.4,-0.1,-0.15000000000000002,-0.3,-0.25,-0.15000000000000002,-0.09999999999999998,-0.1,-0.1,-0.14999999999999997,-0.3499999999999999,-0.35,-0.35,-0.25,-0.30000000000000004,-0.30000000000000004,-0.30000000000000004,-0.30000000000000004,-0.25,-0.35,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,Titik Kalibrasi,Recorder+Type K,,,,,,,,,,,,,,,,,,,,,,
,,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,,,
,-20,0.2,-0.1,-0.2,-0.2,-0.3,-0.1,0.2,-0.1,-0.2,-0.3,-0.2,-0.1,-0.2,0.24,-0.2,-0.2,-0.3,-0.2,0.1,0.2,,,
,10,-0.1,-0.2,-0.2,-0.2,-0.2,0.2,0.1,-0.1,-0.2,-0.2,0.2,-0.1,0.2,-0.1,0.1,-0.2,-0.2,-0.1,0.2,0.2,,,
,50,0.3,-0.2,-0.2,-0.3,-0.3,0.1,-0.2,-0.3,-0.2,-0.3,-0.1,-0.1,0.2,0.1,0.1,-0.3,-0.3,-0.3,0.1,-0.2,,,
,100,0.2,-0.4,-0.2,-0.5,-0.5,-0.2,-0.4,-0.3,-0.3,-0.2,-0.2,-0.2,0,0.2,0.3,-0.5,-0.4,-0.4,-0.2,-0.3,,,
,200,-0.1,-0.2,-0.2,-0.2,-0.2,0.2,-0.2,-0.1,-0.2,-0.2,-0.2,0.2,0.2,0.2,0.2,-0.2,-0.2,-0.2,0.2,0.1,,,
,400,0.3,-0.2,-0.2,-0.2,-0.2,-0.1,-0.2,-0.1,-0.2,-0.2,-0.2,0.2,-0.1,-0.1,-0.1,-0.2,-0.2,-0.5,-0.2,0.2,,,
,600,-0.3,-0.4,-0.3,-0.2,-0.2,-0.2,-0.3,-0.2,-0.3,-0.3,-0.3,-0.2,-0.2,-0.2,-0.2,-0.4,-0.4,-0.4,-0.2,-0.4,,,
,800,-0.2,-0.5,-0.3,-0.3,-0.4,-0.3,-0.4,-0.3,-0.2,-0.2,-0.4,-0.3,-0.2,-0.3,-0.4,-0.2,-0.4,-0.5,-0.5,-0.5,,,
,1000,-0.4,-0.3,-0.3,-0.3,-0.2,-0.3,-0.2,-0.2,-0.2,-0.2,-0.5,-0.5,-0.4,-0.3,-0.4,-0.5,-0.3,-0.4,-0.4,-0.4,,,
,0,-6.938893903907228e-18,-0.16666666666666669,-0.2,-0.2,-0.23333333333333334,0.1,0.13333333333333336,-0.1,-0.2,-0.23333333333333334,0.06666666666666667,-0.1,0.06666666666666667,0.013333333333333329,6.938893903907228e-18,-0.2,-0.23333333333333334,-0.13333333333333336,0.16666666666666669,0.2,,,
,25,0.04999999999999999,-0.2,-0.2,-0.23750000000000002,-0.23750000000000002,0.16250000000000003,-0.012499999999999983,-0.17500000000000004,-0.2,-0.23750000000000002,0.0875,-0.1,0.2,-0.024999999999999994,0.1,-0.23750000000000002,-0.23750000000000002,-0.17500000000000004,0.16250000000000003,0.04999999999999999,,,
,150,0.050000000000000044,-0.3000000000000001,-0.2,-0.35000000000000003,-0.35000000000000003,0,-0.3000000000000001,-0.2,-0.25,-0.2,-0.2,0,0.1,0.2,0.25,-0.35000000000000003,-0.3000000000000001,-0.3000000000000001,0,-0.09999999999999998,,,
,300,0.09999999999999998,-0.2,-0.2,-0.2,-0.2,0.050000000000000044,-0.2,-0.1,-0.2,-0.2,-0.2,0.2,0.050000000000000044,0.050000000000000044,0.050000000000000044,-0.2,-0.2,-0.35,0,0.15000000000000002,,,
,500,0,-0.30000000000000004,-0.25,-0.2,-0.2,-0.15000000000000002,-0.25,-0.15000000000000002,-0.25,-0.25,-0.25,0,-0.15000000000000002,-0.15000000000000002,-0.15000000000000002,-0.30000000000000004,-0.30000000000000004,-0.45,-0.2,-0.10000000000000009,,,
,700,-0.24999999999999994,-0.45,-0.3,-0.25,-0.30000000000000004,-0.25,-0.35,-0.25,-0.24999999999999994,-0.24999999999999994,-0.35,-0.25,-0.2,-0.25,-0.30000000000000004,-0.29999999999999993,-0.4,-0.45,-0.35,-0.45,,,
,900,-0.30000000000000004,-0.4,-0.3,-0.3,-0.30000000000000016,-0.3,-0.30000000000000016,-0.25000000000000006,-0.2,-0.2,-0.45,-0.4,-0.30000000000000004,-0.3,-0.4,-0.3500000000000001,-0.35,-0.45,-0.45,-0.45,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,Interpolasi Sensor Termokopel,,,,,,,,,,,,,,,,,,,,,,,
,Titik Kalibrasi,Recorder+Type K,,,,,,,,,,,,,,,,,,,,,,
,0,-0.27,,,,,,,,,,,,,,,,,,,,,,
,50,-0.08,,,,,,,,,,,,,,,,,,,,,,
,100,0.275,,,,,,,,,,,,,,,,,,,,,,
,150,0.45499999999999996,,,,,,,,,,,,,,,,,,,,,,
,200,0.46,,,,,,,,,,,,,,,,,,,,,,
,300,0.29,,,,,,,,,,,,,,,,,,,,,,
,400,-0.05500000000000001,,,,,,,,,,,,,,,,,,,,,,
,25,-0.17500000000000002,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,NEW 2022,,,,,,,,,,,,,,,,,,,,,,,
,Titik Kalibrasi,Recorder+Type N,,,,,,,,,,,,,,,,,,,,,,
,,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,,,,,CH16,,,
,0,-0.4,-0.3,-0.3,-0.3,-0.3,-0.3,-0.2,-0.4,-0.4,0,-0.4,-0.3,0,0,0,,,,,0,,,
,50,-0.25,-0.04999999999999999,-0.1,-0.2,-0.1,-0.1,0.05,-0.09999999999999998,-0.09999999999999998,0.15000000000000002,-0.25,-0.15000000000000002,0,0,0,,,,,0,,,
,100,-0.3,-0.1,-0.1,-0.3,-0.2,-0.1,0.1,0,0,0,-0.4,-0.2,0,0,0,,,,,0,,,
,200,-0.5,-0.1,-0.2,-0.3,-0.3,-0.2,-0.3,-0.2,-0.2,-0.3,-0.3,-0.5,0,0,0,,,,,0,,,
,400,-0.2,-0.2,-0.4,-0.4,-0.4,-0.4,-0.4,-0.3,-0.3,-0.4,-0.5,-0.6,0,0,0,,,,,0,,,
,600,-0.1,-0.5,-0.2,-0.2,-0.3,-0.3,-0.3,-0.3,-0.5,-0.5,-0.5,-0.5,,,,,,,,,,,
,800,-0.2,-0.5,-0.3,-0.4,-0.3,-0.4,-0.3,-0.3,-0.2,-0.4,-0.4,-0.4,,,,,,,,,,,
,1000,-0.3,-0.4,-0.5,-0.4,-0.4,-0.3,-0.4,-0.4,-0.5,-0.5,-0.2,-0.4,,,,,,,,,,,
,25,-0.325,-0.175,-0.20000000000000004,-0.25,-0.20000000000000004,-0.20000000000000004,-0.07500000000000001,-0.25,-0.25,0.07500000000000001,-0.325,-0.225,,,,,,,,,,,
,150,-0.4,-0.1,-0.15000000000000002,-0.3,-0.35,-0.15000000000000002,-0.09999999999999998,-0.1,-0.1,-0.14999999999999997,-0.3499999999999999,-0.35,,,,,,,,,,,
,300,-0.35000000000000003,-0.15000000000000002,-0.30000000000000004,-0.35,-0.3,-0.30000000000000004,-0.35,-0.25,-0.25,-0.35,-0.4,-0.55,,,,,,,,,,,
,500,-0.15000000000000002,-0.35,-0.30000000000000004,-0.30000000000000004,-0.30000000000000004,-0.35,-0.35,-0.3,-0.4,-0.45,-0.5,-0.55,,,,,,,,,,,
,700,-0.15000000000000002,-0.5,-0.25,-0.30000000000000004,-0.32499999999999996,-0.35,-0.3,-0.3,-0.34999999999999987,-0.45,-0.45,-0.45,,,,,,,,,,,
,900,-0.25,-0.45,-0.4,-0.4,-0.3125,-0.35,-0.35,-0.35,-0.3500000000000001,-0.45,-0.30000000000000016,-0.4,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,NEW 2022,,,,,,,,,,,,,,,,,,,,,,,
,Titik Kalibrasi,Recorder+Type K,,,,,,,,,,,,,,,,,,,,,,
,,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,,,,,CH16,,,
,0,-6.938893903907228e-18,-0.16666666666666669,-0.2,-0.2,-0.23333333333333334,0.1,0.13333333333333336,-0.1,-0.2,-0.23333333333333334,0.06666666666666667,-0.1,0,0,0,,,,,0,,,
,50,0.3,-0.2,-0.2,-0.3,-0.3,0.1,-0.2,-0.3,-0.2,-0.3,-0.1,-0.1,0,0,0,,,,,0,,,
,100,0.2,-0.4,-0.2,-0.5,-0.5,-0.2,-0.4,-0.3,-0.3,-0.2,-0.2,-0.2,0,0,0,,,,,0,,,
,200,-0.1,-0.2,-0.2,-0.2,-0.2,0.2,-0.2,-0.1,-0.2,-0.2,-0.2,0.2,0,0,0,,,,,0,,,
,400,0.3,-0.2,-0.2,-0.2,-0.2,-0.1,-0.2,-0.1,-0.2,-0.2,-0.2,0.2,0,0,0,,,,,0,,,
