PT. SIDIK,,,"KALIBRASI TEMPERATURE INDIKATOR DENGAN SENSOR
(TIDS)",,,,,,,,,,,,,LK-285-IDN,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Calibrator Standard Status Monitoring :,,,,,,,,,,ALL STANDARDS ARE VALID,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Certificate Number,,:,071-CAL-325,,,Data Choosen From Combobox,,,,,
,,,,,,,,,,,,,,Order Number,,:,2503.09.A,,,(DON'T ERASE),,,,,
,,,,,,,,,,,,,,,,,,,,Enclosure Type,,:,,,
,IDENTITAS ALAT,,,,,,,,,,IDENTITAS CUSTOMER,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Nama Alat,,:,Multiparameter (Suhu),,,,,,,Nama Custromer,,,:,,,,,,[NAMA PELANGGAN DIREDAKSI],,:,CA,,
,Merk,,:,-,,,,,,,,,,,,,,,,Calibration Method,,:,SIDIK-IK-CAL-0503_Rev.6,,
,Type,,:,Digital,,,,,,,Alamat Customer,,,:,,,,,,[ALAMAT PELANGGAN DIREDAKSI],,:,Temperature Recorder,,
,No. Seri,,:,IT-01,,,,,,,,,,,,,,,,Standar Sensor,,:,Thermocouple Type K,,
,Rentang Ukur,,:,60-100',,oC,,,,,,,,,,,,,,Calculated by,,:,DR,,
,Kapasitas Alat,,:,250,,oC,,,,,Tanggal Terima ,,,:,2025-03-03T00:00:00,,,,,Signed by,,:,Alex Misramto,,
,Resolusi Alat,,:,0.01,,oC,,,,,Tanggal Kalibrasi,,,:,2025-03-03T00:00:00,,,,,Position,,:,Technical Manager,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,KONDISI LINGKUNGAN,,,,,,,,,,PENGERJAAN,,,,,,,,,Thermohygro,,:,TH-1,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Awal,Akhir,,Average,,,,Lokasi Kalibrasi,,,:,Insitu (Lab. FMIPA ITB),,,,,Dryblock Used,,:,A,,
,Suhu Ruangan,,:,29.5,29.6,,29.55,oC,,,Technician ID,,,:,4,,,,,Lookup status meter,,:,139.61108935184893,,
,Kelembaban,,:,59,62,,60.5,%RH,,,Calibration Method,,,:,3,,,,,Lookup status sensor,,:,260.61108935184893,,
,Thermohygro Used,,:,1,,,,,,,Standar Meter/Indikator,,,:,Temp. recorder Graptech,,,VALID,,,,,,,
,,,,,,,,,,,Standar Sensor,,,:,2,,,VALID,,,,,,,
,,,,,,,,,,,Dry Block Used,,,:,1,,"A: -20 ~150 oC
B: 150~600 oC",,,,,,,,
,DATA HASIL KALIBRASI,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Pembacaan Standard,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Thermocouple,,Data Hasil Pengukuran/Pengulangan (oC),,,,,,,,"Set Point
(oC)","Rec.
Channel",,,,,,,,,,,,,
