,,,,,,,,,,,,,,,,,,,,,,,,
,Titik Kalibrasi,Recorder+Type N,,,,,,,,,,,,,,,,,,,,,,
,,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,,,
,-20,0.1,-0.2,0,0,0,0.1,0,-0.2,-0.1,-0.2,-0.2,-0.2,-0.1,-0.1,-0.1,0.1,0,0,0,-0.1,,,
,0,-0.3,-0.2,-0.2,-0.2,-0.2,-0.2,-0.1,-0.3,-0.3,0.1,-0.3,-0.2,-0.3,-0.1,-0.2,-0.1,-0.3,-0.1,-0.1,-0.3,,,
,100,-0.2,0.1,0,-0.2,0,0,0.2,0.1,0.1,0.2,-0.2,-0.1,-0.1,0.1,0,0,-0.1,-0.1,0,-0.2,,,
,200,-0.2,0.2,0,0,0,0,-0.1,0.1,0.1,0,0,-0.2,-0.2,-0.1,-0.1,-0.1,-0.2,-0.1,0,-0.1,,,
,300,0.2,0.3,0,0,0.1,0.1,0.1,0.2,0,0.1,0,-0.1,-0.1,0,-0.1,-0.1,0,0,-0.1,0,,,
,400,0.3,0.3,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.1,0,-0.1,0.1,0,0.1,0,0,0,0,0.1,,,
,500,0.3,0,0.2,0.1,0.2,0.1,0.2,0.3,0.1,0,0.1,-0.1,0.2,-0.1,0,0.1,0.1,0.2,0.1,0,,,
,600,0.3,0,0.2,0.2,0.2,0.1,0.2,0.2,0,0,-0.1,-0.1,0.1,-0.1,0.1,0.2,0.2,0.2,0.2,0.1,,,
,700,0.3,0,0.2,0.3,0.3,0.2,0.2,0.3,0.2,0,0.1,0,0.2,0.3,0.3,0.2,0.3,0.3,0.2,0.2,,,
,800,0.4,0.1,0.3,0.2,0.4,0.2,0.3,0.3,0.4,0.3,0.3,0.2,0.3,0.2,0.3,0.3,0.2,0.3,0.2,0.4,,,
,900,0.5,0.2,0.4,0.3,0.4,0.4,0.3,0.3,0.5,0.1,0.4,0.4,0.4,0.4,0.4,0.5,0.3,0.4,0.5,0.5,,,
,1000,0.5,0.4,0.4,0.5,0.4,0.5,0.4,0.4,0.3,0.3,0.6,0.5,0.4,0.6,0.5,0.6,0.6,0.4,0.4,0.6,,,
,10,1.3877787807814457e-17,-0.2,-0.05,-0.05,-0.05,0.02500000000000001,-0.025,-0.225,-0.15000000000000002,-0.125,-0.225,-0.2,-0.15000000000000002,-0.1,-0.12500000000000003,0.05,-0.075,-0.025,-0.025,-0.15000000000000002,,,
,25,-0.275,-0.125,-0.15000000000000002,-0.2,-0.15000000000000002,-0.15000000000000002,-0.02500000000000001,-0.19999999999999998,-0.19999999999999998,0.12500000000000003,-0.275,-0.17500000000000002,-0.25000000000000006,-0.05,-0.15000000000000002,-0.07500000000000001,-0.25000000000000006,-0.1,-0.07500000000000001,-0.275,,,
,50,-0.25,-0.04999999999999999,-0.1,-0.2,-0.1,-0.1,0.05,-0.09999999999999998,-0.09999999999999998,0.15000000000000002,-0.25,-0.15000000000000002,-0.20000000000000004,0,-0.1,-0.05,-0.20000000000000004,-0.1,-0.05,-0.25,,,
,150,-0.2,0.15000000000000002,0,-0.10000000000000003,0,0,0.050000000000000044,0.1,0.1,0.10000000000000003,-0.10000000000000003,-0.15000000000000002,-0.15000000000000002,0,-0.05,-0.05,-0.15000000000000002,-0.1,0,-0.15000000000000005,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,Titik Kalibrasi,Recorder+Type K,,,,,,,,,,,,,,,,,,,,,,
,,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,,,
,-20,0.2,0,-0.1,-0.2,-0.3,0,0.1,0,-0.2,-0.3,-0.1,0,-0.1,0.24,-0.1,-0.2,-0.3,-0.2,0,0.1,,,
,10,0,-0.1,-0.1,-0.2,-0.1,0.2,0,0,-0.1,-0.1,0.1,0,0.1,0,0,-0.2,-0.2,0,0.2,0.1,,,
,50,0.3,-0.1,-0.1,-0.3,-0.3,0,-0.1,-0.3,-0.2,-0.3,0,0,0.2,0,0,-0.3,-0.3,-0.3,0,-0.2,,,
,100,0.1,-0.4,-0.2,-0.5,-0.5,-0.2,-0.4,-0.3,-0.3,-0.2,-0.2,-0.2,0,0.2,0.3,-0.5,-0.4,-0.4,-0.2,-0.3,,,
,200,0,-0.1,-0.1,-0.2,-0.2,0.1,-0.1,0,-0.1,-0.1,-0.1,0.1,0.1,0.1,0.1,-0.2,-0.2,-0.2,0.1,0,,,
,400,0.3,-0.1,-0.1,-0.2,-0.2,0,-0.1,0,-0.1,-0.1,-0.2,0.1,0,0,0,-0.1,-0.1,-0.5,-0.2,0.1,,,
,600,-0.3,-0.4,-0.3,-0.2,-0.2,-0.2,-0.3,-0.2,-0.3,-0.3,-0.3,-0.1,-0.2,-0.2,-0.2,-0.4,-0.4,-0.4,-0.2,-0.4,,,
,800,-0.2,-0.5,-0.3,-0.3,-0.4,-0.3,-0.4,-0.3,-0.1,-0.2,-0.4,-0.3,-0.2,-0.3,-0.4,-0.2,-0.4,-0.5,-0.5,-0.5,,,
,1000,-0.4,-0.3,-0.3,-0.3,-0.2,-0.3,-0.2,-0.2,-0.2,-0.2,-0.5,-0.5,-0.4,-0.3,-0.4,-0.5,-0.3,-0.4,-0.4,-0.4,,,
,0,0.06666666666666668,-0.06666666666666667,-0.1,-0.2,-0.16666666666666669,0.13333333333333333,0.03333333333333334,0,-0.13333333333333336,-0.16666666666666669,0.03333333333333333,0,0.03333333333333333,0.08,-0.03333333333333334,-0.2,-0.23333333333333334,-0.06666666666666668,0.13333333333333333,0.1,,,
,25,0.11250000000000002,-0.1,-0.1,-0.23750000000000002,-0.17500000000000004,0.125,-0.037500000000000006,-0.11250000000000002,-0.1375,-0.17500000000000004,0.0625,0,0.1375,0,0,-0.23750000000000002,-0.23750000000000002,-0.11250000000000002,0.125,-0.012499999999999983,,,
,150,0.05000000000000002,-0.24999999999999994,-0.15000000000000005,-0.35000000000000003,-0.35000000000000003,-0.050000000000000044,-0.24999999999999994,-0.14999999999999997,-0.2,-0.15000000000000005,-0.15000000000000005,-0.050000000000000044,0.05,0.15000000000000005,0.2,-0.35000000000000003,-0.3000000000000001,-0.3000000000000001,-0.050000000000000044,-0.14999999999999997,,,
,300,0.14999999999999997,-0.1,-0.1,-0.2,-0.2,0.05000000000000002,-0.1,0,-0.1,-0.1,-0.15000000000000002,0.1,0.05000000000000002,0.05000000000000002,0.05000000000000002,-0.15000000000000005,-0.15000000000000005,-0.35,-0.04999999999999999,0.05,,,
,500,0,-0.25,-0.2,-0.2,-0.2,-0.09999999999999998,-0.2,-0.09999999999999998,-0.2,-0.2,-0.25,0,-0.09999999999999998,-0.09999999999999998,-0.09999999999999998,-0.25,-0.25,-0.45,-0.2,-0.1499999999999999,,,
,700,-0.24999999999999994,-0.45,-0.3,-0.25,-0.30000000000000004,-0.25,-0.35,-0.25,-0.20000000000000007,-0.24999999999999994,-0.35,-0.20000000000000007,-0.2,-0.25,-0.30000000000000004,-0.29999999999999993,-0.4,-0.45,-0.35,-0.45,,,
,900,-0.30000000000000004,-0.4,-0.3,-0.3,-0.30000000000000016,-0.3,-0.30000000000000016,-0.25000000000000006,-0.15000000000000002,-0.2,-0.45,-0.4,-0.30000000000000004,-0.3,-0.4,-0.3500000000000001,-0.35,-0.45,-0.45,-0.45,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,Interpolasi Sensor Termokopel,,,,,,,,,,,,,,,,,,,,,,,
,Titik Kalibrasi,Recorder+Type K,,,,,,,,,,,,,,,,,,,,,,
,0,0.012999999999999998,,,,,,,,,,,,,,,,,,,,,,
,50,0.1305000000000014,,,,,,,,,,,,,,,,,,,,,,
,100,0.16599999999999682,,,,,,,,,,,,,,,,,,,,,,
,150,0.08549999999999613,,,,,,,,,,,,,,,,,,,,,,
,200,0.06449999999999534,,,,,,,,,,,,,,,,,,,,,,
,300,0.08749999999999147,,,,,,,,,,,,,,,,,,,,,,
,400,0.03249999999999886,,,,,,,,,,,,,,,,,,,,,,
,25,0.0717500000000007,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,NEW 2022,,,,,,,,,,,,,,,,,,,,,,,
,Titik Kalibrasi,Recorder+Type N,,,,,,,,,,,,,,,,,,,,,,
,,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,,,,,CH16,,,
,0,-0.3,-0.2,-0.2,-0.2,-0.2,-0.2,-0.1,-0.3,-0.3,0.1,-0.3,-0.2,0,0,0,,,,,0,,,
,50,-0.25,-0.04999999999999999,-0.1,-0.2,-0.1,-0.1,0.05,-0.09999999999999998,-0.09999999999999998,0.15000000000000002,-0.25,-0.15000000000000002,0,0,0,,,,,0,,,
,100,-0.2,0.1,0,-0.2,0,0,0.2,0.1,0.1,0.2,-0.2,-0.1,0,0,0,,,,,0,,,
,200,-0.2,0.2,0,0,0,0,-0.1,0.1,0.1,0,0,-0.2,0,0,0,,,,,0,,,
,400,0.3,0.3,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.1,0,-0.1,0,0,0,,,,,0,,,
,600,0.3,0,0.2,0.2,0.2,0.1,0.2,0.2,0,0,-0.1,-0.1,,,,,,,,,,,
,800,0.4,0.1,0.3,0.2,0.4,0.2,0.3,0.3,0.4,0.3,0.3,0.2,,,,,,,,,,,
,1000,0.5,0.4,0.4,0.5,0.4,0.5,0.4,0.4,0.3,0.3,0.6,0.5,,,,,,,,,,,
,25,-0.275,-0.125,-0.15000000000000002,-0.2,-0.15000000000000002,-0.15000000000000002,-0.024999999999999994,-0.19999999999999998,-0.19999999999999998,0.125,-0.275,-0.17500000000000002,,,,,,,,,,,
,150,-0.2,0.15000000000000002,0,-0.10000000000000003,0.05,0,0.050000000000000044,0.1,0.1,0.10000000000000003,-0.10000000000000003,-0.15000000000000002,,,,,,,,,,,
,300,0.050000000000000044,0.25,0.05,0.05,0.30000000000000004,0.05,0,0.15000000000000002,0.15000000000000002,0.05,0,-0.15000000000000005,,,,,,,,,,,
,500,0.3,0.15000000000000002,0.15000000000000002,0.15000000000000002,0.125,0.1,0.15000000000000002,0.2,0.09999999999999998,0.04999999999999999,-0.04999999999999999,-0.1,,,,,,,,,,,
,700,0.35,0.04999999999999999,0.25,0.2,0.17500000000000004,0.15000000000000002,0.25,0.25,0.19999999999999996,0.15000000000000002,0.10000000000000009,0.050000000000000044,,,,,,,,,,,
,900,0.45,0.25,0.35,0.3500000000000001,0.15000000000000002,0.3500000000000001,0.35,0.35,0.35,0.3,0.44999999999999996,0.3500000000000001,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,NEW 2022,,,,,,,,,,,,,,,,,,,,,,,
,Titik Kalibrasi,Recorder+Type K,,,,,,,,,,,,,,,,,,,,,,
,,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,,,,,CH16,,,
,0,0.06666666666666668,-0.06666666666666667,-0.1,-0.2,-0.16666666666666669,0.13333333333333333,0.03333333333333334,0,-0.13333333333333336,-0.16666666666666669,0.03333333333333333,0,0,0,0,,,,,0,,,
,50,0.3,-0.1,-0.1,-0.3,-0.3,0,-0.1,-0.3,-0.2,-0.3,0,0,0,0,0,,,,,0,,,
,100,0.1,-0.4,-0.2,-0.5,-0.5,-0.2,-0.4,-0.3,-0.3,-0.2,-0.2,-0.2,0,0,0,,,,,0,,,
,200,0,-0.1,-0.1,-0.2,-0.2,0.1,-0.1,0,-0.1,-0.1,-0.1,0.1,0,0,0,,,,,0,,,
,400,0.3,-0.1,-0.1,-0.2,-0.2,0,-0.1,0,-0.1,-0.1,-0.2,0.1,0,0,0,,,,,0,,,
,600,-0.3,-0.4,-0.3,-0.2,-0.2,-0.2,-0.3,-0.2,-0.3,-0.3,-0.3,-0.1,,,,,,,,,,,
,800,-0.2,-0.5,-0.3,-0.3,-0.4,-0.3,-0.4,-0.3,-0.1,-0.2,-0.4,-0.3,,,,,,,,,,,
,1000,-0.4,-0.3,-0.3,-0.3,-0.2,-0.3,-0.2,-0.2,-0.2,-0.2,-0.5,-0.5,,,,,,,,,,,
,1200,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
,25,0.18333333333333335,-0.08333333333333334,-0.1,-0.25,-0.23333333333333334,0.06666666666666667,-0.03333333333333333,-0.15,-0.16666666666666669,-0.23333333333333334,0.016666666666666666,0,,,,,,,,,,,
