Uncertainty Budget sebagai Pendukung Kemampuan Kalibrasi dan Pengukuran (CMC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nama laboratorium,,: PT Sistem Dirgantara Inovasi Teknologi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alamat,,[ALAMAT PELANGGAN DIREDAKSI],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNCERTAINTY BUDGET SEBAGAI PENDUKUNG KLAIM CMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Besaran yang diukur,,:,°C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jenis alat yang dikalibrasi,,:,Temperature indikator dengan sensor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standar yang digunakan,,:,Standard used :,,,,,,,,,,,,,,,,,Alat Bantu :,,,,,,,,,,,,,,,,
,,,Name,,,,,Merk,,,,Type,,,,Serial Number,,,,Name,,,,,Merk,,,,Type,,,,Serial Number,,,
,,,Thermocouple Type N,,,,,TC Limited,,,,N,,,,TCN-01,,,,Dryblock A,,,,,Isotech,,,,Fast Cal Low,,,,321486.1,,,
,,,Thermocouple Type N,,,,,TC Limited,,,,N,,,,TCN-02,,,,Dryblock B,,,,,Techne,,,,Tecal 700xs,,,,1777952.1,,,
,,,Thermocouple Type K,,,,,-,,,,Type K,,,,TCK-01,,,,,,,,,,,,,,,,,,,,
,,,Thermocouple Type K,,,,,-,,,,Type K,,,,TCK-02,,,,,,,,,,,,,,,,,,,,
,,,PRT Pt-100,,,,,-,,,,-,,,,SH1/20,,,,,,,,,,,,,,,,,,,,
,,,Temperature Recorder,,,,,Eurotherm,,,,6100A,,,,253341,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Model matematis pengukuran,,:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nama Alat,,,,,,,,:,Multiparameter (Suhu),,,,,,,,,,,,,,,,,,,,,,,,,,
,Rentang Ukur,,,,,,,,:,60-100',,oC,,,,,,,,,,,,,,,,,,,,,,,,
,Ketelitian Baca UUT,,,,,,,,:,0.01,,oC,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,STD Meter Kalibrator :,,Temperature Recorder,,STD Sensor :,,,,,Thermocouple Type K,,,,,,Max. Set Point UUT,,,,200,,oC,,,Dryblock Used :,,,,,A,,,,,,
,Components,,,,,,,Unit,,Distribution,,,U,,,Divisor,,vi,,ui,,,ci,,uici,,,( uici )2,,,,( uici )4/ vi,,,,
