,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nama Alat,:,Temperature Recorder,,,,,,,,,,,Tanggal Kalibrasi ,,:,2025-05-08T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Type,:,GL840,,,,,,,,,,,Due Date Kalibrasi,,:,2026-05-08T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,TABEL RECORD DRIFT,,,,,,
,S/N,:,C305B1470,,,,,,,,,,,Tertelusur,,:,LK-285-IDN,,,,,,,,,,,,,,,,,,,,,,,,,,,,Std Mode:,Measure,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Std Meter,,,,,,
,TABEL NILAI KOREKSI TEMPERATURE RECORDER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Recorder,,,,,,
,Titik Kalibrasi,,Correction (oC) Type N,,,,,,,,,,,,,,,,,,,,Correction (oC) Type K,,,,,,,,,,,,,,,,,,,,,,Termocouple,Udrift,,,,,
,oC,,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,No,,Thermocouple Type N,0.25,,,,,
NOTE:,-20,,0.1,-0.3,0,-0.1,-0.1,0,0,-0.3,-0.2,-0.3,-0.3,-0.2,-0.2,-0.2,0,0,-0.1,0,-0.1,-0.2,0.2,-0.1,-0.2,-0.2,-0.3,-0.1,0.2,-0.1,-0.2,-0.3,-0.2,-0.1,-0.2,0.24,-0.2,-0.2,-0.3,-0.2,0.1,0.2,1,,Thermocouple Type K,0.5,,,,,
,0,,-0.4,-0.3,-0.3,-0.3,-0.3,-0.3,-0.2,-0.4,-0.4,0,-0.4,-0.3,-0.4,-0.2,-0.2,-0.2,-0.4,-0.2,-0.2,-0.4,-6.938893903907228e-18,-0.16666666666666669,-0.2,-0.2,-0.23333333333333334,0.1,0.13333333333333336,-0.1,-0.2,-0.23333333333333334,0.06666666666666667,-0.1,0.06666666666666667,0.013333333333333329,6.938893903907228e-18,-0.2,-0.23333333333333334,-0.13333333333333336,0.16666666666666669,0.1,2,,,,,,,,
same as previous year,10,,1.3877787807814457e-17,-0.2,-0.05,-0.05,-0.05,0.02500000000000001,-0.025,-0.225,-0.15000000000000002,-0.125,-0.225,-0.2,-0.15000000000000002,-0.1,-0.12500000000000003,0.05,-0.075,-0.025,-0.025,-0.15000000000000002,-0.1,-0.2,-0.2,-0.2,-0.2,0.2,0.1,-0.1,-0.2,-0.2,0.2,-0.1,0.2,-0.1,0.1,-0.2,-0.2,-0.1,0.2,0.2,3,,,,,,,,
,25,,-0.275,-0.125,-0.15000000000000002,-0.2,-0.15000000000000002,-0.15000000000000002,-0.02500000000000001,-0.19999999999999998,-0.19999999999999998,0.12500000000000003,-0.275,-0.17500000000000002,-0.25000000000000006,-0.05,-0.15000000000000002,-0.07500000000000001,-0.25000000000000006,-0.1,-0.07500000000000001,-0.275,0.04999999999999999,-0.2,-0.2,-0.23750000000000002,-0.23750000000000002,0.16250000000000003,-0.012499999999999983,-0.17500000000000004,-0.2,-0.23750000000000002,0.0875,-0.1,0.2,-0.024999999999999994,0.1,-0.23750000000000002,-0.23750000000000002,-0.17500000000000004,0.16250000000000003,0.04999999999999999,4,,,,,,,,
,50,,-0.25,-0.04999999999999999,-0.1,-0.2,-0.1,-0.1,0.05,-0.09999999999999998,-0.09999999999999998,0.15000000000000002,-0.25,-0.15000000000000002,-0.20000000000000004,0,-0.1,-0.05,-0.20000000000000004,-0.1,-0.05,-0.25,0.3,-0.2,-0.2,-0.3,-0.3,0.1,-0.2,-0.3,-0.2,-0.3,-0.1,-0.1,0.2,0.1,0.1,-0.3,-0.3,-0.3,0.1,-0.2,5,,Sensor TC,,,,,,
,100,,-0.3,-0.1,-0.1,-0.3,-0.2,-0.1,0.1,0,0,0,-0.4,-0.2,-0.2,-0.1,-0.2,-0.2,-0.2,-0.2,-0.2,-0.3,0.2,-0.4,-0.2,-0.5,-0.5,-0.2,-0.4,-0.3,-0.3,-0.2,-0.2,-0.2,0,0.2,0.3,-0.5,-0.4,-0.4,-0.2,-0.3,6,,Termocouple,Udrift,,,,,
,150,,-0.2,0.15000000000000002,0,-0.10000000000000003,0,0,0.050000000000000044,0.1,0.1,0.10000000000000003,-0.10000000000000003,-0.15000000000000002,-0.15000000000000002,0,-0.05,-0.05,-0.15000000000000002,-0.1,0,-0.15000000000000005,0.050000000000000044,-0.3000000000000001,-0.2,-0.35000000000000003,-0.35000000000000003,0,-0.3000000000000001,-0.2,-0.25,-0.2,-0.2,0,0.1,0.2,0.25,-0.35000000000000003,-0.3000000000000001,-0.3000000000000001,0,-0.09999999999999998,7,,Thermocouple Type N,0.55,,,,,
,200,,-0.5,-0.1,-0.2,-0.3,-0.3,-0.2,-0.3,-0.2,-0.2,-0.3,-0.3,-0.5,-0.5,-0.4,-0.4,-0.4,-0.4,-0.4,-0.3,-0.4,-0.1,-0.2,-0.2,-0.2,-0.2,0.2,-0.2,-0.1,-0.2,-0.2,-0.2,0.2,0.2,0.2,0.2,-0.2,-0.2,-0.2,0.2,0.1,8,,Thermocouple Type K,0.55,,,,,
,300,,-0.2,-0.1,-0.4,-0.4,-0.3,-0.3,-0.3,-0.2,-0.4,-0.3,-0.4,-0.5,-0.4,-0.4,-0.5,-0.5,-0.4,-0.4,-0.5,-0.4,0.09999999999999998,-0.2,-0.2,-0.2,-0.2,0.050000000000000044,-0.2,-0.1,-0.2,-0.2,-0.2,0.2,0.050000000000000044,0.050000000000000044,0.050000000000000044,-0.2,-0.2,-0.35,0,0.15000000000000002,9,,,,,,,,
,400,,-0.2,-0.2,-0.4,-0.4,-0.4,-0.4,-0.4,-0.3,-0.3,-0.4,-0.5,-0.6,-0.4,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.4,0.3,-0.2,-0.2,-0.2,-0.2,-0.1,-0.2,-0.1,-0.2,-0.2,-0.2,0.2,-0.1,-0.1,-0.1,-0.2,-0.2,-0.5,-0.2,0.2,10,,,,,,,,
,500,,-0.2,-0.5,-0.3,-0.3,-0.3,-0.4,-0.3,-0.2,-0.3,-0.4,-0.3,-0.5,-0.3,-0.5,-0.4,-0.4,-0.4,-0.3,-0.3,-0.5,-0.2,-0.30000000000000004,-0.25,-0.2,-0.2,-0.15000000000000002,-0.25,-0.15000000000000002,-0.25,-0.25,-0.25,0,-0.15000000000000002,-0.15000000000000002,-0.15000000000000002,-0.30000000000000004,-0.30000000000000004,-0.45,-0.2,-0.10000000000000009,11,,,,,,,,
,600,,-0.1,-0.5,-0.2,-0.2,-0.3,-0.3,-0.3,-0.3,-0.5,-0.5,-0.5,-0.5,-0.3,-0.5,-0.2,-0.2,-0.2,-0.2,-0.3,-0.3,-0.3,-0.4,-0.3,-0.2,-0.2,-0.2,-0.3,-0.2,-0.3,-0.3,-0.3,-0.2,-0.2,-0.2,-0.2,-0.4,-0.4,-0.4,-0.2,-0.4,12,,,,,,,,
,700,,-0.2,-0.5,-0.3,-0.3,-0.2,-0.3,-0.3,-0.3,-0.4,-0.5,-0.4,-0.5,-0.4,-0.3,-0.3,-0.3,-0.3,-0.2,-0.3,-0.3,-0.24999999999999994,-0.45,-0.3,-0.25,-0.30000000000000004,-0.25,-0.35,-0.25,-0.24999999999999994,-0.24999999999999994,-0.35,-0.25,-0.2,-0.25,-0.30000000000000004,-0.29999999999999993,-0.4,-0.45,-0.35,-0.45,13,,,,,,,,
,800,,-0.2,-0.5,-0.3,-0.4,-0.3,-0.4,-0.3,-0.3,-0.2,-0.4,-0.4,-0.4,-0.3,-0.5,-0.3,-0.4,-0.4,-0.4,-0.5,-0.2,-0.2,-0.5,-0.3,-0.3,-0.4,-0.3,-0.4,-0.3,-0.2,-0.2,-0.4,-0.3,-0.2,-0.3,-0.4,-0.2,-0.4,-0.5,-0.5,-0.5,14,,,,,,,,
,900,,-0.3,-0.4,-0.3,-0.4,-0.4,-0.4,-0.4,-0.4,-0.3,-0.6,-0.3,-0.4,-0.3,-0.4,-0.3,-0.3,-0.4,-0.3,-0.3,-0.2,-0.30000000000000004,-0.4,-0.3,-0.3,-0.30000000000000016,-0.3,-0.30000000000000016,-0.25000000000000006,-0.2,-0.2,-0.45,-0.4,-0.30000000000000004,-0.3,-0.4,-0.3500000000000001,-0.35,-0.45,-0.45,-0.45,15,,,,,,,,
,1000,,-0.3,-0.4,-0.5,-0.4,-0.4,-0.3,-0.4,-0.4,-0.5,-0.5,-0.2,-0.4,-0.4,-0.3,-0.3,-0.3,-0.3,-0.4,-0.4,-0.3,-0.4,-0.3,-0.3,-0.3,-0.2,-0.3,-0.2,-0.2,-0.2,-0.2,-0.5,-0.5,-0.4,-0.3,-0.4,-0.5,-0.3,-0.4,-0.4,-0.4,16,,,,,,,,
,1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TABEL NILAI U95% TEMPERATURE RECORDER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Titik Kalibrasi,,Correction (oC) Type N,,,,,,,,,,,,,,,,,,,,Correction (oC) Type K,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,oC,,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,,,,,,,,,
,-20,,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,,,,,,,,,
,0,,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,,,,,,,,,
,10,,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,,,,,,,,,
,25,,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,,,,,,,,,
,50,,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,,,,,,,,,
