Variasi Axial,,,,,,,,,,,,,,,,,
Owner :,PT. Sistem Dirgantara Inovasi Teknologi,,,,,Type :,Fast Cal-Low,,,,,,,,,,
TGL Tes :,2024-07-17T00:00:00,,,,,SN : ,321486-1,,,,,,,,,,
Kapasitas:,-20~150 oC,,,,,Resolusi,0.01,,,,,,,,,,
Standard:,Dryblok,,,,,,,,,,,,,,,,
Merk:,Isotech,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Table Stabilitas Suhu,,,Set Point,-20,0C,,,,,,,,,,,,
Suhu 0C,,,,,,,,Min,Max,,,,,,,,
"0""","10""","20""","30""","40""","50""","60""",,-20.02,-19.98,,,,,,,,
-20.01,-20.02,-19.98,-20,-20.02,-20.01,-19.99,,0.019999999999999574,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,Suhu Setting (oC),Kedalaman,,,,,,
,,,,,,,,,,,10mm,20mm,30mm,40mm,,,
,,,,,,,,,,-20,-19.76,-19.83,-19.74,-19.76,,,
Table Variasi Axial,,,Set Point,variable,0C,,,,,0,0.45,0.5,0.25,0.45,,,
Suhu Setting,Keseragaman Axial Max 0C,,,,,,,,,50,49.64,49.59,49.59,49.69,,,
-20,0.08999999999999986,,,,,,,,,150,149.36,149.36,149.31,150.25,,,
0,0.25,,,,,,,,,,,,,,,,
50,0.09999999999999432,,,,,,,,,,,,,,,,
150,0.9399999999999977,,,,,,,,,,,,,,,,
,,,,,max,0.9399999999999977,,,,,,,,,,,
,,,,,u,0.9399999999999977,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,Set. Suhu,Radial,,,,,,
Variasi Antar Lubang,,,,,,,,,,,,,,,,,
Variasi Antar Lubang,,,Set Point,variable,0C,,,,,-20,0.11,,,,,,
Posisi,Ketidakpastian Suhu 0C,,,,,,,,,0,0.12,,,,,,
,,,,,,,,,,50,0.13,,,,,,
,,,,,,,,,,150,0.12,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Max Radial,0.13,,,,,,,,,,,,,,,,
u,0.13,,,,,,,,,,,,,,,,
U Keseragaman,0.46999999999999886,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Stabilitas Media Kalibrasi (Percobaan Internal),,,,,,,,,,,,,,,,,
Set. Suhu,Stabilitas,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
-20,0,,,,U Stabilitas,0.0005,,,,,,,,,,,
50,0,1.1,1.1,1.1,,,,,,,,,,,,,
150,0.001,1.1,1.1,1.1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
