KESTABILAN,,,,,,KESERAGAMAN,,,,,,,
Posisi,Lubang,Stdev,,,,Average,,,,Stdev,,,
,,100,200,300,400,100,200,300,400,100,200,300,400
Tengah,1,0.0547722557505135,0.0547722557505135,0.05477225575049793,0.05477225575049793,98.43999999999998,198.44,298.24,398.0400000000001,1.1879393923934147,1.1879393923934047,1.3293607486307062,1.4707821048679675
Bawah,,0.0836660026534096,0.0836660026534028,0.08366600265339941,0.08366600265339941,100.12,200.12,300.12,400.12,,,,
Tengah,2,0.0547722557505135,0.0547722557505135,0.05477225575049793,0.05477225575049793,98.55999999999999,198.56,298.26,397.9599999999999,1.315218613006978,1.2727922061357735,1.4142135623730951,1.5839191898579532
Bawah,,0.08366600265340789,0.11401754250991729,0.05477225575052906,0.07071067811865074,100.41999999999999,200.35999999999999,300.26,400.20000000000005,,,,
Tengah,3,0.0547722557505135,0.05477225575052906,0.05477225575049793,0.05477225575052906,98.26,198.26,297.86,397.46,1.598061325481591,1.598061325481611,1.8809040379561939,2.163746750430837
Bawah,,0.08366600265340789,0.083666002653413,0.08366600265342658,0.08366600265342658,100.52,200.52,300.52,400.52,,,,
Tengah,4,0.05477225575052128,0.0547722557505135,0.05477225575052906,0.05477225575052907,98.66,198.66,298.26,398.06000000000006,0.8485281374238691,0.8485281374238489,1.1313708498984922,1.272792206135713
Bawah,,0.05477225575052128,0.0547722557505135,0.05477225575049793,0.054772255750497933,99.86000000000001,199.85999999999999,299.86,399.85999999999996,,,,
Tengah,5,0.0547722557505135,0.0547722557505135,0.05477225575049793,0.05477225575049793,100.54,200.54000000000002,300.14000000000004,399.84000000000003,0.35355339059328383,0.3535533905932738,0.07071067811867082,0.14142135623730148
Bawah,,0.0547722557505135,0.0547722557505135,0.05477225575052906,0.05477225575052906,100.03999999999999,200.04000000000002,300.04,400.04,,,,
Tengah,6,0.0547722557505135,0.05477225575052906,0.05477225575049793,0.0547722557504668,98.76,198.76,298.36,398.26,0.14142135623732158,0.14142135623730148,0.14142135623734164,0.2121320343560125
Bawah,,0.0547722557505135,0.0547722557505135,0.05477225575052907,0.05477225575052907,98.55999999999999,198.56,298.56000000000006,398.56000000000006,,,,
Tengah,7,0.05477225575052128,0.0547722557505135,0.05477225575052907,0.05477225575052906,98.34,198.34,297.93999999999994,397.64,0.2404163056034185,0.24041630560342855,0.5232590180780918,0.7353910524340239
Bawah,,0.044721359549999604,0.044721359549993255,0.04472135954998054,0.04472135954998054,98.67999999999999,198.68,298.68,398.68,,,,
Tengah,8,0.05477225575052128,0.0547722557505135,0.05477225575052906,0.05477225575052906,99.85999999999999,199.85999999999999,299.66,399.46000000000004,0.08485281374237887,0.08485281374236882,0.08485281374238891,0.028284271247436175
Bawah,,0.0547722557505135,0.05477225575052906,0.0836660026534062,0.07071067811867082,99.74,199.74,299.78000000000003,399.5,,,,
Tengah,9,0.08944271909999366,0.08944271909998651,0.08944271909998967,0.08944271909998967,95.13999999999999,195.14,294.84,394.64,0.41012193308820644,0.41012193308820644,0.5798275605729641,0.3535533905932738
Bawah,,0.08366600265340789,0.0836660026534164,0.05477225575049793,0.05477225575049793,95.72,195.72,295.65999999999997,395.14,,,,
