,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IDENTITAS ALAT,,,,,,,,IDENTITAS CUSTOMER,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nama Alat,,:,Thermometer Bola Basah,,,,,Nama Custromer,:,[NAMA PELANGGAN DIREDAKSI],,,,,,,,,,,,,,,,,,,,
,Merk,,:,Thies Clima,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Type,,:,Total Immersion,,,,,Alamat Customer,:,[ALAMAT PELANGGAN DIREDAKSI],,,,,,,,,,,,,,,,,,,,
,No. Seri,,:,4504/12-DIV 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rentang Ukur,,:,30,oC,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kapasitas Alat,,:,50,oC,,,,Tanggal Terima ,:,26 May 2026,,,,,,,,,,,,,,,,,,,,
,Resolusi Alat,,:,0.2,oC,,,,Tanggal Kalibrasi,:,2026-05-28T00:00:00,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERHITUNGAN KONDISI LINGKUNGAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Awal,Akhir,Average,Indexed Value,Correction (C),,,Δ,C,U95% Std TH,U95% Sertifikat,,,,,,,,,,,,,,,,,
,Suhu Ruangan,,:,24.3,24.5,24.4,29.14,-0.82,oC,,0.1999999999999993,-0.82,1.7,±,1.7117242768623688,oC,,,,,,,,,,,,,,,
,Kelembaban,,:,54,55,54.5,28.77,-0.83,%RH,,1,-0.83,4.9,±,5.000999900019996,%RH,,,,,,,,,,,,,,,
,Thermohygro Used,,:,TH-4,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PERHITUNGAN FAKTOR KOREKSI (FC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pembacaan Standard,,,,,,,,,,,,,,STD Meter :,Yokogawa,STD Sensor :,PRT PT100,,,,,,,,,,,,,
,No. Termocouple,,Data Hasil Pengukuran/Pengulangan (oC),,,,,,AVERAGE,STDEV,,STDEV Max,,,Index,Faktor Koreksi (FC),,STD Terkoreksi,,,,,,,,,,,,,
,,,1,,2,3,4,5,,,,,,,,Koreksi STD Meter,Koreksi STD Sensor,,,,,,,,,,,,,,
,17,,0.1,,0.1,0.1,0.1,0.1,0.1,0,,0,,,0,0.30000000000000004,0,0.4,,,,,,,,,,,,,
,17,,35.2,,35.2,35.2,35.2,35.2,35.2,0,,,,,25,0.3249999999999979,2.9007059112018396e-05,35.52502900705911,,,,,,,,,,,,,
,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,MAX,,25,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pembacaan UUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Set point,,Data Hasil Pengukuran/Pengulangan (oC),,,,,,AVERAGE,STDEV,,STDEV Max,,,,,,,,,,,,,,,,,,,
,,,1,,2,3,4,5,,,,,,,,,,,,,,,,,,,,,,,
,0,,0,,0,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,
,35,,35,,35,35,35,35,35,0,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Max. Set point,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,
