,,,,,,,,,,,,,
,Nama Alat,:,Temperature Calibrator,,,Tanggal Kalibrasi ,,:,2025-08-12T00:00:00,,,,
,Merek,:,Yokogawa,,,Due Date Kalibrasi,,:,2026-08-12T00:00:00,,,,
,Type,:,CA 150 Handy Cal,,,Tertelusur,,:,LK-241-IDN,,,,
,S/N,:,23P1005,,,,,,,,,,
,,,,,,,,,,,,,
,Mode,:,Measure (Indikator),,,,,,,,,,
,Sensor,:,PRT PT100,,,,,,,,,,
,,,Injeksi Tahanan,"Konversi Satuan Standart
(Standart Indication)","Pembacaan Alat
(UUT)",Correction,"Uncertainty
U95%",,,,,,
,,,Ω,oC,oC,oC,oC,,,,,,
,,,,-99.86,-100,0.14000000000000057,0.04,,,,,,
,,,,-20,-19.9,-0.10000000000000142,0.72,,,,,,
,,,,0.2,-0.1,0.30000000000000004,0.72,,,,,,
,,,,,25,0.3249999999999979,0.72,,,,,,
,,,,,50,0.34999999999999576,0.72,,,,,,
,,,,100.3,99.9,0.3999999999999915,0.72,,,,,,
,,,,200.3,199.9,0.4000000000000057,0.72,,,,,,
,,,,,300,0.45000000000000284,0.72,,,,,,
,,,,400.4,399.9,0.5,0.72,,,,,,
,,,,,500,0.5,0.72,,,,,,
,,,,600.4,599.9,0.5,0.72,,,,,,
,,,,,700,0.4499999999999887,0.72,,,,,,
,,,,800.3,799.9,0.39999999999997726,0.72,,,,,,
,,,,,,,,,,,,,
,Mode,:,Measure (Indikator),,,,,,,,,,
,Sensor,:,Thermocouple Type K,,,,,,,,,,
,,,Injeksi Tegangan,"Konversi Satuan Standart
(Standart Indication)","Pembacaan Alat
(UUT)",Correction,"Uncertainty
U95%",,,,,,
,,,mV,oC,oC,oC,oC,,,,,,
,,,,-100,-100,0,0.35,,,,,,
,,,,-20,-20,0,0.35,,,,,,
,,,,0,0,0,0.34,,,,,,
,,,,,25,-0.02499999999999858,0.34,,,,,,
,,,,,50,-0.04999999999999716,0.34,,,,,,
,,,,100,100.1,-0.09999999999999432,0.34,,,,,,
,,,,200,200.1,-0.09999999999999432,0.34,,,,,,
,,,,,300,-0.14999999999999147,0.34,,,,,,
,,,,400,400.2,-0.19999999999998863,0.31,,,,,,
,,,,,500,-0.24999999999997158,0.31,,,,,,
,,,,600,600.3,-0.2999999999999545,0.31,,,,,,
,,,,,700,-0.3499999999999659,0.31,,,,,,
,,,,800,800.4,-0.39999999999997726,0.31,,,,,,
,,,,,900,-0.5,0.31,,,,,,
,,,,1000,1000.6,-0.6000000000000227,0.31,,,,,,
,,,,1200,1200.7,-0.7000000000000455,0.31,,,,,,
,,,,,,,,,,,,,
,Mode,:,Measure (Indikator),,,,,,,,,,
,Sensor,:,Thermocouple Type N,,,,,,,,,,
,,,Injeksi Tegangan,"Konversi Satuan Standart
(Standart Indication)","Pembacaan Alat
(UUT)",Correction,"Uncertainty
U95%",,,,,,
,,,mV,oC,oC,oC,oC,,,,,,
,,,,-100,-100,0,0.25,,,,,,
,,,,-20,-19.9,-0.10000000000000142,0.24,,,,,,
,,,,0,0,0,0.24,,,,,,
,,,,,25,-0.02499999999999858,0.24,,,,,,
,,,,,50,-0.04999999999999716,0.24,,,,,,
,,,,100,100.1,-0.09999999999999432,0.24,,,,,,
,,,,200,200.1,-0.09999999999999432,0.29,,,,,,
,,,,,300,-0.14999999999999147,0.29,,,,,,
,,,,400,400.2,-0.19999999999998863,0.29,,,,,,
,,,,,500,-0.29999999999998295,0.29,,,,,,
,,,,600,600.4,-0.39999999999997726,0.29,,,,,,
,,,,,700,-0.44999999999998863,0.29,,,,,,
,,,,800,800.5,-0.5,0.29,,,,,,
,,,,,900,-0.5500000000000114,0.29,,,,,,
,,,,1000,1000.6,-0.6000000000000227,0.29,,,,,,
,,,,1200,1200.7,-0.7000000000000455,0.29,,,,,,
,,,,,,,,,,,,,
,Mode,:,Measure (Indikator),,,,,,,,,,
,Sensor,:,Thermocouple Type B,,,,,,,,,,
,,,Injeksi Tegangan,"Konversi Satuan Standart
(Standart Indication)","Pembacaan Alat
(UUT)",Correction,"Uncertainty
U95%",,,,,,
,,,mV,oC,oC,oC,oC,,,,,,
,,,,,600,-600,,,,,,,
,,,,,700,#REF!,,,,,,,
,,,,,800,-800,,,,,,,
,,,,,900,#REF!,,,,,,,
,,,,,1000,-1000,,,,,,,
,,,,,1200,-1200,,,,,,,
,,,,,1400,-1400,,,,,,,
,,,,,1700,-1700,,,,,,,
,,,,,,,,,,,,,
,Mode,:,Measure (Indikator),,,,,,,,,,
,Sensor,:,Thermocouple Type T,,,,,,,,,,
,,,Injeksi Tegangan,"Konversi Satuan Standart
(Standart Indication)","Pembacaan Alat
(UUT)",Correction,"Uncertainty
U95%",,,,,,
,,,mV,oC,oC,oC,oC,,,,,,
,,,,,-100,100,,,,,,,
,,,,,-20,#REF!,,,,,,,
,,,,,0,0,,,,,,,
,,,,,25,#REF!,,,,,,,
,,,,,50,-50,,,,,,,
,,,,,100,-100,,,,,,,
,,,,,200,-200,,,,,,,
,,,,,300,-300,,,,,,,
,,,,,400,-400,,,,,,,
,,,,,,,,,,,,,
,Mode,:,Measure (Indikator),,,,,,,,,,
,Sensor,:,Thermocouple Type R,,,,,,,,,,
,,,Injeksi Tegangan,"Konversi Satuan Standart
(Standart Indication)","Pembacaan Alat
(UUT)",Correction,"Uncertainty
U95%",,,,,,
,,,mV,oC,oC,oC,oC,,,,,,
,,,,,0,0,,,,,,,
,,,,,25,#REF!,,,,,,,
,,,,,50,-50,,,,,,,
,,,,,100,-100,,,,,,,
,,,,,200,-200,,,,,,,
,,,,,300,#REF!,,,,,,,
,,,,,400,-400,,,,,,,
,,,,,500,#REF!,,,,,,,
,,,,,600,-600,,,,,,,
,,,,,700,#REF!,,,,,,,
,,,,,800,-800,,,,,,,
,,,,,900,#REF!,,,,,,,
,,,,,1000,-1000,,,,,,,
,,,,,1200,-1200,,,,,,,
,,,,,,,,,,,,,
,Mode,:,Measure (Indikator),,,,,,,,,,
,Sensor,:,Thermocouple Type S,,,,,,,,,,
,,,Injeksi Tegangan,"Konversi Satuan Standart
(Standart Indication)","Pembacaan Alat
(UUT)",Correction,"Uncertainty
U95%",,,,,,
,,,mV,oC,oC,oC,oC,,,,,,
,,,,,0,0,,,,,,,
,,,,,25,#REF!,,,,,,,
,,,,,50,-50,,,,,,,
,,,,,100,-100,,,,,,,
,,,,,200,-200,,,,,,,
,,,,,300,#REF!,,,,,,,
,,,,,400,-400,,,,,,,
,,,,,500,#REF!,,,,,,,
,,,,,600,-600,,,,,,,
,,,,,700,#REF!,,,,,,,
,,,,,800,-800,,,,,,,
,,,,,900,#REF!,,,,,,,
,,,,,1000,-1000,,,,,,,
,,,,,1200,-1200,,,,,,,
,,,,,,,,,,,,,
,Mode,:,Measure (Indikator),,,,,,,,,,
,Sensor,:,Thermocouple Type J,,,,,,,,,,
,,,Injeksi Tegangan,"Konversi Satuan Standart
(Standart Indication)","Pembacaan Alat
(UUT)",Correction,"Uncertainty
U95%",,,,,,
,,,mV,oC,oC,oC,oC,,,,,,
,,,,-100,-99.9,-0.09999999999999432,0.28,,,,,,
,,,,-20,-19.9,-0.10000000000000142,0.28,,,,,,
,,,,0,0,0,0.28,,,,,,
,,,,,25,0,0.28,,,,,,
,,,,,50,0,0.28,,,,,,
,,,,100,100,0,0.26,,,,,,
,,,,200,200,0,0.26,,,,,,
