Variasi Axial,,,,,,,,,,,,,,,,,
Owner :,PT. Sistem Dirgantara Inovasi Teknologi,,,,,Type :,TeCal 700xs,,,,,,,,,,
TGL Tes :,2024-07-17T00:00:00,,,,,SN : ,DB-B-2,,,,,,,,,,
Kapasitas:,0~600 oC,,,,,,,,,,,,,,,,
Standard:,Dryblok,,,,,,,,,,,,,,,,
Merk:,Techne,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Table Stabilitas Suhu,,,Set Point,500,0C,,,,,,,,,,,,
Suhu 0C,,,,,,,,Min,Max,,,,,,,,
"0""","10""","20""","30""","40""","50""","60""",,0,0,,,,,,,,
,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,Suhu Setting (oC),Kedalaman,,,,,,
,,,,,,,,,,,10mm,20mm,30mm,40mm,,,
,,,,,,,,,,50,48.24,48.24,48.14,48.24,,,
,,,,,,,,,,300,297.54,297.54,297.54,297.74,,,
,,,,,,,,,,450,448.58,448.68,448.68,448.58,,,
Table Variasi Axial,,,,,,,,,,600,599.78,599.88,599.68,599.78,,,
Table Variasi Axial,,,Set Point,variable,0C,,,,,,,,,,,,
Suhu Setting,Keseragaman Axial Max 0C,,,,,,,,,,,,,,,,
50,0.10000000000000142,,,,,,,,,,,,,,,,
300,0.19999999999998863,,,,,,,,,,,,,,,,
450,0.10000000000002274,,,,,,,,,,,,,,,,
600,0.20000000000004547,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,max,0.20000000000004547,,,,,,,,,,,
,,,,,u,0.20000000000004547,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,Set. Suhu,Radial,,,,,,
Variasi Antar Lubang (homogenitas),,,,,,,,,,,,,,,,,
Variasi Antar Lubang,,,Set Point,variable,0C,,,,,50,0.11,,,,,,
Posisi,Pembacaan Suhu 0C,,,,,,,,,300,0.12,1.1,1.1,1.1,,,
,,,,,,,,,,450,0.13,1.1,1.1,1.1,,,
,,,,,,,,,,600,0.12,2.2,2.2,2.2,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Max Radial,0.13,,,,,,,,,,,,,,,,
U Keseragaman,,0.10000000000002274,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Stabilitas Media Kalibrasi,,,,,,,,,,,,,,,,,
Set. Suhu,Radial,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
350,0.06,,,,U Stabilitas,0.03,,,,,,,,,,,
450,0.03,1.1,1.1,1.1,,,,,,,,,,,,,
600,0.01,1.1,1.1,1.1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
