Temp Calibrator : Constant,,,,,,,,,,,,,,,,,,,
Titik Kalibrasi,PRT PT100,,Titik Kalibrasi,Thermocouple Type K,,Titik Kalibrasi,Thermocouple Type N,,Titik Kalibrasi,Thermocouple Type B,,Titik Kalibrasi,Thermocouple Type T,,Titik Kalibrasi,Thermocouple Type R,,Titik Kalibrasi,Thermocouple Type S
-20,0,,-20,-0.10000000000000142,,-20,-0.10000000000000142,,600,-0.39999999999997726,,-100,-0.15000000000000568,,0,0,,0,0
0,0.2,,0,-1,,0,-0.2,,800,-0.4199999999999591,,0,-0.2,,50,-0.20000000000000284,,50,-0.20000000000000284
100,0.29999999999999716,,100,-0.20000000000000284,,100,-0.20000000000000284,,1000,-0.5399999999999636,,50,-0.20000000000000284,,100,-0.20000000000000284,,100,-0.20000000000000284
200,0.30000000000001137,,200,-0.09999999999999432,,200,-0.30000000000001137,,1200,-0.6600000000000819,,100,-0.29999999999999716,,200,-0.30000000000001137,,200,-0.09999999999999432
400,0.39999999999997726,,400,-0.19999999999998863,,400,-0.39999999999997726,,1400,-0.7300000000000182,,200,-0.19999999999998863,,400,-0.19999999999998863,,400,0
600,0.39999999999997726,,600,-0.10000000000002274,,600,-0.2999999999999545,,1700,-0.7799999999999727,,300,-0.30000000000001137,,600,-0.10000000000002274,,600,-0.10000000000002274
800,0.2999999999999545,,800,-0.20000000000004547,,800,-0.39999999999997726,,700,-0.40999999999996817,,400,-0.30000000000001137,,800,-0.2999999999999545,,800,-0.20000000000004547
25,0.2249999999999993,,1000,-0.20000000000004547,,1000,-0.5,,900,-0.47999999999996135,,-20,-0.19000000000000114,,1000,-0.10000000000002274,,1000,-0.2999999999999545
50,0.24999999999999858,,,,,,,,,,,25,-0.20000000000000143,,1200,0.20000000000004547,,1200,-0.40000000000009095
300,0.3499999999999943,,,,,25,-0.20000000000000073,,,,,,,,25,-0.10000000000000142,,25,-0.10000000000000142
500,0.39999999999997726,,25,-0.8000000000000007,,50,-0.20000000000000143,,,,,,,,300,-0.25,,300,-0.04999999999999716
700,0.34999999999996595,,50,-0.6000000000000014,,300,-0.3499999999999943,,,,,,,,500,-0.15000000000000568,,500,-0.05000000000001137
,,,300,-0.14999999999999147,,500,-0.3499999999999659,,,,,,,,700,-0.19999999999998863,,700,-0.1500000000000341
,,,500,-0.15000000000000568,,700,-0.3499999999999659,,,,,,,,900,-0.19999999999998863,,900,-0.25
,,,700,-0.1500000000000341,,900,-0.44999999999998863,,,,,,,,,,,,
,,,900,-0.20000000000004547,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Temp Calibrator : Yokogawa,,,,,,,,,,,,,,,,,,,
Titik Kalibrasi,PRT PT100,,Titik Kalibrasi,Thermocouple Type K,,Titik Kalibrasi,Thermocouple Type N,,Titik Kalibrasi,Thermocouple Type J,,Titik Kalibrasi,Thermocouple Type T,,Titik Kalibrasi,Thermocouple Type R,,Titik Kalibrasi,Thermocouple Type S
-100,-0.09999999999999432,,-100,0.060000000000002274,,-100,0.14000000000000057,,-100,0.04999999999999716,,-100,0.060000000000002274,,0,0.09,,0,0.18
0,0,,-20,0.010000000000001563,,-20,0.08999999999999986,,0,0,,0,0.02,,50,0.18999999999999773,,50,0.14999999999999858
100,0.09999999999999432,,0,0.01,,0,0.07,,50,-0.030000000000001137,,50,-0.00999999999999801,,100,0.18000000000000682,,100,0.09999999999999432
200,0.09999999999999432,,100,-0.04000000000000625,,100,0.030000000000001137,,100,0,,100,-0.010000000000005116,,200,0.13999999999998636,,200,0.0800000000000125
400,0.19999999999998863,,200,-0.060000000000002274,,200,0.030000000000001137,,200,-0.05000000000001137,,200,-0.05000000000001137,,400,0.07999999999998408,,400,0.01999999999998181
600,0.20000000000004547,,400,0.31,,400,-0.029999999999972715,,400,-0.07999999999998408,,300,-0.060000000000002274,,600,0.009999999999990905,,600,-0.049999999999954525
800,0.10000000000002274,,600,-0.13999999999998636,,600,-0.09000000000003183,,600,-0.13999999999998636,,400,-0.07999999999998408,,800,-0.05999999999994543,,800,-0.10000000000002274
-20,-0.019999999999998866,,800,-0.19000000000005457,,800,-0.13999999999998636,,800,-0.14999999999997726,,-20,0.02800000000000046,,1000,-0.11000000000001364,,1000,-0.14999999999997726
25,0.02499999999999858,,1000,-0.2999999999999545,,1000,-0.19000000000005457,,1000,-0.22000000000002728,,25,0.005000000000000993,,1200,-0.16000000000008185,,1200,-0.20000000000004547
50,0.04999999999999716,,1200,-0.30999999999994543,,1200,-0.2599999999999909,,1200,-0.31999999999993634,,,,,25,0.13999999999999885,,25,0.1649999999999993
300,0.14999999999999147,,25,-0.0025000000000015617,,25,0.06000000000000029,,-20,0.009999999999999433,,,,,300,0.10999999999998522,,300,0.04999999999999716
500,0.20000000000001705,,50,-0.015000000000003125,,50,0.05000000000000057,,25,-0.015000000000000568,,,,,500,0.044999999999987494,,500,-0.014999999999986358
700,0.15000000000003416,,300,0.12499999999999889,,300,1.4210854715202004e-14,,300,-0.06499999999999773,,,,,700,-0.024999999999977263,,700,-0.07499999999998863
,,,500,0.08500000000000685,,500,-0.060000000000002274,,500,-0.10999999999998522,,,,,900,-0.08499999999997954,,900,-0.125
,,,700,-0.16500000000002046,,700,-0.1150000000000091,,700,-0.1449999999999818,,,,,,,,,
,,,900,-0.24500000000000455,,900,-0.16500000000002046,,900,-0.18500000000000227,,,,,,,,,
