,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IDENTITAS ALAT,,,,,,,,IDENTITAS CUSTOMER,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nama Alat,,:,Temperature Calibrator,,,,,Nama Custromer,:,PT. Sistem Dirgantara Inovasi Teknologi,,,,,,,,,,,,,,,,,,,,
,Merk,,:,Graphtech,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Type,,:,GL840,,,,,Alamat Customer,:,[ALAMAT PELANGGAN DIREDAKSI],,,,,,,,,,,,,,,,,,,,
,No. Seri,,:,C305B1470,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rentang Ukur,,:,1000,oC,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kapasitas Alat,,:,2000,oC,,,,Tanggal Terima ,:,2025-05-08T00:00:00,,,,,,,,,,,,,,,,,,,,
,Resolusi Alat,,:,0.1,oC,,,,Tanggal Kalibrasi,:,2025-05-08T00:00:00,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERHITUNGAN KONDISI LINGKUNGAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Awal,Akhir,Average,Indexed Value,Correction (C),,,Δ,C,U95% Std TH,U95% Sertifikat,,,,,,,,,,,,,,,,,
,Suhu Ruangan,,:,24.1,24.3,24.200000000000003,29.14,-0.82,oC,,0.1999999999999993,-0.82,1.7,±,1.7117242768623688,oC,,,,,,,,,,,,,,,
,Kelembaban,,:,61,62,61.5,28.77,-0.83,%RH,,1,-0.83,4.9,±,5.000999900019996,%RH,,,,,,,,,,,,,,,
,Thermohygro Used,,:,TH-4,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PERHITUNGAN FAKTOR KOREKSI (FC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pembacaan Standard,,,,,,,,,,,,,,STD Meter :,Yokogawa,STD Sensor :,Type N,,,,,,,,,,,,,
,Standard Indication (0C),,Data Hasil Pengukuran/Pengulangan UUT (oC),,,,,,AVERAGE,STDEV,,STDEV Max,,,Index,Faktor Koreksi (FC),STD Terkoreksi,,,,,,,,,,,,,,
,,,1,,2,3,,,,,,,,,,Koreksi STD Meter,,,,,,,,,,,,,,,
,-20,UP,-20.05,,-20.11,-20.09,,,-20.293333333333333,0.23787952132679852,,0.45789372857317917,,,-20,0.08999999999999986,-19.91,,,,,,,,,,,,,,
,,DOWN,-20.49,,-20.6,-20.42,,,,,,,,,,,,,,,,,,,,,,,,,
,10,UP,9.85,,9.97,9.89,,,9.691666666666668,0.2466103539324064,,,,,0,0.07,10.07,,,,,,,,,,,,,,
,,DOWN,9.38,,9.45,9.61,,,,,,,,,,,,,,,,,,,,,,,,,
,50,UP,50.16,,50,50.02,,,49.80166666666667,0.28861161907772553,,,,,50,0.05000000000000057,50.05,,,,,,,,,,,,,,
,,DOWN,49.55,,49.56,49.52,,,,,,,,,,,,,,,,,,,,,,,,,
,100,UP,100.3,,100.15,100.2,,,99.99166666666666,0.263470428448177,,,,,100,0.030000000000001137,100.03,,,,,,,,,,,,,,
,,DOWN,99.9,,99.75,99.65,,,,,,,,,,,,,,,,,,,,,,,,,
,200,UP,199.7,,199.65,199.75,,,199.51666666666665,0.20896570691543206,,,,,200,0.030000000000001137,200.03,,,,,,,,,,,,,,
,,DOWN,199.35,,199.4,199.25,,,,,,,,,,,,,,,,,,,,,,,,,
,400,UP,399.85,,399.85,399.8,,,399.98333333333335,0.40083246708152953,,,,,400,-0.029999999999972715,399.97,,,,,,,,,,,,,,
,,DOWN,400.8,,399.8,399.8,,,,,,,,,,,,,,,,,,,,,,,,,
,600,UP,600.7,,600.8,600.6,,,600.3333333333334,0.41311822359546546,,,,,600,-0.09000000000003183,599.91,,,,,,,,,,,,,,
,,DOWN,599.9,,600.1,599.9,,,,,,,,,,,,,,,,,,,,,,,,,
,800,UP,800.8,,800.8,800.9,,,800.4166666666666,0.45789372857317917,,,,,800,-0.13999999999998636,799.86,,,,,,,,,,,,,,
,,DOWN,800,,800,800,,,,,,,,,,,,,,,,,,,,,,,,,
,1000,UP,1000.1,,1000,1000.1,,,1000.0833333333334,0.04082482904639558,,,,,1000,-0.19000000000005457,999.81,,,,,,,,,,,,,,
,,DOWN,1000.1,,1000.1,1000.1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,MAX,,1000,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
