Uncertainty Budget sebagai Pendukung Kemampuan Kalibrasi dan Pengukuran (CMC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nama laboratorium,,: PT Sistem Dirgantara Inovasi Teknologi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alamat,,[ALAMAT PELANGGAN DIREDAKSI],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNCERTAINTY BUDGET SEBAGAI PENDUKUNG KLAIM CMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Besaran yang diukur,,:,°C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jenis alat yang dikalibrasi,,:,Temperature indikator tanpa sensor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standar yang digunakan,,:,Standard used :,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Name,,,,,Merk,,,,Type,,,,Serial Number,,,,,,,,,,,,,,,,,,,,
,,,Temperature Calibrator,,,,,Constant,,,,40T,,,,99875850,,,,,,,,,,,,,,,,,,,,
,,,Temperature Calibrator,,,,,Yokogawa,,,,CA 150 Handy Cal,,,,23P1005,,,,,,,,,,,,,,,,,,,,
Model matematis pengukuran,,:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nama Alat,,,,,,,,:,Temperature Calibrator,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rentang Ukur,,,,,,,,:,1000,,oC,,,,,,,,,,,,,,,,,,,,,,,,
,Ketelitian Baca,,,,,,,,:,0.1,,oC,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,STD Meter Kalibrator :,,Yokogawa,,Type :,,,,,Type N,,,,,,max,1000,,,,,,,,,,,,,,,,,,,
,Components,,,,,,,Unit,,Distribution,,,U,,,Divisor,,vi,,ui,,,ci,,uici,,,( uici )2,,,,( uici )4/ vi,,,,
,Ketidakpastian Baku Temperature Kalibrator,,Yokogawa,,,,, oC,,normal,,,,0.36,,2,,200,,0.18,,,1,,0.18,,,0.0324,,,,5.2488e-06,,,,
,Ketidakpastian Baku Drift Temp. Kalibrator,,Yokogawa,,,,, oC,,rect.,,,0.012,,,1.7320508075688772,,50,,0.0069282032302755096,,,1,,0.0069282032302755096,,,4.800000000000001e-05,,,,4.608000000000002e-11,,,,
,Readability,,,,,,, oC,,rect.,,,0.05,,,1.7320508075688772,,1000000,,0.02886751345948129,,,1,,0.02886751345948129,,,0.0008333333333333335,,,,6.944444444444447e-13,,,,
,Pengaruh AC Pick Up,,,,,,, oC,,rect.,,,0.2,,,1.7320508075688772,,200,,0.15196713713031854,,,1,,0.15196713713031854,,,0.02309401076758504,,,,2.6666666666666685e-06,,,,
,Ketidakpastian Baku Pengulangan Pembacaan,,,,,,, oC,,t-student,,,0.45789372857317917,,,3,,2,,0.2643650674519664,,,1,,0.2643650674519664,,,0.06988888888888276,,,,0.0024422283950613,,,,
,Jumlah,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1262642329898011,,,,0.002450143908502411,,,,
,"Ketidakpastian Baku Gabungan , Uc",,,,,,,,,,,,,,,,,,,,,,,,,,,0.35533678811769703,,,,,,,,
,"Derajat Kebebasan , v eff",,,,,,,,,,,,,,,,,,,,,,,,,,,6.506824549031214,,,,,,,,
,"Factor Cakupan , k=student's for v eff and CL 95 %",,,,,,,,,,,,,,,,,,,,,,,,,,,2.401577234865886,,,,,,,,
,"Ketidakpastian Bentangan  , U = k Uc",,,,,,,,,,,,,,,,,,,,,,,,,,,0.853368741053824,,,,,,, oC,
,CMC PT.SIDIK,,,,,,,,,,,,,,,,,,,,,,,,,,,0.83,,,,,,, oC,
,"Ketidakpastian Bentangan Yang Dilaporkan  , U = k Uc",,,,,,,,,,,,,,,,,,,,,,,,,,,0.853368741053824,,,,,,, oC,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
