,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Certificate Number ,,,:,01-CAL-625,,,,,Owner,,,:,PT. Sistem Dirgantara Inovasi Teknologi,,,,,,,,
,Page,,,:,1 of 7,,,,,,,,,,,,,,,,,
,,,,,,,,,,Address,,,:,[ALAMAT PELANGGAN DIREDAKSI],,,,,,,,
,Order Number,,,:,22506.01.A,,,,,,,,,,,,,,,,,
,Received Date,,,:,2025-05-08T00:00:00,,,,,,,,,,,,,,,,,
,Equipment Name,,,:,Temperature Calibrator,,,,,Calibration Location,,,:,Inlab (Lab General PT. SIDIK),,,,,,,,
,Manufacturer,,,:,Graphtech,,,,,Calibration  Date,,,:,2025-05-08T00:00:00,,,,,,,,
,Model/Type,,,:,GL840,,,,,Calibration Method,,,:,SIDIK-IK-CAL-0502_Rev.3,,,,,,,,
,Serial Number,,,:,C305B1470,,,,,Env. Condition,,,:,T ,23.380000000000003,oC,±,1.7117242768623688,oC,,,
,Capacity/Graduation,,,:,2000,oC,/,0.1,oC,,,,,%RH,60.67,%,±,5.000999900019996,%,,,
,Technician ID,,,:,DT,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Calibration Report,,,:,,,,,,,,,,,,,,,,,,
,,,,Mode : Measure Type N,,,,,,,,,,,,,,,,,,
,,,,Standard Reading (oC),,,,,Unit Under Test (oC),,Correction (oC),,,,,,,,,,,
,,,,-19.91,,,,,-20.293333333333333,,0.38333333333333286,,,,,,,,,,,
,,,,10.07,,,,,9.691666666666668,,0.3783333333333321,,,,,,,,,,,
,,,,50.05,,,,,49.80166666666667,,0.24833333333332774,,,,,,,,,,,
,,,,100.03,,,,,99.99166666666666,,0.0383333333333411,,,,,,,,,,,
,,,,200.03,,,,,199.51666666666665,,0.5133333333333496,,,,,,,,,,,
,,,,399.97,,,,,399.98333333333335,,-0.013333333333321207,,,,,,,,,,,
,,,,599.91,,,,,600.3333333333334,,-0.42333333333340306,,,,,,,,,,,
,,,,799.86,,,,,800.4166666666666,,-0.5566666666666151,,,,,,,,,,,
,,,,999.81,,,,,1000.0833333333334,,-0.2733333333334258,,,,,,,,,,,
,,,,Uncertainty  95%  ±,,,,,,,0.853368741053824,,oC,,,,,,,,,
,,,,The Uncertainty is taken at a Convidence Level 95 % and Coverage Factor ( k ) =,,,,,,,,,,2.401577234865886,,,,,,,,
,,,,,,,,,,,,,,,,,,,#REF!,,,
,,,- Calibration results are not to be announced and only apply to related tools -,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Standard used :,,,,,,,,,,,,,,,,,,,,,
,Name,,,,,,,Merk/Type,,,Serial Number,,,,,Traceable to SI through,,,,,,
,Temperature Calibrator,,,,,,,Yokogawa,,,23P1005,,,,,LK-241-IDN,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Issuance Date,,,,,,,,,,,,,,,,,,,,,
,2025-05-12T00:00:00,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Alex Misramto,,,,,,,,,,,,,,,,,,,,,
,Technical Manager,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,, --------- End of Certificate  --------- ,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,SIDIK-FM-CAL-2403_Rev. 0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
