,,,,,,,,,,,,
,Nama Alat,:,Thermocouple ,,,Tanggal Kalibrasi ,,:,2022-09-19T00:00:00,,,
,Type,:,PRT PT100,,,Due Date Kalibrasi,,:,2024-09-19T00:00:00,,,
,S/N,:,SH1/20,,,Tertelusur,,:,LK-070-IDN,,,
,For t ≥0 oC :,,,,,,,For t≤0 oC :,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,0.003878,,,A,0.003501,,,
A,0.003878,,,,,,,B,-2.1e-05,,,
B,-5.861e-07,,,,,,,C,5e-09,,,
,,,,,,,,,,,,
Set point (0C),Rt,R0,Rt/R0,1-Rt/R0,-4B*,A2,A2-4B*,Akar,-A+akar,2B,-A+akar/2B(UUT) 0C,Koreksi (0C)
0,100.28703,100.28703,1,0,0,1.5038883999999999e-05,1.5038883999999999e-05,0.003878,0,-1.1722e-06,0,0
5,102.230391,100.28703,1.0193779893571482,-0.019377989357148184,-4.54297582488982e-08,1.5038883999999999e-05,1.4993454241751101e-05,0.0038721382002391263,-5.861799760873646e-06,-1.1722e-06,5.000682273395023,-0.0006822733950233584
10,104.170861,100.28703,1.0387271514571725,-0.03872715145717254,-9.079193387619529e-08,1.5038883999999999e-05,1.4948092066123803e-05,0.00386627625320848,-1.1723746791520058e-05,-1.1722e-06,10.001490182153265,-0.0014901821532653514
15,106.108439,100.28703,1.0580474763286938,-0.05804747632869378,-1.360865035049897e-07,1.5038883999999999e-05,1.4902797496495009e-05,0.0038604141612649553,-1.7585838735044608e-05,-1.1722e-06,15.002421715615602,-0.002421715615602338
20,108.043126,100.28703,1.0773389739430912,-0.0773389739430912,-1.81313490512183e-07,1.5038883999999999e-05,1.4857570509487815e-05,0.0038545519207150154,-2.3448079284984526e-05,-1.1722e-06,20.003480024726606,-0.0034800247266062456
25,109.974922,100.28703,1.0966016443003648,-0.09660164430036478,-2.2647289489777518e-07,1.5038883999999999e-05,1.4812411105102224e-05,0.0038486895308795983,-2.9310469120401653e-05,-1.1722e-06,25.004665688791718,-0.004665688791718026
