,FORM VALIDASI MASTER OLAH DATA KALIBRASI,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Lingkup Kalibrasi                                                    :,,Suhu,,,,,,,,,,,,,,,,,,,,
,Jenis/Type Pengukuran                                       :,,TITS,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,No.,Master Name,Last Modified Date,Detail Modified,PIC,,CHECK,,VALIDATION,,Notes/Revision,,,,,,,,,,,,
,1,Master Olah Data_Suhu_TITS 2022,2022-03-04T00:00:00,"- Creating All Sheets
- Adding New Sheet ""STANDAR-VICTOR(REC-1)""",NR,,NR,,,,Update TC type K new calibration new S/N,,,,,,,,,,,,
,,,,,Position :,Supervisor,Position :,Supervisor,Position :,,,,,,,,,,,,,,
,,,,,Date:,2022-03-04T00:00:00,Date:,2022-03-05T00:00:00,Date:,,,,,,,,,,,,,,
,2,Master Olah Data_Suhu_TITS 2022,2022-07-25T00:00:00,"- Update calibration result New TC type K on ""Thermocouple Type K"" sheet, automaticcally connected with Tabel Nilai Koreksi Sensor Termocouple & Tabel U95% Thermocouple on ""Interpolasi"" and ""Standar_Kalibrator"" sheet.",HN,,NR,,,,Update rekalibrasi std constant 2022,,,,,,,,,,,,
,,,,,Position :,,Position :,Supervisor,Position :,,,,,,,,,,,,,,
,,,,,Date:,2022-07-25T00:00:00,Date:,2022-07-26T00:00:00,Date:,,,,,,,,,,,,,,
,3,Master Olah Data_Suhu_TITS 2022,2022-09-18T00:00:00,"-Updating new calibration Constant on ""Standar Kalibrator"" & ""Standar-Constant"" sheet.",HN,,NR,,,,"Update IK order number based on DID on database, adding TH-3 s/d 7,
update PT100",,,,,,,,,,,,
,,,,,Position :,,Position :,Supervisor,Position :,,,,,,,,,,,,,,
,,,,,Date:,2022-09-17T00:00:00,Date:,2022-09-19T00:00:00,Date:,,,,,,,,,,,,,,
,4,Master Olah Data_Suhu_TITS 2022,2022-10-25T00:00:00,"-Updating ""Database"" sheet: IK order number based on DID, adding TH-3 s/d 7
-Updating ""Sensor PT100"" sheet based on additional ""FC Prt Pt100"" sheet calibration value.
-Updating TH calculation on ""Perhitungan FC"" sheet.",HN,,NR,,,,Update record drift standar kalibrator,,,,,,,,,,,,
,,,,,Position :,,Position :,Supervisor,Position :,,,,,,,,,,,,,,
,,,,,Date:,2022-10-25T00:00:00,Date:,2022-10-26T00:00:00,Date:,,,,,,,,,,,,,,
,5,Master Olah Data_Suhu_TITS 2022,2022-12-22T00:00:00,"-Adding Tabel record drift on ""Standar Kalibrator"" sheet
-Changing Udrift value based on vlookup Tabel record drift on ""Perhitungan U95%"" sheet.",HN,,NR,,,,Update latest survaylen 2022 revision result,,,,,,,,,,,,
,,,,,Position :,,Position :,Supervisor,Position :,,,,,,,,,,,,,,
