PT. SIDIK,,,"KALIBRASI TEMPERATURE INDIKATOR TANPA SENSOR
(TITS)
Fungsi Source untuk UUT",,,,,,,,,,,,,LK-285-IDN,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Calibrator Standard Status Monitoring :,,,,,,,,,,ONE OR MORE STANDARD EXPIRED,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Temperature Type,,:,6,,,,,,,,,,Certificate Number,,:,0159-CAL-626,,,Data Choosen From Combobox,,,,,
,note : jika menggunakan Type RTD gunakan yokogawa LK-285-IDN,,,,,,,,,,,,,Order Number,,:,2606.08.C,,,(DON'T ERASE),,,,,
,,,,,,,,,,,,,,,,,,,,Enclosure Type,,:,Type S,,
,IDENTITAS ALAT,,,,,,,,,,IDENTITAS CUSTOMER,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Nama Alat,,:,Temperature Recorder Controller,,,,,,,Nama Custromer,,,:,[NAMA PELANGGAN DIREDAKSI],,,,,Technician ID,,:,DT,,
,Merk,,:,Siemens,,,,,,,,,,,,,,,,Calibration Method,,:,SIDIK-IK-CAL-0502_Rev.3,,
,Type,,:,Simatic IPC477FE,,,,,,,Alamat Customer,,,:,[ALAMAT PELANGGAN DIREDAKSI],,,,,Standar Meter/Indikator,,:,Yokogawa,,
,No. Seri,,:,44C-00021,,,,,,,,,,,,,,,,,,,,,
,Rentang Ukur,,:,0-1200,,oC,,,,,,,,,,,,,,Calculated by,,:,NR,,
,Kapasitas Alat,,:,-,,oC,,,,,Tanggal Terima ,,,:,2026-06-10T00:00:00,,,,,Signed by,,:,Alex Misramto,,
,Resolusi Alat,,:,0.1,,oC,,,,,Tanggal Kalibrasi,,,:,2026-06-10T00:00:00,,,,,Position,,:,Technical Manager,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,KONDISI LINGKUNGAN,,,,,,,,,,PENGERJAAN,,,,,,,,,Thermohygro,,:,TH-4,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Awal,Akhir,,Average,,,,Lokasi Kalibrasi,,,:,Inlab (Lab General PT. SIDIK),,,,,Lookup status meter,,:,29.550315856482484,,
,Suhu Ruangan,,:,24.1,24.3,,24.200000000000003,oC,,,Technician ID,,,:,2,,,,,,,,,,
,Kelembaban,,:,61,62,,61.5,%RH,,,Calibration Method,,,:,2,,,,,,,,,,
,Thermohygro Used,,:,4,,,,,,,Standar Meter/Indikator,,,:,2,,,WARNING,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,DATA HASIL KALIBRASI,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,UUT Indication (0C),,Reading Standard (oC),,,,,,,,,,,,,,,,,,,,,,
,,,X1,,X2,,X3,Average,,,,,,,,,,,,,,,,,
,0,UP,4.9,,4.9,,4.9,4.9,,,,,,,,,,,,,,,,,
,,DOWN,4.7,,4.7,,4.7,4.7,,,,,,,,,,,,,,,,,
,100,UP,104.6,,104.6,,104.6,104.59999999999998,,,,,,,,,,,,,,,,,
,,DOWN,104,,104,,104,104,,,,,,,,,,,,,,,,,
,300,UP,304.3,,304.3,,304.3,304.3,,,,,,,,,,,,,,,,,
,,DOWN,304.6,,304.6,,304.6,304.6,,,,,,,,,,,,,,,,,
,500,UP,503.9,,503.9,,503.9,503.8999999999999,,,,,,,,,,,,,,,,,
,,DOWN,504,,504,,504,504,,,,,,,,,,,,,,,,,
,700,UP,704.5,,704.5,,704.5,704.5,,,,,,,,,,,,,,,,,
,,DOWN,704.6,,704.6,,704.6,704.6,,,,,,,,,,,,,,,,,
,900,UP,904.1,,904.1,,904.1,904.1,,,,,,,,,,,,,,,,,
,,DOWN,904.2,,904.2,,904.2,904.2000000000002,,,,,,,,,,,,,,,,,
,1100,UP,1103.8,,1103.8,,1103.8,1103.8,,,,,,,,,,,,,,,,,
,,DOWN,1103.9,,1103.9,,1103.9,1103.9,,,,,,,,,,,,,,,,,
,1200,UP,1203.7,,1203.7,,1203.7,1203.7,,,,,,,,,,,,,,,,,
,,DOWN,1203.7,,1203.7,,1203.7,1203.7,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Issuance Date,,,,,,,,,,,,,,,,,,,,,,,,
,Calculated by,,,Signed by,,,,,,,,,,,,,,,,,,,,,
,Name,:,2,Name,:,2,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
