Temp Calibrator : Constant,,,,,,,,,,,,,,,,,,,,,,
Titik Kalibrasi,PRT PT100,,Titik Kalibrasi,Thermocouple Type K,,Titik Kalibrasi,Thermocouple Type N,,Titik Kalibrasi,Thermocouple Type B,,Titik Kalibrasi,Thermocouple Type T,,Titik Kalibrasi,Thermocouple Type R,,Titik Kalibrasi,Thermocouple Type S,,,
-20,0,,-20,-0.10000000000000142,,-20,-0.10000000000000142,,600,-0.39999999999997726,,-100,-0.15000000000000568,,0,-0.1,,0,0.09,,,
0,0.2,,0,-1,,0,-0.2,,800,-0.4199999999999591,,0,-0.05,,50,-0.14999999999999858,,50,0.240000000000002,,,
100,0.29999999999999716,,100,-0.20000000000000284,,100,-0.20000000000000284,,1000,-0.5399999999999636,,50,-0.03999999999999915,,100,-0.12999999999999545,,100,0.20000000000000284,,,
200,0.30000000000001137,,200,-0.09999999999999432,,200,-0.30000000000001137,,1200,-0.6600000000000819,,100,-0.01999999999999602,,200,-0.12999999999999545,,200,0.3100000000000023,,,
400,0.39999999999997726,,400,-0.19999999999998863,,400,-0.39999999999997726,,1400,-0.7300000000000182,,200,-0.09000000000000341,,400,-0.22000000000002728,,400,0.3199999999999932,,,
600,0.39999999999997726,,600,-0.10000000000002274,,600,-0.2999999999999545,,1700,-0.7799999999999727,,300,-0.10000000000002274,,600,-0.16999999999995907,,600,0.37000000000000455,,,
800,0.2999999999999545,,800,-0.20000000000004547,,800,-0.39999999999997726,,700,-0.40999999999996817,,400,-0.160000000000025,,800,-0.17999999999994998,,800,0.4199999999999591,,,
25,0.2249999999999993,,1000,-0.20000000000004547,,1000,-0.5,,900,-0.47999999999996135,,-20,-0.07000000000000113,,1000,-0.16999999999995907,,1000,0.4800000000000182,,,
50,0.24999999999999858,,,,,,,,,,,25,-0.044999999999999575,,1200,0.36999999999989086,,1200,0.6199999999998909,,,
300,0.3499999999999943,,,,,25,-0.20000000000000073,,,,,,,,25,-0.12499999999999929,,25,0.16500000000000098,,,
500,0.39999999999997726,,25,-0.8000000000000007,,50,-0.20000000000000143,,,,,,,,300,-0.17500000000001137,,300,0.3149999999999977,,,
700,0.34999999999996595,,50,-0.6000000000000014,,300,-0.3499999999999943,,,,,,,,500,-0.19499999999999318,,500,0.34499999999999886,,,
,,,300,-0.14999999999999147,,500,-0.3499999999999659,,,,,,,,700,-0.17499999999995453,,700,0.3949999999999818,,,
,,,500,-0.15000000000000568,,700,-0.3499999999999659,,,,,,,,900,-0.17499999999995453,,900,0.44999999999998863,,,
,,,700,-0.1500000000000341,,900,-0.44999999999998863,,,,,,,,,,,,,,,
,,,900,-0.20000000000004547,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Temp Calibrator : Yokogawa,,,,,,,,,,,,,,,,,,,,,,
Titik Kalibrasi,PRT PT100,,Titik Kalibrasi,Thermocouple Type K,,Titik Kalibrasi,Thermocouple Type N,,Titik Kalibrasi,Thermocouple Type J,,Titik Kalibrasi,Thermocouple Type T,,Titik Kalibrasi,Thermocouple Type R,,Titik Kalibrasi,Thermocouple Type S,,,
-100,0,,-100,0.060000000000002274,,-100,0.14000000000000057,,-100,0.04999999999999716,,-100,0.060000000000002274,,0,0.09,,0,0.18,,,
0,0.2,,-20,0.010000000000001563,,-20,0.08999999999999986,,-20,0,,0,0.02,,50,0.18999999999999773,,50,0.14999999999999858,,,
100,0.3999999999999915,,0,0.01,,0,0.07,,0,0,,50,-0.00999999999999801,,100,0.18000000000000682,,100,0.09999999999999432,,,
200,0.4000000000000057,,100,-0.04000000000000625,,100,0.030000000000001137,,100,0,,100,-0.010000000000005116,,200,0.13999999999998636,,200,0.0800000000000125,,,
400,0.5,,200,-0.060000000000002274,,200,0.030000000000001137,,200,-0.05000000000001137,,200,-0.05000000000001137,,400,0.07999999999998408,,400,0.01999999999998181,,,
600,0.5,,400,-0.06999999999999318,,400,-0.029999999999972715,,400,-0.07999999999998408,,300,-0.060000000000002274,,600,0.009999999999990905,,600,-0.049999999999954525,,,
800,0.39999999999997726,,600,-0.13999999999998636,,600,-0.09000000000003183,,600,-0.13999999999998636,,-20,0.02800000000000046,,800,-0.05999999999994543,,800,-0.10000000000002274,,,
-20,0.16,,800,-0.19000000000005457,,800,-0.13999999999998636,,800,-0.14999999999997726,,25,0.005000000000000993,,1000,-0.11000000000001364,,1000,-0.14999999999997726,,,
25,0.24999999999999784,,1000,-0.2999999999999545,,1000,-0.19000000000005457,,1000,-0.22000000000002728,,,,,1200,-0.16000000000008185,,1200,-0.20000000000004547,,,
50,0.2999999999999957,,1200,-0.30999999999994543,,1200,-0.2599999999999909,,1200,-0.31999999999993634,,,,,25,0.13999999999999885,,25,0.1649999999999993,,,
300,0.45000000000000284,,25,-0.0025000000000015617,,25,0.06000000000000029,,25,0,,,,,300,0.10999999999998522,,300,0.04999999999999716,,,
500,0.5,,50,-0.015000000000003125,,50,0.05000000000000057,,50,0,,,,,500,0.044999999999987494,,500,-0.014999999999986358,,,
700,0.4499999999999887,,300,-0.06499999999999773,,300,1.4210854715202004e-14,,300,-0.06499999999999773,,,,,700,-0.024999999999977263,,700,-0.07499999999998863,,,
,,,500,-0.10499999999998977,,500,-0.060000000000002274,,500,-0.10999999999998522,,,,,900,-0.08499999999997954,,900,-0.125,,,
,,,700,-0.16500000000002046,,700,-0.1150000000000091,,700,-0.1449999999999818,,,,,,,,,,,,
,,,900,-0.24500000000000455,,900,-0.16500000000002046,,900,-0.18500000000000227,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Interpolasi Sensor Termokopel,,,,,,,,,,,,,,,,,,,,,,
Titik Kalibrasi,Type K,,,,,,,,,,,,,,,,,,,,,
0,0.012999999999999998,,,,,,,,,,,,,,,,,,,,,
50,0.1700000000000017,,,,,,,,,,,,,,,,,,,,,
100,0.20000000000000284,,,,,,,,,,,,,,,,,,,,,
150,0.1150000000000091,,,,,,,,,,,,,,,,,,,,,
200,0.04999999999998295,,,,,,,,,,,,,,,,,,,,,
300,-0.0649999999999693,,,,,,,,,,,,,,,,,,,,,
400,0.0049999999999954525,,,,,,,,,,,,,,,,,,,,,
25,0.09150000000000086,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
