,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IDENTITAS ALAT,,,,,,,,IDENTITAS CUSTOMER,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nama Alat,,:,Temperature Recorder Controller,,,,,Nama Custromer,:,[NAMA PELANGGAN DIREDAKSI],,,,,,,,,,,,,,,,,,,,
,Merk,,:,Siemens,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Type,,:,Simatic IPC477FE,,,,,Alamat Customer,:,[ALAMAT PELANGGAN DIREDAKSI],,,,,,,,,,,,,,,,,,,,
,No. Seri,,:,44C-00021,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rentang Ukur,,:,0-1200,oC,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kapasitas Alat,,:,-,oC,,,,Tanggal Terima ,:,2026-06-10T00:00:00,,,,,,,,,,,,,,,,,,,,
,Resolusi Alat,,:,0.1,oC,,,,Tanggal Kalibrasi,:,2026-06-10T00:00:00,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERHITUNGAN KONDISI LINGKUNGAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Awal,Akhir,Average,Indexed Value,Correction (C),,,Δ,C,U95% Std TH,U95% Sertifikat,,,,,,,,,,,,,,,,,
,Suhu Ruangan,,:,24.1,24.3,24.200000000000003,29.14,-0.82,oC,,0.1999999999999993,-0.82,1.7,±,1.7117242768623688,oC,,,,,,,,,,,,,,,
,Kelembaban,,:,61,62,61.5,28.77,-0.83,%RH,,1,-0.83,4.9,±,5.000999900019996,%RH,,,,,,,,,,,,,,,
,Thermohygro Used,,:,TH-4,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PERHITUNGAN FAKTOR KOREKSI (FC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pembacaan Standard,,,,,,,,,,,,,,STD Meter :,Yokogawa,STD Sensor :,Type S,,,,,,,,,,,,,
,UUT Indication (0C),,Data Hasil Pengukuran/Pengulangan (oC),,,,,,AVERAGE STD,STDEV,,STDEV Max,Standard corrected,,Index,Faktor Koreksi (FC),"Untuk mode UUT Measure, NOTE:",,,,,,,,,,,,,,
,,,1,,2,3,,,,,,,,,,Koreksi STD Meter,,,,,,,,,,,,,,,
,0,UP,4.9,,4.9,4.9,,,4.8,0.10954451150103331,,0.3286335345030965,4.9799999999999995,,0,0.18,Koreksi STD Meter ditambahakan ke averae UUT,,,,,,,,,,,,,,
,,DOWN,4.7,,4.7,4.7,,,,,,,,,,,,,,,,,,,,,,,,,
,100,UP,104.6,,104.6,104.6,,,104.3,0.3286335345030965,,,104.39999999999999,,100,0.09999999999999432,Correction = STD - UUT,,,,,,,,,,,,,,
,,DOWN,104,,104,104,,,,0,,,,,,,,,,,,,,,,,,,,,
,300,UP,304.3,,304.3,304.3,,,304.45,0.16431676725155606,,,304.5,,300,0.04999999999999716,STD= Correction+UUT,,,,,,,,,,,,,,
,,DOWN,304.6,,304.6,304.6,,,,0,,,,,,,,,,,,,,,,,,,,,
,500,UP,503.9,,503.9,503.9,,,503.95,0.05477225575052906,,,503.935,,500,-0.014999999999986358,,,,,,,,,,,,,,,
,,DOWN,504,,504,504,,,,0,,,,,,,,,,,,,,,,,,,,,
,700,UP,704.5,,704.5,704.5,,,704.5500000000001,0.05477225575052906,,,704.4750000000001,,700,-0.07499999999998863,,,,,,,,,,,,,,,
,,DOWN,704.6,,704.6,704.6,,,,0,,,,,,,,,,,,,,,,,,,,,
,900,UP,904.1,,904.1,904.1,,,904.15,0.05477225575052907,,,904.025,,900,-0.125,,,,,,,,,,,,,,,
,,DOWN,904.2,,904.2,904.2,,,,1.3923737144427707e-13,,,,,,,,,,,,,,,,,,,,,
,1100,UP,1103.8,,1103.8,1103.8,,,1103.8499999999997,0.05477225575059134,,,1103.6499999999996,,1200,-0.20000000000004547,,,,,,,,,,,,,,,
,,DOWN,1103.9,,1103.9,1103.9,,,,0,,,,,,,,,,,,,,,,,,,,,
,1200,UP,1203.7,,1203.7,1203.7,,,1203.7,0,,,1203.5,,1200,-0.20000000000004547,,,,,,,,,,,,,,,
,,DOWN,1203.7,,1203.7,1203.7,,,,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,MAX,,1200,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
